2716,score,p-value
2716: Security Apparatus - Fund for Peace,20036.806009642394,0.0
2707: Failed States Index Total - Fund for Peace,7265.2428670179906,0.0
2706: Failed States Index Rank - Fund for Peace,4925.1294099361476,0.0
2713: Legitimacy of the State - Fund for Peace,4141.8163366346334,0.0
2717: Factionalized Elites - Fund for Peace,3925.738367259743,0.0
2715: Human Rights - Fund for Peace,3886.5469164063475,0.0
2704: Corruption perceptions index - Transparency,2722.3246071130998,0.0
2710: Group Grievance - Fund for Peace,2602.7703573316262,1.284570679187241e-322
2714: Public Services - Fund for Peace,2465.4113644477366,6.0150246584187927e-312
2708: Demographic Pressures - Fund for Peace,2158.082886041504,1.2552960609642992e-286
2711: Uneven Development - Fund for Peace,2055.8876987900976,1.009617245920454e-277
2718: External Intervention - Fund for Peace,1978.9562479238223,7.6407366382767438e-271
1899: Percentage of Individuals using the Internet (%) - ITU,1613.34805117767,7.3939717886081591e-236
2709: Refugees and IDPs - Fund for Peace,1612.2815350099438,9.4844410231170953e-236
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1511.4342237973342,2.3899092194808114e-225
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1450.3881022895921,7.0916362682813158e-219
2712: Poverty and Economic Decline - Fund for Peace,1313.8859015039668,6.8902123268402157e-204
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1288.1638717697799,5.5778058065057758e-201
0810: GDP per capita  (constant 2005 US$) - WDI,1275.3681998725269,1.5978885012321677e-199
0830: GNI per capita; Atlas method  (current US$) - WDI,1274.5614867314055,1.9753416905297105e-199
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1267.7812698258949,1.1770106769274131e-198
0781: Adjusted net national income per capita  (current US$) - WDI,1231.6284679609387,1.7272674397934853e-194
2719: Human Flight - Fund for Peace,1173.2176024434409,1.2340933237784124e-187
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1170.9476805960394,2.2952284707193189e-187
0808: GDP per capita  (current US$) - WDI,1145.4832298386375,2.5133745215876759e-184
1098: Health expenditure per capita  (current US$) - WDI,1119.2037948391621,3.7062707877930404e-181
0832: GNI per capita  (constant 2005 US$) - WDI,1109.5542924302172,5.5045737662357769e-180
1297: Population ages 65 and above  (% of total) - WDI,1056.5641481280286,1.8063086813517186e-173
1299: Age dependency ratio; old  (% of working-age population) - WDI,1006.7750700398993,3.2233373619359812e-167
1295: Population ages 0-14  (% of total) - WDI,987.65626057091777,8.7743655391611896e-165
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,961.95976078103627,1.7646808707333518e-161
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,900.02931932932984,2.280095240172592e-153
1103: Health expenditure; public  (% of GDP) - WDI,862.74599514583372,2.2227590049117682e-148
1946: Per capita government expenditure on health (PPP int. $) - WHO,845.73764294204511,4.4680925652012074e-146
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,830.59638205884562,5.1905483598402971e-144
0835: GNI per capita; PPP  (current international $) - WDI,825.93575395086737,2.2578019997788853e-143
1971: Per capita total expenditure on health (PPP int. $) - WHO,821.56442011588626,8.9896188847009612e-143
1278: Birth rate; crude  (per 1;000 people) - WDI,813.86315646713274,1.0322179479023105e-141
1287: Life expectancy at birth; male  (years) - WDI,813.16926541997975,1.286654186367725e-141
1286: Life expectancy at birth; total  (years) - WDI,810.66887399417453,2.8478998511155862e-141
1300: Age dependency ratio; young  (% of working-age population) - WDI,807.29806055045935,8.3238866127082329e-141
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,792.29762261598785,1.0042366241755945e-138
1283: Mortality rate; infant  (per 1;000 live births) - WDI,782.75887496578707,2.1521549048002102e-137
1285: Life expectancy at birth; female  (years) - WDI,775.60384458807312,2.1632403495500521e-136
0813: GDP per capita; PPP  (current international $) - WDI,771.05629138642826,9.414761620224776e-136
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,764.01627176562238,9.2304083672771425e-135
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,747.81219712535903,1.8174188137013911e-132
0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI,716.02385641629269,6.468834380548255e-128
0979: School enrollment; tertiary; female  (% gross) - WDI,648.53265774827889,5.0682062737728873e-118
1290: Survival to age 65; male  (% of cohort) - WDI,640.93339434460313,6.9060448131206706e-117
1033: Improved water source; rural  (% of rural population with access) - WDI,640.72977242960314,7.4076928442268137e-117
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,632.49801941218175,1.2687304187212212e-115
0978: School enrollment; tertiary  (% gross) - WDI,625.18911920940764,1.5956658345956907e-114
1288: Fertility rate; total  (births per woman) - WDI,613.58453796390268,9.056200914725262e-113
1035: Improved water source  (% of population with access) - WDI,611.61943792302679,1.7987319837045471e-112
1315: Urban population  (% of total) - WDI,608.05372286343925,6.2585653115085734e-112
1312: Rural population  (% of total population) - WDI,608.05045175200644,6.265734641642635e-112
1350: Share of tariff lines with specific rates; primary products  (%) - WDI,596.23974930610825,3.9582449212851509e-110
1289: Survival to age 65; female  (% of cohort) - WDI,593.36751275177937,1.0888870449191978e-109
1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI,577.88909224929046,2.6078903285963447e-107
1167: GDP per person employed  (constant 2011 PPP $) - WDI,567.83109470598333,9.3839545281811041e-106
1895: Mobile-cellular telephone subscriptions - ITU,545.34957945224892,3.0166397993095478e-102
1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,545.34957945224892,3.0166397993095478e-102
1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,543.6688239668365,5.5379653836770253e-102
1058: Improved sanitation facilities  (% of population with access) - WDI,537.1071785289364,5.9637125865984938e-101
0980: School enrollment; tertiary; male  (% gross) - WDI,532.97866219861726,2.6714063777567745e-100
1096: Out-of-pocket health expenditure  (% of total expenditure on health) - WDI,518.6076871572842,5.0640333008375338e-98
0952: School enrollment; secondary  (% gross) - WDI,512.25131165370158,5.2169592031943764e-97
0954: School enrollment; secondary; male  (% gross) - WDI,505.95361335793496,5.3005231637410651e-96
1101: Health expenditure; public  (% of total health expenditure) - WDI,501.5880993780043,2.6561474802041566e-95
0953: School enrollment; secondary; female  (% gross) - WDI,478.0611994306721,1.6761540339175685e-91
0736: Agriculture; value added  (% of GDP) - WDI,467.57651584352556,8.5741716933853151e-90
1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI,448.90305101377885,1.0016233065779118e-86
1298: Age dependency ratio  (% of working-age population) - WDI,444.28749366010885,5.8035942601227534e-86
1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,442.68631085575447,1.068647365770517e-85
1296: Population ages 15-64  (% of total) - WDI,438.42370652271649,5.4425307945102872e-85
1034: Improved water source; urban  (% of urban population with access) - WDI,417.16757968799959,1.931687998962011e-81
1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,414.23529231207425,6.0110306348293258e-81
1040: Immunization; DPT  (% of children ages 12-23 months) - WDI,403.98113790419194,3.2308627240799791e-79
0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,399.85191907704598,1.6177418559781147e-78
1092: Tuberculosis case detection rate  (%; all forms) - WDI,372.10691274138458,8.9507758209837254e-74
0885: School enrollment; preprimary  (% gross) - WDI,371.8283837525583,9.9966023476619351e-74
1102: Health expenditure; public  (% of government expenditure) - WDI,371.23093741586314,1.2671283097339138e-73
1041: Immunization; measles  (% of children ages 12-23 months) - WDI,366.21155381078637,9.3170900755384918e-73
0759: Services; etc.; value added  (% of GDP) - WDI,359.80150393376573,1.2006386315267415e-71
0886: School enrollment; preprimary; female  (% gross) - WDI,358.58548782098541,1.951951237075714e-71
1342: Share of tariff lines with specific rates; all products  (%) - WDI,358.23514989023278,2.2454443781014549e-71
1051: Lifetime risk of maternal death  (%) - WDI,358.0592890806343,2.4090383095963123e-71
1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI,356.4586023848301,4.5706021475642556e-71
0887: School enrollment; preprimary; male  (% gross) - WDI,355.89258491622485,5.7330237762923642e-71
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,349.91437812376296,6.3057587590444141e-70
1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,349.18839586899725,8.4419238066142359e-70
1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,339.62288953907392,3.9889334454793995e-68
1104: Health expenditure; total  (% of GDP) - WDI,333.43311948950327,4.890061212146922e-67
1340: Tariff rate; applied; simple mean; all products  (%) - WDI,329.86067207933769,2.0859676644716039e-66
2787: Balance of Payments-Exports-Transport (US dollar at current prices) - WTO,291.16838128065746,1.6907636628492516e-59
1344: Tariff rate; most favored nation; weighted mean; all products  (%) - WDI,277.11478145321519,5.9859914396341211e-57
