2707-All-N-MIC,2707-All-N-FST,2707-Ext-N-MIC,2707-Ext-N-FST
2707: Failed States Index Total - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2704: Corruption perceptions index - Transparency
2706: Failed States Index Rank - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2716: Security Apparatus - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,2712: Poverty and Economic Decline - Fund for Peace
2714: Public Services - Fund for Peace,2714: Public Services - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,2709: Refugees and IDPs - Fund for Peace
2716: Security Apparatus - Fund for Peace,2708: Demographic Pressures - Fund for Peace,0379: Electric power consumption  (kWh per capita) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
2715: Human Rights - Fund for Peace,2715: Human Rights - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU
2708: Demographic Pressures - Fund for Peace,2717: Factionalized Elites - Fund for Peace,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,2719: Human Flight - Fund for Peace
0832: GNI per capita  (constant 2005 US$) - WDI,2704: Corruption perceptions index - Transparency,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI
0810: GDP per capita  (constant 2005 US$) - WDI,2718: External Intervention - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI
2713: Legitimacy of the State - Fund for Peace,2711: Uneven Development - Fund for Peace,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
0642: Secure Internet servers  (per 1 million people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0953: School enrollment; secondary; female  (% gross) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,2710: Group Grievance - Fund for Peace,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1098: Health expenditure per capita  (current US$) - WDI
0379: Electric power consumption  (kWh per capita) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1295: Population ages 0-14  (% of total) - WDI
1098: Health expenditure per capita  (current US$) - WDI,2712: Poverty and Economic Decline - Fund for Peace,2704: Corruption perceptions index - Transparency,1287: Life expectancy at birth; male  (years) - WDI
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,2709: Refugees and IDPs - Fund for Peace,1285: Life expectancy at birth; female  (years) - WDI,1297: Population ages 65 and above  (% of total) - WDI
2717: Factionalized Elites - Fund for Peace,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1299: Age dependency ratio; old  (% of working-age population) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1285: Life expectancy at birth; female  (years) - WDI
2711: Uneven Development - Fund for Peace,2719: Human Flight - Fund for Peace,0954: School enrollment; secondary; male  (% gross) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,1049: Number of maternal deaths - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI
0808: GDP per capita  (current US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,1025: Number of neonatal deaths - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI
2718: External Intervention - Fund for Peace,0808: GDP per capita  (current US$) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
0953: School enrollment; secondary; female  (% gross) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1035: Improved water source  (% of population with access) - WDI,1290: Survival to age 65; male  (% of cohort) - WDI
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2709: Refugees and IDPs - Fund for Peace,0835: GNI per capita; PPP  (current international $) - WDI
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1295: Population ages 0-14  (% of total) - WDI,1297: Population ages 65 and above  (% of total) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO
2704: Corruption perceptions index - Transparency,0832: GNI per capita  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0814: GDP per capita; PPP  (constant 2011 international $) - WDI
0638: Fixed telephone subscriptions  (per 100 people) - WDI,1287: Life expectancy at birth; male  (years) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI
1285: Life expectancy at birth; female  (years) - WDI,1286: Life expectancy at birth; total  (years) - WDI,1021: Number of infant deaths - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI
1299: Age dependency ratio; old  (% of working-age population) - WDI,1297: Population ages 65 and above  (% of total) - WDI,0643: Internet users  (per 100 people) - WDI,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI
0952: School enrollment; secondary  (% gross) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1288: Fertility rate; total  (births per woman) - WDI
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1285: Life expectancy at birth; female  (years) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1033: Improved water source; rural  (% of rural population with access) - WDI
0954: School enrollment; secondary; male  (% gross) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI,1051: Lifetime risk of maternal death  (%) - WDI,1103: Health expenditure; public  (% of GDP) - WDI
0813: GDP per capita; PPP  (current international $) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1023: Number of under-five deaths - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI
1049: Number of maternal deaths - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1315: Urban population  (% of total) - WDI
0380: Energy use  (kg of oil equivalent per capita) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,1312: Rural population  (% of total population) - WDI
1025: Number of neonatal deaths - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,0020: Land area  (sq. km) - WDI,1035: Improved water source  (% of population with access) - WDI
1167: GDP per person employed  (constant 2011 PPP $) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1286: Life expectancy at birth; total  (years) - WDI,0979: School enrollment; tertiary; female  (% gross) - WDI
0835: GNI per capita; PPP  (current international $) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI
1283: Mortality rate; infant  (per 1;000 live births) - WDI,1290: Survival to age 65; male  (% of cohort) - WDI,2710: Group Grievance - Fund for Peace,1895: Mobile-cellular telephone subscriptions - ITU
1035: Improved water source  (% of population with access) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU
2709: Refugees and IDPs - Fund for Peace,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1058: Improved sanitation facilities  (% of population with access) - WDI,1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI
1297: Population ages 65 and above  (% of total) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1295: Population ages 0-14  (% of total) - WDI,0953: School enrollment; secondary; female  (% gross) - WDI
0640: Fixed broadband subscriptions  (per 100 people) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI
0736: Agriculture; value added  (% of GDP) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,2719: Human Flight - Fund for Peace,1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI
1021: Number of infant deaths - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI,0736: Agriculture; value added  (% of GDP) - WDI
0643: Internet users  (per 100 people) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,0028: Surface area  (sq. km) - WDI,1298: Age dependency ratio  (% of working-age population) - WDI
1899: Percentage of Individuals using the Internet (%) - ITU,1058: Improved sanitation facilities  (% of population with access) - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI,1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI
