0808-All-N-MIC,0808-All-N-FST,0808-Ext-N-MIC,0808-Ext-N-FST
0808: GDP per capita  (current US$) - WDI,0808: GDP per capita  (current US$) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
0832: GNI per capita  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU
0810: GDP per capita  (constant 2005 US$) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO
0813: GDP per capita; PPP  (current international $) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,2704: Corruption perceptions index - Transparency
0835: GNI per capita; PPP  (current international $) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1287: Life expectancy at birth; male  (years) - WDI
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,2707: Failed States Index Total - Fund for Peace
1098: Health expenditure per capita  (current US$) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,2714: Public Services - Fund for Peace
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1283: Mortality rate; infant  (per 1;000 live births) - WDI,2708: Demographic Pressures - Fund for Peace
1167: GDP per person employed  (constant 2011 PPP $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,2712: Poverty and Economic Decline - Fund for Peace
0736: Agriculture; value added  (% of GDP) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1315: Urban population  (% of total) - WDI
0379: Electric power consumption  (kWh per capita) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,2714: Public Services - Fund for Peace,1312: Rural population  (% of total population) - WDI
