835,score,p-value
0835: GNI per capita; PPP  (current international $) - WDI,81795.459702197768,0.0
0813: GDP per capita; PPP  (current international $) - WDI,70526.092730571458,0.0
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,60268.801940350982,0.0
1167: GDP per person employed  (constant 2011 PPP $) - WDI,9002.2399542960611,0.0
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,7582.930580968381,0.0
0808: GDP per capita  (current US$) - WDI,7024.3098414270753,0.0
0830: GNI per capita; Atlas method  (current US$) - WDI,5992.3377274095656,0.0
0810: GDP per capita  (constant 2005 US$) - WDI,5519.4311713697907,0.0
0781: Adjusted net national income per capita  (current US$) - WDI,2735.955672202711,0.0
0832: GNI per capita  (constant 2005 US$) - WDI,2562.7511468148136,0.0
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1997.1867789956571,1.0787905594079038e-290
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1919.4673047689691,9.0282680113073605e-283
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1806.4795372776375,6.0246218177246721e-271
1899: Percentage of Individuals using the Internet (%) - ITU,1649.1492312740631,7.7699277680464461e-254
1315: Urban population  (% of total) - WDI,1561.0311361413637,6.6919825175505225e-244
1312: Rural population  (% of total population) - WDI,1560.8072107842806,7.0980597828319363e-244
1098: Health expenditure per capita  (current US$) - WDI,1297.9149876719273,1.4406434733560756e-212
1287: Life expectancy at birth; male  (years) - WDI,1242.8020000435231,1.1651160072754734e-205
2714: Public Services - Fund for Peace,1226.2935780354062,1.4471049864738295e-203
1295: Population ages 0-14  (% of total) - WDI,1186.5457456814279,1.7825663928200809e-198
2704: Corruption perceptions index - Transparency,1176.5166821090156,3.5193132153817626e-197
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1161.6750985380907,2.9629394840047492e-195
1290: Survival to age 65; male  (% of cohort) - WDI,1135.4864189034934,7.8201547822883487e-192
1286: Life expectancy at birth; total  (years) - WDI,1125.0710808515134,1.8309274820470342e-190
1296: Population ages 15-64  (% of total) - WDI,1113.5364535040515,6.0974661835797872e-189
2712: Poverty and Economic Decline - Fund for Peace,1096.8689677967425,9.9103743814879498e-187
1300: Age dependency ratio; young  (% of working-age population) - WDI,1060.4460589495332,7.4712964528173939e-182
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1058.8673792361235,1.2196440778505042e-181
1285: Life expectancy at birth; female  (years) - WDI,987.42680615658855,7.0208266250140908e-172
2707: Failed States Index Total - Fund for Peace,963.65018226422831,1.4186069969953731e-168
2708: Demographic Pressures - Fund for Peace,962.16223609536462,2.2892371283959008e-168
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,955.56421651295523,1.9171580659360563e-167
1298: Age dependency ratio  (% of working-age population) - WDI,931.56513936396175,4.5610105899449427e-164
1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,919.2173850806347,2.559558342743048e-162
2719: Human Flight - Fund for Peace,918.09741379497052,3.6916214531304929e-162
1058: Improved sanitation facilities  (% of population with access) - WDI,885.15796498185955,1.8858782090612432e-157
1278: Birth rate; crude  (per 1;000 people) - WDI,884.889016668556,2.061583105130899e-157
0736: Agriculture; value added  (% of GDP) - WDI,858.77775249126694,1.2283953794112602e-153
1946: Per capita government expenditure on health (PPP int. $) - WHO,852.13701017725145,1.136426994429904e-152
2706: Failed States Index Rank - Fund for Peace,850.2411402112408,2.1470443494217041e-152
1971: Per capita total expenditure on health (PPP int. $) - WHO,842.25995435990035,3.1422250358897131e-151
1289: Survival to age 65; female  (% of cohort) - WDI,838.5268838029159,1.1055497152781344e-150
1283: Mortality rate; infant  (per 1;000 live births) - WDI,818.84316184788804,8.6608891664420288e-148
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,761.76312419210876,2.8726886540400684e-139
1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI,753.11570288696248,5.8372953268068509e-138
1895: Mobile-cellular telephone subscriptions - ITU,737.99083426543359,1.1611318508946884e-135
1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,737.99083426543359,1.1611318508946884e-135
1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI,733.28605893250892,6.0645117873157253e-135
2711: Uneven Development - Fund for Peace,732.51207700354416,7.9621745726372624e-135
1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,709.62020018335079,2.6004268073840569e-131
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,706.17747673233544,8.8385722766804816e-131
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,694.53183000381523,5.6148282038161798e-129
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,684.99049723807309,1.7100191250341353e-127
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,682.48782647210533,4.1989228870045829e-127
2718: External Intervention - Fund for Peace,670.01304823381793,3.7488181929151753e-125
1288: Fertility rate; total  (births per woman) - WDI,668.54424393224645,6.3716267041300815e-125
2716: Security Apparatus - Fund for Peace,657.28478738853255,3.7568132080588029e-123
1033: Improved water source; rural  (% of rural population with access) - WDI,628.15287489311413,1.5671389179274613e-118
0954: School enrollment; secondary; male  (% gross) - WDI,613.65827740107204,3.2761089224569321e-116
1035: Improved water source  (% of population with access) - WDI,612.4635185923388,5.0963003892546459e-116
0729: External balance on goods and services  (% of GDP) - WDI,581.70562774978032,4.8043858363480227e-111
0952: School enrollment; secondary  (% gross) - WDI,575.55669816646753,4.831367912013556e-110
2713: Legitimacy of the State - Fund for Peace,574.04328507978403,8.535080747600209e-110
1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,566.3875748469726,1.5271436867294765e-108
0898: Pupil-teacher ratio; primary - WDI,534.48749248191598,2.8133313612580823e-103
0953: School enrollment; secondary; female  (% gross) - WDI,527.98772085832832,3.3979237549407483e-102
0882: School enrollment; tertiary (gross); gender parity index  (GPI) - WDI,525.93026010433903,7.4879927929044286e-102
0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,519.84231090243873,7.7909225354653549e-101
0819: Gross domestic savings  (% of GDP) - WDI,490.71236502959448,6.274414544782771e-96
0979: School enrollment; tertiary; female  (% gross) - WDI,490.20796561907758,7.6399964737914275e-96
1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,490.18888383057049,7.6971300311145601e-96
1297: Population ages 65 and above  (% of total) - WDI,483.95219386870946,8.8181833670538382e-95
0978: School enrollment; tertiary  (% gross) - WDI,466.96313755360569,7.0085114653126575e-92
2715: Human Rights - Fund for Peace,456.43031057000218,4.5196344107795769e-90
2709: Refugees and IDPs - Fund for Peace,448.25140609528256,1.1648583985274158e-88
1092: Tuberculosis case detection rate  (%; all forms) - WDI,430.17419123321923,1.6008955139138825e-85
1073: People practicing open defecation; rural  (% of rural population) - WDI,428.02773699027534,3.7908417390206968e-85
1376: Transport services  (% of commercial service imports) - WDI,419.91613408197645,9.9294451275926893e-84
1299: Age dependency ratio; old  (% of working-age population) - WDI,418.5315834343902,1.7359333560976101e-83
2717: Factionalized Elites - Fund for Peace,415.1955147850868,6.6795376556151107e-83
0980: School enrollment; tertiary; male  (% gross) - WDI,401.59947594741686,1.6570211223210685e-80
0957: School enrollment; secondary; male  (% net) - WDI,398.81079567113585,5.156924522153017e-80
1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI,397.20928750637233,9.9048296103575757e-80
1051: Lifetime risk of maternal death  (%) - WDI,388.0106457091465,4.2475985982296514e-78
1340: Tariff rate; applied; simple mean; all products  (%) - WDI,386.29119142511996,8.5912599941543143e-78
1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,379.88951355537961,1.1890998212174241e-76
0955: School enrollment; secondary  (% net) - WDI,379.29371206666224,1.5191624967872364e-76
1075: People practicing open defecation  (% of population) - WDI,377.11591584622209,3.721598276309957e-76
0956: School enrollment; secondary; female  (% net) - WDI,371.86903440785636,3.2352797834320055e-75
0039: Transport services  (% of service imports; BoP) - WDI,364.02137658783613,8.299983985890867e-74
2710: Group Grievance - Fund for Peace,363.73948638422854,9.3281294189772798e-74
0928: Primary education; teachers  (% female) - WDI,362.58032066911431,1.5080751764462113e-73
1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI,350.2602541351086,2.5298104433504355e-71
1034: Improved water source; urban  (% of urban population with access) - WDI,350.15098304854257,2.6477633033375991e-71
0940: Lower secondary completion rate; male  (% of relevant age group) - WDI,344.92196757063226,2.3506912953692506e-70
0941: Lower secondary completion rate; total  (% of relevant age group) - WDI,337.73302643697662,4.7745432675301308e-69
0887: School enrollment; preprimary; male  (% gross) - WDI,334.55450833964534,1.8138838495155083e-68
0886: School enrollment; preprimary; female  (% gross) - WDI,328.96994380934541,1.902346667062757e-67
1341: Tariff rate; most favored nation; simple mean; all products  (%) - WDI,326.30264714382167,5.8584321763678278e-67
0885: School enrollment; preprimary  (% gross) - WDI,324.61869244022347,1.1926560796308072e-66
0939: Lower secondary completion rate; female  (% of relevant age group) - WDI,322.89357920213706,2.4720793282301305e-66
1350: Share of tariff lines with specific rates; primary products  (%) - WDI,318.20076560003781,1.8010966152534127e-65
2787: Balance of Payments-Exports-Transport (US dollar at current prices) - WTO,316.89943953647077,3.1265082290621713e-65
0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI,314.37301810650496,9.1309780195625034e-65
1101: Health expenditure; public  (% of total health expenditure) - WDI,311.86971556041271,2.6442021246830896e-64
1347: Share of tariff lines with international peaks; primary products  (%) - WDI,311.49610024020507,3.0993024965382027e-64
2805: Balance of Payments-Imports-Services (US dollar at current prices) - WTO,310.94015035711743,3.9256904226306705e-64
1095: External resources for health  (% of total expenditure on health) - WDI,308.12601343498312,1.3000617582291347e-63
2800: Balance of Payments-Imports-Commercial services (US dollar at current prices) - WTO,305.82610086298848,3.4636068800753051e-63
2722: Merchandise trade-Exports-Fuels and mining products (US dollar at current prices) - WTO,304.07135961076204,7.3206151509838031e-63
1185: Employment in services  (% of total employment) - WDI,301.60558942358892,2.0977313587042715e-62
1160: Wage and salaried workers; total  (% of total employed) - WDI,291.5866551848531,1.5321741067434032e-60
1348: Tariff rate; applied; simple mean; primary products  (%) - WDI,286.80732555574275,1.1956683301957747e-59
0948: Pupil-teacher ratio; secondary - WDI,283.0902528018209,5.9304419056887231e-59
1344: Tariff rate; most favored nation; weighted mean; all products  (%) - WDI,279.8497613991305,2.4014157630307165e-58
1339: Share of tariff lines with international peaks; all products  (%) - WDI,279.15792750078299,3.2379560690650993e-58
2797: Balance of Payments-Exports-Services (US dollar at current prices) - WTO,276.72288757413497,9.2790569478328219e-58
2740: Merchandise trade-Exports-Fuels (US dollar at current prices) - WTO,273.66392968398031,3.4889761811980489e-57
2785: Balance of Payments-Exports-Commercial services (US dollar at current prices) - WTO,273.3882370094409,3.9317182076288246e-57
0064: Insurance and financial services  (% of service exports; BoP) - WDI,273.31568727333149,4.0573007649938952e-57
1148: Self-employed; total  (% of total employed) - WDI,270.38742456145525,1.4447705039486965e-56
1096: Out-of-pocket health expenditure  (% of total expenditure on health) - WDI,268.45022582833218,3.3507445348130551e-56
1336: Tariff rate; most favored nation; weighted mean; manufactured products  (%) - WDI,266.52515842950498,7.7367088164486503e-56
0003: Fertilizer consumption  (kilograms per hectare of arable land) - WDI,265.94859337781236,9.9419242024784798e-56
1331: Share of tariff lines with international peaks; manufactured products  (%) - WDI,263.9000213488078,2.424996153077222e-55
0029: Cereal yield  (kg per hectare) - WDI,261.22953590221425,7.7647231735509352e-55
2804: Balance of Payments-Imports-Other commercial services (US dollar at current prices) - WTO,255.29016591281112,1.0392310956178419e-53
2822: Balance of Payments-Imports-Other business services (US dollar at current prices) - WTO,254.99733433596188,1.1812624982507077e-53
0921: Repeaters; primary; female  (% of female enrollment) - WDI,252.89599187325882,2.9636223622504333e-53
2806: Balance of Payments-Imports-Other services (US dollar at current prices) - WTO,252.10547188701113,4.1900364646918216e-53
2742: Merchandise trade-Exports-Chemicals (US dollar at current prices) - WTO,252.05002088182655,4.2930858233553944e-53
0923: Repeaters; primary; total  (% of total enrollment) - WDI,251.62177791773189,5.1792889336720537e-53
2816: Balance of Payments-Imports-Financial services (US dollar at current prices) - WTO,248.58622848732341,1.9610921498816262e-52
1041: Immunization; measles  (% of children ages 12-23 months) - WDI,247.46702328331239,3.2056861340907606e-52
1040: Immunization; DPT  (% of children ages 12-23 months) - WDI,245.19429429657708,8.7035176894712803e-52
0922: Repeaters; primary; male  (% of male enrollment) - WDI,244.39928202881765,1.2346750881840071e-51
1093: Incidence of tuberculosis  (per 100;000 people) - WDI,244.28406512843216,1.2988705598570077e-51
0947: Pupil-teacher ratio; lower secondary - WDI,235.95172128257539,5.1175165446363192e-50
1305: Population; female  (% of total) - WDI,233.56393170599662,1.4708432396547571e-49
0775: Adjusted savings: gross savings  (% of GNI) - WDI,230.22158173377755,6.4615944599043827e-49
0839: Gross savings  (% of GNI) - WDI,230.22146707843629,6.4619228194914854e-49
2802: Balance of Payments-Imports-Transport (US dollar at current prices) - WTO,229.72032843966235,8.069273910380075e-49
2818: Balance of Payments-Imports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,226.43090948855152,3.4730081891290039e-48
2788: Balance of Payments-Exports-Travel (US dollar at current prices) - WTO,223.25569176191615,1.4243591804450124e-47
2803: Balance of Payments-Imports-Travel (US dollar at current prices) - WTO,221.82813849673801,2.6885476180876695e-47
2780: Merchandise trade-Exports-Total merchandise (US dollar at current prices) - WTO,220.02421504121926,6.0042048597312847e-47
2726: Merchandise trade-Imports-Food (US dollar at current prices) - WTO,219.95748039313099,6.1854399412477072e-47
2743: Merchandise trade-Exports-Pharmaceuticals (US dollar at current prices) - WTO,219.81457362446665,6.5921753261798078e-47
1342: Share of tariff lines with specific rates; all products  (%) - WDI,219.28456007201424,8.348835192257893e-47
0798: Forest rents  (% of GDP) - WDI,215.23767085319039,5.081102785112621e-46
1384: Insurance and financial services  (% of commercial service exports) - WDI,215.12603576761637,5.3409454909094777e-46
2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,214.18683631109386,8.1264145352808077e-46
2732: Merchandise trade-Imports-Pharmaceuticals (US dollar at current prices) - WTO,214.0881731090337,8.4928401570720759e-46
1074: People practicing open defecation; urban  (% of urban population) - WDI,205.81089234367354,3.4640151950978985e-44
0976: Adolescents out of school  (% of lower secondary school age) - WDI,203.70836442302368,8.9087563292284851e-44
0894: Primary completion rate; total  (% of relevant age group) - WDI,202.79911268641729,1.3408222358826234e-43
0892: Primary completion rate; female  (% of relevant age group) - WDI,199.89301888419365,4.95957937629855e-43
0084: Stocks traded; total value  (% of GDP) - WDI,198.42844741326897,9.5956358041942636e-43
1135: Employment in agriculture  (% of total employment) - WDI,197.97237298318473,1.1786310744560069e-42
0759: Services; etc.; value added  (% of GDP) - WDI,196.23158206840318,2.5849162369771215e-42
2729: Merchandise trade-Imports-Manufactures (US dollar at current prices) - WTO,194.82048420068816,4.8882830701369888e-42
0893: Primary completion rate; male  (% of relevant age group) - WDI,191.90248833602541,1.8282591954010757e-41
2730: Merchandise trade-Imports-Iron and steel (US dollar at current prices) - WTO,191.59747169596486,2.0988117265443675e-41
2809: Balance of Payments-Exports-Telecommunications services (US dollar at current prices) - WTO,190.97584785768603,2.780695288587735e-41
2795: Balance of Payments-Exports-Other business services (US dollar at current prices) - WTO,185.43002965703471,3.4357807063914115e-40
0055: Net secondary income  (BoP; current US$) - WDI,184.60715533681008,4.9925007266792204e-40
2781: Merchandise trade-Imports-Total merchandise (US dollar at current prices) - WTO,184.49072602079534,5.2636503327143851e-40
2736: Merchandise trade-Imports-Transport equipment (US dollar at current prices) - WTO,184.06681051575481,6.3815841788077234e-40
2725: Merchandise trade-Imports-Agricultural products (US dollar at current prices) - WTO,182.90248677273865,1.0833236117403667e-39
1335: Tariff rate; applied; weighted mean; manufactured products  (%) - WDI,182.76323764334833,1.1541305409395459e-39
2789: Balance of Payments-Exports-Other commercial services (US dollar at current prices) - WTO,182.66345157374107,1.2077037476243246e-39
2739: Merchandise trade-Imports-Clothing (US dollar at current prices) - WTO,182.65111526455664,1.214497513350767e-39
2792: Balance of Payments-Exports-Financial services (US dollar at current prices) - WTO,181.4449483152907,2.1022030813633528e-39
0949: Pupil-teacher ratio; upper secondary - WDI,181.26794986818291,2.2785262262062045e-39
1354: Food imports  (% of merchandise imports) - WDI,180.66078344465529,3.003803048944484e-39
2798: Balance of Payments-Exports-Other services (US dollar at current prices) - WTO,180.36068490147312,3.4435487464885735e-39
1381: Food exports  (% of merchandise exports) - WDI,178.64800364348778,7.5131525902705171e-39
0934: Children out of school; female  (% of female primary school age) - WDI,178.20400372590279,9.1983559303476029e-39
2731: Merchandise trade-Imports-Chemicals (US dollar at current prices) - WTO,178.11338622385219,9.5862828568461755e-39
0930: Adjusted net enrollment rate; primary; female  (% of primary school age children) - WDI,178.0846278439364,9.7127872750622581e-39
2733: Merchandise trade-Imports-Machinery and transport equipment (US dollar at current prices) - WTO,176.20934530570324,2.2846096142820999e-38
1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,175.20238042841751,3.6177441797013603e-38
0937: Children out of school  (% of primary school age) - WDI,171.82599766966817,1.692803488305413e-37
0929: Adjusted net enrollment rate; primary  (% of primary school age children) - WDI,171.75134921537199,1.7516106208786473e-37
2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,169.80097887371969,4.2771363959468183e-37
1352: Tariff rate; most favored nation; weighted mean; primary products  (%) - WDI,169.12968129943229,5.8169955077270454e-37
0906: School enrollment; primary; female  (% net) - WDI,168.74550278331969,6.9366291338000648e-37
0884: Pupil-teacher ratio; preprimary - WDI,168.41911376287567,8.0558489550763566e-37
2752: Merchandise trade-Imports-Electronic data processing and office equipment (US dollar at current prices) - WTO,166.88028130473,1.6313724405292937e-36
1389: Merchandise exports to high-income economies  (% of total merchandise exports) - WDI,166.31622892878752,2.1132183481248323e-36
1103: Health expenditure; public  (% of GDP) - WDI,164.04234461203893,6.0033413556362576e-36
2737: Merchandise trade-Imports-Automotive products (US dollar at current prices) - WTO,163.87364916971865,6.4871917688248324e-36
0730: Trade  (% of GDP) - WDI,163.61547827270277,7.3043527584099096e-36
1922: Private expenditure on health as a percentage of total expenditure on health - WHO,163.18669741430435,8.8955574103222023e-36
0973: Secondary education; teachers  (% female) - WDI,161.78771799280898,1.6926831521367731e-35
0905: School enrollment; primary  (% net) - WDI,161.60257827395961,1.8431815203926175e-35
2735: Merchandise trade-Imports-Telecommunications equipment (US dollar at current prices) - WTO,161.10257046620166,2.3200274954232783e-35
1374: Computer; communications and other services  (% of commercial service imports) - WDI,160.87056784049096,2.5814739458912663e-35
1994: General government expenditure on health as a percentage of total expenditure on health - WHO,159.54007348412986,4.7636047267554314e-35
2720: Merchandise trade-Exports-Agricultural products (US dollar at current prices) - WTO,157.45979261919896,1.2426424777951836e-34
0936: Children out of school; male  (% of male primary school age) - WDI,156.99177666914491,1.5420446092086182e-34
0931: Adjusted net enrollment rate; primary; male  (% of primary school age children) - WDI,156.87610170435715,1.6265680847681088e-34
2721: Merchandise trade-Exports-Food (US dollar at current prices) - WTO,153.48973786050112,7.7696730980528094e-34
0005: Agricultural land  (% of land area) - WDI,150.0729179309709,3.7755059583403758e-33
1358: Manufactures imports  (% of merchandise imports) - WDI,149.70552820377173,4.4758781556056655e-33
0907: School enrollment; primary; male  (% net) - WDI,146.50972732479255,1.9696834206870609e-32
0765: Adjusted savings: net forest depletion  (% of GNI) - WDI,146.07794257683832,2.4067622534277228e-32
1269: Prevalence of undernourishment  (% of population) - WDI,143.69486726738978,7.281009794692729e-32
2819: Balance of Payments-Imports-Telecommunications services (US dollar at current prices) - WTO,143.21199800975631,9.1135157460485088e-32
0879: School enrollment; primary (gross); gender parity index  (GPI) - WDI,140.4437519886875,3.3047659279328754e-31
1369: Merchandise imports from low- and middle-income economies in Sub-Saharan Africa  (% of total merchandise imports) - WDI,139.60589998250953,4.8825445093415656e-31
1270: Depth of the food deficit  (kilocalories per person per day) - WDI,139.07369286226759,6.2569099442804057e-31
0078: Personal remittances; received  (% of GDP) - WDI,136.4928276480376,2.0853491794558051e-30
1279: Death rate; crude  (per 1;000 people) - WDI,135.7556838272082,2.9420571587901637e-30
2748: Merchandise trade-Exports-Integrated circuits and electronic components (US dollar at current prices) - WTO,134.39644643136674,5.5518374245512331e-30
0946: Secondary education; general pupils  (% female) - WDI,133.98098292903694,6.7418214796124992e-30
0046: Current account balance  (% of GDP) - WDI,133.26659530647683,9.4156155503954734e-30
2723: Merchandise trade-Exports-Manufactures (US dollar at current prices) - WTO,132.33722028416707,1.4543521048684784e-29
2749: Merchandise trade-Exports-Transport equipment (US dollar at current prices) - WTO,128.41546890253613,9.132659551618944e-29
2791: Balance of Payments-Exports-Insurance and pension services (US dollar at current prices) - WTO,128.38874873343775,9.2478375949196872e-29
2734: Merchandise trade-Imports-Office and telecom equipment (US dollar at current prices) - WTO,127.45448437167498,1.4335253242371171e-28
2744: Merchandise trade-Exports-Machinery and transport equipment (US dollar at current prices) - WTO,126.49121067738912,2.2531636290231313e-28
0152: Currency composition of PPG debt; SDR  (%) - WDI,125.95142289065674,2.9032967262462493e-28
1406: Travel services  (% of commercial service exports) - WDI,125.79512339850125,3.1244814491971968e-28
2738: Merchandise trade-Imports-Textiles (US dollar at current prices) - WTO,124.92296990015063,4.7071725016388166e-28
0031: Communications; computer; etc.  (% of service imports; BoP) - WDI,124.90410552431393,4.7490947604238826e-28
2728: Merchandise trade-Imports-Fuels (US dollar at current prices) - WTO,124.03248306104909,7.1545082045699589e-28
0914: School enrollment; primary; private  (% of total primary) - WDI,123.23348698458086,1.041841805890246e-27
1396: Merchandise exports to low- and middle-income economies in Sub-Saharan Africa  (% of total merchandise exports) - WDI,121.69077759605456,2.153649096802074e-27
1349: Tariff rate; most favored nation; simple mean; primary products  (%) - WDI,120.52753860489557,3.7253598836629846e-27
2750: Merchandise trade-Exports-Automotive products (US dollar at current prices) - WTO,118.02779111710488,1.211082361696314e-26
1356: ICT goods imports  (% total goods imports) - WDI,115.91294973284441,3.2881463061037411e-26
0844: Net taxes on products  (current US$) - WDI,111.5643049544213,2.5744124581908865e-25
2727: Merchandise trade-Imports-Fuels and mining products (US dollar at current prices) - WTO,110.84506642871415,3.6201490136444092e-25
2794: Balance of Payments-Exports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,110.01990770840059,5.3537596289754926e-25
0903: Gross intake ratio in first grade of primary education; male  (% of relevant age group) - WDI,106.4412689297226,2.9285558265884219e-24
0760: Adjusted savings: education expenditure  (current US$) - WDI,106.26935930437961,3.1779477214314081e-24
0766: Adjusted savings: consumption of fixed capital  (current US$) - WDI,105.29941674200721,5.0405445973721699e-24
1404: High-technology exports  (% of manufactured exports) - WDI,104.90060647942055,6.0937238345269964e-24
1963: Private prepaid plans as a percentage of private expenditure on health - WHO,104.17950793366512,8.5888401202989689e-24
1383: ICT goods exports  (% of total goods exports) - WDI,99.021817597168251,1.0046821601224683e-22
0880: School enrollment; primary and secondary (gross); gender parity index  (GPI) - WDI,98.423157672297336,1.3373109769352284e-22
1351: Tariff rate; applied; weighted mean; primary products  (%) - WDI,96.281880125600722,3.7228517145888328e-22
