811,score,p-value
0757: Services; etc.; value added  (annual % growth) - WDI,96.543310481684017,3.153833822975761e-22
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,81.197305760945994,5.1100095000402625e-19
1167: GDP per person employed  (constant 2011 PPP $) - WDI,68.553453436415253,2.3878796025846934e-16
0746: Industry; value added  (annual % growth) - WDI,67.317877169085818,4.3670665256402386e-16
0781: Adjusted net national income per capita  (current US$) - WDI,64.336340508272158,1.8786351155864682e-15
0808: GDP per capita  (current US$) - WDI,56.798580011831881,7.6271919514323339e-14
0835: GNI per capita; PPP  (current international $) - WDI,54.527734091604223,2.3382163276673884e-13
0813: GDP per capita; PPP  (current international $) - WDI,53.189022072748358,4.5304148614631762e-13
0830: GNI per capita; Atlas method  (current US$) - WDI,53.125761256807323,4.6743403016665357e-13
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,52.920452083542159,5.17375880375919e-13
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,52.670765676430499,5.8537171156702381e-13
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,51.390091615265682,1.1032373342812754e-12
0810: GDP per capita  (constant 2005 US$) - WDI,51.104608894170127,1.2707680142369493e-12
0149: Currency composition of PPG debt; Japanese yen  (%) - WDI,49.794273925387856,2.4326264476882809e-12
0763: Adjusted savings: carbon dioxide damage  (% of GNI) - WDI,49.529858916451872,2.7734684630061895e-12
1098: Health expenditure per capita  (current US$) - WDI,47.680761504120106,6.9447633652970704e-12
1185: Employment in services  (% of total employment) - WDI,46.649266850901888,1.1596622446469458e-11
1899: Percentage of Individuals using the Internet (%) - ITU,46.45208198023618,1.2791570155017865e-11
2706: Failed States Index Rank - Fund for Peace,45.592589654666988,1.9618736545939766e-11
0832: GNI per capita  (constant 2005 US$) - WDI,45.153508359173536,2.4413066295272468e-11
1971: Per capita total expenditure on health (PPP int. $) - WHO,42.341744651164021,9.9233823383221746e-11
1946: Per capita government expenditure on health (PPP int. $) - WHO,41.564245622352203,1.4634602025595152e-10
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,41.039318787720489,1.9027055856076668e-10
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,39.176792541018408,4.8345466197947215e-10
0224: Average interest on new external debt commitments; private  (%) - WDI,38.603598974453313,6.4440571026347974e-10
2708: Demographic Pressures - Fund for Peace,38.354680843317425,7.301006077285419e-10
0256: Average maturity on new external debt commitments; private  (years) - WDI,37.696764757717077,1.0157238953084821e-09
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,37.373222393961022,1.1949019170068463e-09
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,37.046989613536091,1.4076766340536728e-09
1135: Employment in agriculture  (% of total employment) - WDI,36.929932914440073,1.4929546863625511e-09
2714: Public Services - Fund for Peace,35.61938405428203,2.8858755397428675e-09
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,33.55978944916577,8.1480858311135852e-09
0777: Adjusted savings: net national savings  (% of GNI) - WDI,33.50311933024615,8.3844752387815872e-09
2707: Failed States Index Total - Fund for Peace,33.077677282618346,1.039320009599682e-08
2711: Uneven Development - Fund for Peace,32.755473406834632,1.2229943641117945e-08
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,32.334391388271449,1.5129874831015415e-08
1096: Out-of-pocket health expenditure  (% of total expenditure on health) - WDI,32.274282124528852,1.5596649734275162e-08
0221: Average grant element on new external debt commitments; private  (%) - WDI,32.181397632102573,1.6346497790896606e-08
2715: Human Rights - Fund for Peace,32.165165948865017,1.6481197478698874e-08
1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI,31.875032078776059,1.9085696898139612e-08
1101: Health expenditure; public  (% of total health expenditure) - WDI,30.941274880860139,3.061667073674126e-08
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,30.759938968244168,3.3562138547081161e-08
2704: Corruption perceptions index - Transparency,30.294983737423507,4.2479821676688414e-08
2710: Group Grievance - Fund for Peace,28.091704963644226,1.3004615402630892e-07
2709: Refugees and IDPs - Fund for Peace,27.622672640461126,1.6510475292678086e-07
1148: Self-employed; total  (% of total employed) - WDI,26.936935055635761,2.3413322314746741e-07
2712: Poverty and Economic Decline - Fund for Peace,26.904926812435018,2.3798438493431814e-07
0064: Insurance and financial services  (% of service exports; BoP) - WDI,26.830071876140408,2.4724075102501691e-07
2717: Factionalized Elites - Fund for Peace,26.352147062188372,3.1548259808951314e-07
2713: Legitimacy of the State - Fund for Peace,26.311424655429029,3.2210622468997586e-07
