2713,score,p-value
2713: Legitimacy of the State - Fund for Peace,23360.335841452124,0.0
2707: Failed States Index Total - Fund for Peace,7990.398772862739,0.0
2715: Human Rights - Fund for Peace,5996.6917103592605,0.0
2717: Factionalized Elites - Fund for Peace,5064.538535496742,0.0
2706: Failed States Index Rank - Fund for Peace,4421.1739595539857,0.0
2716: Security Apparatus - Fund for Peace,4355.6406807135563,0.0
2704: Corruption perceptions index - Transparency,4164.2287879271071,0.0
2714: Public Services - Fund for Peace,2705.6016358070165,0.0
2708: Demographic Pressures - Fund for Peace,2433.7587777722929,1.9605483699064391e-309
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,2342.6287907337955,4.4176312595175191e-302
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2271.4711392585727,3.2495292523870212e-296
2718: External Intervention - Fund for Peace,2219.7439287995671,7.0493527439254156e-292
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,2214.5767769938839,1.9262241440515494e-291
2711: Uneven Development - Fund for Peace,2141.1659669127812,3.5903747906660473e-285
1098: Health expenditure per capita  (current US$) - WDI,2025.8589469418146,4.6868915300930558e-275
1899: Percentage of Individuals using the Internet (%) - ITU,2024.4920988889216,6.2061632711258644e-275
2710: Group Grievance - Fund for Peace,1817.3344340934414,7.2209874538507346e-256
0781: Adjusted net national income per capita  (current US$) - WDI,1721.2083741242091,1.3351615564066506e-246
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1686.4336677634269,3.5338334920080242e-243
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1679.7300856649495,1.6310568480731929e-242
0830: GNI per capita; Atlas method  (current US$) - WDI,1647.3750057891689,2.7465023422122356e-239
0810: GDP per capita  (constant 2005 US$) - WDI,1609.2055638628854,1.9457997492665407e-235
0832: GNI per capita  (constant 2005 US$) - WDI,1532.4514350161562,1.5182220394909802e-227
1946: Per capita government expenditure on health (PPP int. $) - WHO,1507.3696637903756,6.384069847139379e-225
2712: Poverty and Economic Decline - Fund for Peace,1501.5035025137811,2.6424366615694937e-224
1299: Age dependency ratio; old  (% of working-age population) - WDI,1440.8908280828239,7.4148060924667925e-218
1971: Per capita total expenditure on health (PPP int. $) - WHO,1437.0946284137299,1.8988974123961821e-217
1297: Population ages 65 and above  (% of total) - WDI,1431.6443236246164,7.3419059385589358e-217
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1416.9538006530668,2.8473818032722677e-215
0808: GDP per capita  (current US$) - WDI,1412.5137196116668,8.6342344402903629e-215
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1393.1001546147288,1.1263499229183917e-212
2719: Human Flight - Fund for Peace,1382.6170612429125,1.5852483993058774e-211
2709: Refugees and IDPs - Fund for Peace,1254.7544401787022,3.6777644318126018e-197
1103: Health expenditure; public  (% of GDP) - WDI,1226.7533653456355,6.3617323047823384e-194
1287: Life expectancy at birth; male  (years) - WDI,1025.9301733383963,1.2247630676994599e-169
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1014.4406466005515,3.4471390020580354e-168
1286: Life expectancy at birth; total  (years) - WDI,983.79359488049272,2.7385087027578887e-164
1285: Life expectancy at birth; female  (years) - WDI,905.40110373866639,4.4239128778711173e-154
1290: Survival to age 65; male  (% of cohort) - WDI,864.18995664500392,1.4195514342272241e-148
1295: Population ages 0-14  (% of total) - WDI,851.95504463413272,6.3997612017404446e-147
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,834.33512871913456,1.5995348886695699e-144
1278: Birth rate; crude  (per 1;000 people) - WDI,751.45667984776003,5.5201679105729199e-133
1283: Mortality rate; infant  (per 1;000 live births) - WDI,734.43904908465731,1.4653246851161741e-130
0978: School enrollment; tertiary  (% gross) - WDI,698.98852423832852,1.8970937279579529e-125
0835: GNI per capita; PPP  (current international $) - WDI,686.64471636467954,1.1978434256916348e-123
0979: School enrollment; tertiary; female  (% gross) - WDI,686.58807902154797,1.2209136732241952e-123
1350: Share of tariff lines with specific rates; primary products  (%) - WDI,686.1040237705821,1.4371485806233481e-123
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,684.36949768714271,2.5786695048105374e-123
1289: Survival to age 65; female  (% of cohort) - WDI,680.53966763150288,9.3916438567811714e-123
1300: Age dependency ratio; young  (% of working-age population) - WDI,679.28871075451502,1.4332455871419334e-122
1312: Rural population  (% of total population) - WDI,630.93974596594603,2.1750473634443768e-115
1315: Urban population  (% of total) - WDI,630.92651590827495,2.1850281591359142e-115
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,630.22018638644101,2.7901576068544143e-115
0813: GDP per capita; PPP  (current international $) - WDI,622.82737119820342,3.6232520743001547e-114
0980: School enrollment; tertiary; male  (% gross) - WDI,619.07862833876209,1.3343551889240604e-113
1033: Improved water source; rural  (% of rural population with access) - WDI,606.52450901868917,1.0690645832395734e-111
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,596.59457853001572,3.4934475651962423e-110
0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI,576.06344659329511,4.9905726305670865e-107
1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI,568.87464680467951,6.4649619868648007e-106
1035: Improved water source  (% of population with access) - WDI,564.91109307507463,2.6646294285380064e-105
0759: Services; etc.; value added  (% of GDP) - WDI,545.15915840610353,3.2314856138684182e-102
0954: School enrollment; secondary; male  (% gross) - WDI,536.68269490723628,6.9568032579823854e-101
1104: Health expenditure; total  (% of GDP) - WDI,533.51038024592151,2.2018606464256935e-100
1288: Fertility rate; total  (births per woman) - WDI,530.46100936137316,6.6765619808908685e-100
0952: School enrollment; secondary  (% gross) - WDI,517.36181458304111,7.9940647060853957e-98
1167: GDP per person employed  (constant 2011 PPP $) - WDI,511.40416840630195,7.1230929824741462e-97
1895: Mobile-cellular telephone subscriptions - ITU,508.77134568908917,1.8767096455322049e-96
1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,508.77134568908917,1.8767096455322049e-96
1102: Health expenditure; public  (% of government expenditure) - WDI,502.13354591777249,2.171258237997342e-95
1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI,491.51822499991658,1.1090163494496296e-93
0953: School enrollment; secondary; female  (% gross) - WDI,476.5144841583629,2.9909409176069585e-91
1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,473.8200353664854,8.21142252174499e-91
1058: Improved sanitation facilities  (% of population with access) - WDI,468.22155013469012,6.7263887988752799e-90
1096: Out-of-pocket health expenditure  (% of total expenditure on health) - WDI,458.99343049090709,2.1842775914146825e-88
0736: Agriculture; value added  (% of GDP) - WDI,434.13264421440937,2.8128760645490638e-84
1101: Health expenditure; public  (% of total health expenditure) - WDI,423.9347248160438,1.4164607867159023e-82
1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI,407.2874788471571,8.9187197625907861e-80
1402: Commercial service exports  (current US$) - WDI,407.06848068912677,9.711752458735106e-80
0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,405.55478472707892,1.7503609492920087e-79
1974: Total expenditure on health as a percentage of gross domestic product - WHO,405.07827078839557,2.1072104736277133e-79
1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,404.22034410306043,2.9433400933019766e-79
0066: Service exports  (BoP; current US$) - WDI,398.55779731655815,2.6822368844480995e-78
1375: Commercial service imports  (current US$) - WDI,397.73019416404657,3.7068836049306932e-78
1342: Share of tariff lines with specific rates; all products  (%) - WDI,397.69728326029116,3.7548964147904273e-78
2797: Balance of Payments-Exports-Services (US dollar at current prices) - WTO,387.38138631587697,2.1456448411354591e-76
2743: Merchandise trade-Exports-Pharmaceuticals (US dollar at current prices) - WTO,387.00628802375206,2.4867660940096957e-76
1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,382.22525511349187,1.6351360715547015e-75
0036: Service imports  (BoP; current US$) - WDI,380.5999350658991,3.1053427773464046e-75
1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,377.26721848284075,1.1590132506787107e-74
1034: Improved water source; urban  (% of urban population with access) - WDI,371.87964347412282,9.7953414022443084e-74
0032: Primary income payments  (BoP; current US$) - WDI,369.31510454528734,2.7117202546823076e-73
2785: Balance of Payments-Exports-Commercial services (US dollar at current prices) - WTO,364.07309631020809,2.1836345985110471e-72
0885: School enrollment; preprimary  (% gross) - WDI,363.85555790423098,2.3814088783320506e-72
2742: Merchandise trade-Exports-Chemicals (US dollar at current prices) - WTO,360.49449679310635,9.1033110127932948e-72
1092: Tuberculosis case detection rate  (%; all forms) - WDI,360.13990032896618,1.0488297514638871e-71
2805: Balance of Payments-Imports-Services (US dollar at current prices) - WTO,357.60102601852344,2.8936354823390461e-71
2732: Merchandise trade-Imports-Pharmaceuticals (US dollar at current prices) - WTO,353.6773930705458,1.3926257605691655e-70
2787: Balance of Payments-Exports-Transport (US dollar at current prices) - WTO,353.56354434599046,1.4576650108046401e-70
0059: ICT service exports  (BoP; current US$) - WDI,352.37719753411312,2.3458555570496739e-70
1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,351.0287316119485,4.030461099373682e-70
2800: Balance of Payments-Imports-Commercial services (US dollar at current prices) - WTO,350.36633146341501,5.2587883103479658e-70
0886: School enrollment; preprimary; female  (% gross) - WDI,348.57296073654078,1.0811687300571058e-69
0887: School enrollment; preprimary; male  (% gross) - WDI,344.55771481614397,5.4434395937602183e-69
1340: Tariff rate; applied; simple mean; all products  (%) - WDI,332.46239324396527,7.250534226781599e-67
0062: Primary income receipts  (BoP; current US$) - WDI,331.43183635513537,1.1017285453260457e-66
2822: Balance of Payments-Imports-Other business services (US dollar at current prices) - WTO,323.99757936153736,2.2704028958142127e-65
2720: Merchandise trade-Exports-Agricultural products (US dollar at current prices) - WTO,323.96004244000738,2.3054314141338808e-65
2721: Merchandise trade-Exports-Food (US dollar at current prices) - WTO,315.78527297393669,6.5211211782009428e-64
1051: Lifetime risk of maternal death  (%) - WDI,312.1030127224501,2.9543011911489252e-63
1298: Age dependency ratio  (% of working-age population) - WDI,305.52439479853336,4.4283402367045053e-62
2818: Balance of Payments-Imports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,300.47766233477478,3.5591750739373958e-61
2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,294.86038209910163,3.6474177810069819e-60
2804: Balance of Payments-Imports-Other commercial services (US dollar at current prices) - WTO,289.63420206636272,3.2011595494770987e-59
0038: Imports of goods; services and primary income  (BoP; current US$) - WDI,288.99079990285583,4.1845163622831944e-59
2726: Merchandise trade-Imports-Food (US dollar at current prices) - WTO,287.74582088903065,7.028878494079157e-59
0068: Exports of goods; services and primary income  (BoP; current US$) - WDI,285.85825877473735,1.5442013271447826e-58
1344: Tariff rate; most favored nation; weighted mean; all products  (%) - WDI,279.62551999754697,2.0900212694329978e-57
2795: Balance of Payments-Exports-Other business services (US dollar at current prices) - WTO,279.03212920739855,2.6797394319135704e-57
1963: Private prepaid plans as a percentage of private expenditure on health - WHO,275.00958327052535,1.4482502278199684e-56
1389: Merchandise exports to high-income economies  (% of total merchandise exports) - WDI,273.23776701516181,3.0490623870624773e-56
1296: Population ages 15-64  (% of total) - WDI,272.84721179566964,3.5932046691320902e-56
0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,270.45757823847617,9.8219843135219584e-56
1325: International tourism; expenditures  (current US$) - WDI,269.43902036497315,1.5084767531534988e-55
2731: Merchandise trade-Imports-Chemicals (US dollar at current prices) - WTO,268.12197073593853,2.6281896533136812e-55
1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI,266.94689750792276,4.3146531549209961e-55
1324: International tourism; expenditures for travel items  (current US$) - WDI,264.81913619046674,1.0596761566030103e-54
2739: Merchandise trade-Imports-Clothing (US dollar at current prices) - WTO,264.7854463787063,1.0748698594237872e-54
2806: Balance of Payments-Imports-Other services (US dollar at current prices) - WTO,263.31672044160143,1.9999485371491126e-54
2736: Merchandise trade-Imports-Transport equipment (US dollar at current prices) - WTO,263.09231509337684,2.1990834334200387e-54
1311: Rural population growth  (annual %) - WDI,261.67142584655261,4.0122507220786013e-54
0720: Imports of goods and services  (current US$) - WDI,256.31234182492642,3.8939190922217291e-53
1323: International tourism; receipts for travel items  (current US$) - WDI,252.7791607200455,1.7493772920428502e-52
2789: Balance of Payments-Exports-Other commercial services (US dollar at current prices) - WTO,250.94376154922264,3.8229630132089745e-52
1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,250.5766951802959,4.4704071324367401e-52
0033: Imports of goods and services  (BoP; current US$) - WDI,249.97442231366333,5.7791779956907355e-52
0063: Exports of goods and services  (BoP; current US$) - WDI,247.43764421851787,1.7062429314591731e-51
1319: International tourism; receipts  (current US$) - WDI,247.21075751783795,1.8798740333941377e-51
0957: School enrollment; secondary; male  (% net) - WDI,247.02955831137515,2.0311676363911368e-51
1376: Transport services  (% of commercial service imports) - WDI,245.76230618604896,3.4910692089743883e-51
1040: Immunization; DPT  (% of children ages 12-23 months) - WDI,245.58580809841314,3.764719717831163e-51
2798: Balance of Payments-Exports-Other services (US dollar at current prices) - WTO,245.08457472530364,4.664734900422132e-51
0722: Imports of goods and services  (constant 2005 US$) - WDI,244.75343168031833,5.3746006648913501e-51
0955: School enrollment; secondary  (% net) - WDI,241.46966642804682,2.193228786486674e-50
1322: International tourism; expenditures for passenger transport items  (current US$) - WDI,240.63573275544576,3.1360527250516819e-50
2725: Merchandise trade-Imports-Agricultural products (US dollar at current prices) - WTO,237.69075865781258,1.1103433818657768e-49
0956: School enrollment; secondary; female  (% net) - WDI,237.03355990450507,1.4727397011192947e-49
1335: Tariff rate; applied; weighted mean; manufactured products  (%) - WDI,235.84967203150424,2.4503621232631324e-49
2750: Merchandise trade-Exports-Automotive products (US dollar at current prices) - WTO,235.64983473454262,2.6703503740767431e-49
2737: Merchandise trade-Imports-Automotive products (US dollar at current prices) - WTO,232.71199403144689,9.4627821265844326e-49
