X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
2713N: Legitimacy of the State - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0.83035,-0.1283015,0.015439987,0.83035,3.321928,0.9791075
2713N: Legitimacy of the State - Fund for Peace,2715: Human Rights - Fund for Peace,0.62712,-0.1934743,0.039990008,0.62712,5.087463,0.9058666
2713N: Legitimacy of the State - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0.62068,-0.14754254,0.05758995,0.61992,6.2479277,-0.876483
2713N: Legitimacy of the State - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0.61703,-0.24486327,0.03847003,0.61703,6.129283,0.9283821
2713N: Legitimacy of the State - Fund for Peace,2717: Factionalized Elites - Fund for Peace,0.59143,-0.2034114,0.05028999,0.59143,5.087463,0.8915388
2713N: Legitimacy of the State - Fund for Peace,2716: Security Apparatus - Fund for Peace,0.55116,-0.21476799,0.048270017,0.55116,5.2479277,0.8751731
2713N: Legitimacy of the State - Fund for Peace,2704: Corruption perceptions index - Transparency,0.54978,-0.20999843,0.08288002,0.54978,6.2094536,-0.8716527
2713N: Legitimacy of the State - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0.52526,-0.12080908,0.075889975,0.52526,6.0,-0.8037842
2713N: Legitimacy of the State - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0.51851,-0.09146434,0.07933998,0.51851,5.9068904,-0.78100854
2713N: Legitimacy of the State - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,0.51221,0.08171648,0.055339992,0.51221,6.2094536,-0.65612006
2713N: Legitimacy of the State - Fund for Peace,2708: Demographic Pressures - Fund for Peace,0.50695,-0.13464504,0.08041,0.50695,5.2479277,0.8009963
2713N: Legitimacy of the State - Fund for Peace,0020: Land area  (sq. km) - WDI,0.49826,0.4972944,0.42284998,0.49826,6.2479277,-0.031073887
2713N: Legitimacy of the State - Fund for Peace,1285: Life expectancy at birth; female  (years) - WDI,0.48567,0.094804615,0.05019,0.48567,5.087463,-0.6251923
2713N: Legitimacy of the State - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,0.48539,-0.10834879,0.07396999,0.48539,5.9541965,-0.77054447
2713N: Legitimacy of the State - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0.48132,-0.11295745,0.041559994,0.48132,6.169925,-0.77089393
2713N: Legitimacy of the State - Fund for Peace,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0.47347,0.061409682,0.059029996,0.47056,6.129283,-0.64191926
2713N: Legitimacy of the State - Fund for Peace,2714: Public Services - Fund for Peace,0.47084,-0.19607493,0.038589984,0.47084,5.087463,0.8166486
2713N: Legitimacy of the State - Fund for Peace,0028: Surface area  (sq. km) - WDI,0.46882,0.46753553,0.39322,0.46882,6.2479277,-0.03583971
2713N: Legitimacy of the State - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0.46011,-0.16271657,0.061130017,0.46011,6.2479277,-0.78919363
2713N: Legitimacy of the State - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,0.44636,-0.09209818,0.06548002,0.44379,6.2479277,-0.7337971
2713N: Legitimacy of the State - Fund for Peace,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0.44622,-0.19480965,0.027660012,0.44622,6.129283,-0.80064327
2713N: Legitimacy of the State - Fund for Peace,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0.44509,-0.19612128,0.028549999,0.44509,6.0,-0.8007567
2713N: Legitimacy of the State - Fund for Peace,0781: Adjusted net national income per capita  (current US$) - WDI,0.43797,-0.14858797,0.044840008,0.43797,4.321928,-0.76587075
2713N: Legitimacy of the State - Fund for Peace,1289: Survival to age 65; female  (% of cohort) - WDI,0.43644,0.111062616,0.034049988,0.43644,6.2479277,-0.5704186
2713N: Legitimacy of the State - Fund for Peace,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0.4355,-0.024374157,0.057390004,0.43277,6.169925,-0.6781402
2713N: Legitimacy of the State - Fund for Peace,2711: Uneven Development - Fund for Peace,0.43231,-0.18010741,0.04653001,0.43231,5.087463,0.782571
2713N: Legitimacy of the State - Fund for Peace,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,0.43126,0.13409111,0.031309992,0.43126,6.129283,0.545132
