2707,score,p-value
2707: Failed States Index Total - Fund for Peace,55277.016996493381,0.0
2706: Failed States Index Rank - Fund for Peace,13845.387876625457,0.0
2713: Legitimacy of the State - Fund for Peace,7697.4908414206848,0.0
2716: Security Apparatus - Fund for Peace,7492.5593058289187,0.0
2714: Public Services - Fund for Peace,6260.3189598978088,0.0
2708: Demographic Pressures - Fund for Peace,5574.3536651514605,0.0
2715: Human Rights - Fund for Peace,5496.1404135072517,0.0
2717: Factionalized Elites - Fund for Peace,5135.4360363351025,0.0
2704: Corruption perceptions index - Transparency,4232.3238453976164,0.0
2718: External Intervention - Fund for Peace,3860.1966268000724,0.0
2711: Uneven Development - Fund for Peace,3532.8628025274779,0.0
1899: Percentage of Individuals using the Internet (%) - ITU,3158.0144833707373,0.0
2710: Group Grievance - Fund for Peace,2987.0487102930383,0.0
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2812.466073385569,0.0
2712: Poverty and Economic Decline - Fund for Peace,2809.3785529531046,0.0
2709: Refugees and IDPs - Fund for Peace,2728.1904527411366,0.0
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,2616.5651057120963,9.8813129168249309e-324
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,2381.449757943999,3.0997081218817454e-305
2719: Human Flight - Fund for Peace,2289.9535998193355,9.4883114826467646e-298
0830: GNI per capita; Atlas method  (current US$) - WDI,2235.2627981439491,3.4732284275644476e-293
0810: GDP per capita  (constant 2005 US$) - WDI,2222.6230393608548,4.028758620908462e-292
0781: Adjusted net national income per capita  (current US$) - WDI,2140.6041105467571,4.0144823229070132e-285
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,2102.9825285935972,7.3801893514946382e-282
0808: GDP per capita  (current US$) - WDI,2002.2053861372567,6.1366231034854067e-273
1098: Health expenditure per capita  (current US$) - WDI,1976.1100468056195,1.3823613780588368e-270
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1896.7527850876106,2.5608151807153788e-263
1295: Population ages 0-14  (% of total) - WDI,1749.0407824070003,2.5906905835126342e-249
0832: GNI per capita  (constant 2005 US$) - WDI,1698.1361755733026,2.4668746381644268e-244
1287: Life expectancy at birth; male  (years) - WDI,1683.1922381526258,7.4001848402200019e-243
1286: Life expectancy at birth; total  (years) - WDI,1680.3368404056109,1.4200041066140431e-242
1297: Population ages 65 and above  (% of total) - WDI,1636.2398607861901,3.6061020034231359e-238
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1629.5843074104423,1.6880433262336657e-237
1285: Life expectancy at birth; female  (years) - WDI,1583.8924566916153,7.4046247130435043e-233
1299: Age dependency ratio; old  (% of working-age population) - WDI,1516.2206790544699,7.5272884471545866e-226
1946: Per capita government expenditure on health (PPP int. $) - WHO,1488.1501285873439,6.775576769868418e-223
1278: Birth rate; crude  (per 1;000 people) - WDI,1452.4514267017889,4.263197804259714e-219
1300: Age dependency ratio; young  (% of working-age population) - WDI,1449.5939957571709,8.6267840259058627e-219
1971: Per capita total expenditure on health (PPP int. $) - WHO,1424.1978864236685,4.677763570304023e-216
1283: Mortality rate; infant  (per 1;000 live births) - WDI,1373.3817621231112,1.6421270567114272e-210
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1307.3538103675794,3.751135287070638e-203
1290: Survival to age 65; male  (% of cohort) - WDI,1305.9519410071805,5.3992504855352909e-203
0835: GNI per capita; PPP  (current international $) - WDI,1301.0369594539284,1.938784937734897e-202
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1287.4187710153299,6.7782946348127683e-201
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1270.859199113672,5.2318761842518524e-199
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1258.4066337578276,1.3988299008210498e-197
0813: GDP per capita; PPP  (current international $) - WDI,1233.9927278972984,9.1863022371682673e-195
1289: Survival to age 65; female  (% of cohort) - WDI,1203.4613168180288,3.3370806580124165e-191
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1177.7531114517915,3.5778023141587552e-188
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1115.5767639200878,1.020608718284281e-180
1058: Improved sanitation facilities  (% of population with access) - WDI,1056.0465355315732,2.0947430394560236e-173
1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,1039.6229694510887,2.3421859221044306e-171
1288: Fertility rate; total  (births per woman) - WDI,1037.149016153038,4.7795424388263138e-171
1033: Improved water source; rural  (% of rural population with access) - WDI,1014.1747166223685,3.7246662063940663e-168
1103: Health expenditure; public  (% of GDP) - WDI,1012.4770303326468,6.1074216553006425e-168
1167: GDP per person employed  (constant 2011 PPP $) - WDI,990.54931051169649,3.7455849902951727e-165
1315: Urban population  (% of total) - WDI,989.24038660674989,5.5046364355519917e-165
1312: Rural population  (% of total population) - WDI,989.2214674649573,5.5353634721313473e-165
1035: Improved water source  (% of population with access) - WDI,975.26133238383659,3.4057363515261587e-163
0979: School enrollment; tertiary; female  (% gross) - WDI,899.92690277723739,2.3525921393549978e-153
0978: School enrollment; tertiary  (% gross) - WDI,888.88788339496614,6.9230712239143828e-152
0954: School enrollment; secondary; male  (% gross) - WDI,884.71434761383455,2.4970905604161617e-151
1895: Mobile-cellular telephone subscriptions - ITU,877.57301219416706,2.2548048355490802e-150
1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,877.57301219416706,2.2548048355490802e-150
0952: School enrollment; secondary  (% gross) - WDI,862.99967801284583,2.0543300353142746e-148
1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,858.02486826020913,9.6489177196931316e-148
1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI,836.24535863436768,8.7725718448354584e-145
0953: School enrollment; secondary; female  (% gross) - WDI,797.05630922880539,2.1876057571321508e-139
0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI,785.41119556525121,9.1661399191064267e-138
1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,783.53291137302085,1.6774443381560434e-137
0736: Agriculture; value added  (% of GDP) - WDI,775.25092441710319,2.4245141907823797e-136
1298: Age dependency ratio  (% of working-age population) - WDI,770.28413446433842,1.2089032632854238e-135
1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI,765.68838129463109,5.363577485994947e-135
1350: Share of tariff lines with specific rates; primary products  (%) - WDI,760.87627055539474,2.5612444814940009e-134
0980: School enrollment; tertiary; male  (% gross) - WDI,729.88402224305048,6.5769469423538631e-130
1296: Population ages 15-64  (% of total) - WDI,729.67814044247712,7.0393238445994588e-130
1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI,723.42396669444065,5.5619659615275958e-129
1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,696.06632733610252,5.0504013788844616e-125
1051: Lifetime risk of maternal death  (%) - WDI,644.00599695217034,2.3991701979236703e-117
0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,640.55030291938419,7.8800112821441813e-117
1101: Health expenditure; public  (% of total health expenditure) - WDI,619.27227792627502,1.2473800813590483e-113
1034: Improved water source; urban  (% of urban population with access) - WDI,574.05405571918925,1.0201901553340413e-106
1092: Tuberculosis case detection rate  (%; all forms) - WDI,542.94816405916629,7.1868994373678939e-102
0885: School enrollment; preprimary  (% gross) - WDI,514.64247833383411,2.1675930173448445e-97
1096: Out-of-pocket health expenditure  (% of total expenditure on health) - WDI,512.40326544999107,4.9335951848982556e-97
0886: School enrollment; preprimary; female  (% gross) - WDI,499.33316795845531,6.1153525322501075e-95
0887: School enrollment; preprimary; male  (% gross) - WDI,494.34662796503073,3.8801824108538921e-94
0759: Services; etc.; value added  (% of GDP) - WDI,494.30825997139311,3.9358133514708903e-94
1342: Share of tariff lines with specific rates; all products  (%) - WDI,480.53522303715698,6.6446507611348089e-92
1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,479.4049833756917,1.0138760490707982e-91
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,459.96438899525538,1.5132660705340264e-88
1340: Tariff rate; applied; simple mean; all products  (%) - WDI,457.18672498167706,4.3263227623132736e-88
1040: Immunization; DPT  (% of children ages 12-23 months) - WDI,439.41610396557161,3.7244473761024805e-85
0898: Pupil-teacher ratio; primary - WDI,436.59835025004486,1.09407017239147e-84
1073: People practicing open defecation; rural  (% of rural population) - WDI,432.36132417623446,5.5475959657599044e-84
1041: Immunization; measles  (% of children ages 12-23 months) - WDI,413.80608308394244,7.0987188671583179e-81
1075: People practicing open defecation  (% of population) - WDI,400.38565424946847,1.313380928327109e-78
1344: Tariff rate; most favored nation; weighted mean; all products  (%) - WDI,384.1510044109466,7.6531408572924258e-76
1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI,375.38828922817981,2.4380146020088739e-74
0928: Primary education; teachers  (% female) - WDI,364.39217237665122,1.9229108006038586e-72
2787: Balance of Payments-Exports-Transport (US dollar at current prices) - WTO,358.07895860763256,2.3901633625123367e-71
1375: Commercial service imports  (current US$) - WDI,356.78398671437031,4.0125005775872939e-71
0957: School enrollment; secondary; male  (% net) - WDI,351.16786286222157,3.8114838421530918e-70
1402: Commercial service exports  (current US$) - WDI,349.18802487760843,8.4431827574571703e-70
0955: School enrollment; secondary  (% net) - WDI,346.13532727765062,2.8831519453680611e-69
0036: Service imports  (BoP; current US$) - WDI,344.27047522880486,6.1115802720555411e-69
0956: School enrollment; secondary; female  (% net) - WDI,342.23359913466135,1.3897606545417551e-68
1102: Health expenditure; public  (% of government expenditure) - WDI,341.94054723278072,1.5642517041557057e-68
0066: Service exports  (BoP; current US$) - WDI,341.84448284334013,1.6260985372342298e-68
1376: Transport services  (% of commercial service imports) - WDI,338.60389531663316,6.0224859475467165e-68
2805: Balance of Payments-Imports-Services (US dollar at current prices) - WTO,338.10082908051129,7.3815087888829828e-68
2800: Balance of Payments-Imports-Commercial services (US dollar at current prices) - WTO,336.76019094367149,1.2699003200719021e-67
2797: Balance of Payments-Exports-Services (US dollar at current prices) - WTO,335.15355506618641,2.4343695182035872e-67
0032: Primary income payments  (BoP; current US$) - WDI,331.43717094539699,1.0993443343808992e-66
2785: Balance of Payments-Exports-Commercial services (US dollar at current prices) - WTO,325.6049829211666,1.1789766893976619e-65
1336: Tariff rate; most favored nation; weighted mean; manufactured products  (%) - WDI,325.48021508509549,1.2404701439776479e-65
1104: Health expenditure; total  (% of GDP) - WDI,323.58028475378939,2.6917241258085066e-65
2742: Merchandise trade-Exports-Chemicals (US dollar at current prices) - WTO,322.24851980376337,4.6353873026003975e-65
2743: Merchandise trade-Exports-Pharmaceuticals (US dollar at current prices) - WTO,320.4739843378635,9.5699412852170939e-65
1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,315.36009745389839,7.7626586744360881e-64
1331: Share of tariff lines with international peaks; manufactured products  (%) - WDI,312.4880765979334,2.5221707238287333e-63
