808,score,p-value
0808: GDP per capita  (current US$) - WDI,108289.69749165064,0.0
0810: GDP per capita  (constant 2005 US$) - WDI,10314.110898376935,0.0
0830: GNI per capita; Atlas method  (current US$) - WDI,8790.9963148651295,0.0
1098: Health expenditure per capita  (current US$) - WDI,2399.0381447314908,0.0
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2330.7380253131987,0.0
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,2305.3205486455358,0.0
0813: GDP per capita; PPP  (current international $) - WDI,2268.3683433330762,4.6442170709077175e-322
0835: GNI per capita; PPP  (current international $) - WDI,2152.7540043189965,1.0002675633263191e-310
0781: Adjusted net national income per capita  (current US$) - WDI,2099.2546705409127,2.278812755308795e-305
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,2092.6915215231556,1.0471299014728999e-304
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1893.1649874022416,5.0585144760734713e-284
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1863.1005320031313,8.2574864071736039e-281
1899: Percentage of Individuals using the Internet (%) - ITU,1714.8643520813932,1.4197318091585133e-264
1167: GDP per person employed  (constant 2011 PPP $) - WDI,1643.2318322856433,1.7527709276059472e-256
0832: GNI per capita  (constant 2005 US$) - WDI,1598.5129613176609,2.401976491171777e-251
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1469.8587367555165,3.494542397614094e-236
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1201.6529651954309,1.451121541034983e-202
1946: Per capita government expenditure on health (PPP int. $) - WHO,1198.9612564858305,3.2662782893969844e-202
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1168.8633868940151,2.9889121188709321e-198
1971: Per capita total expenditure on health (PPP int. $) - WHO,1102.074603885364,2.5764398904405609e-189
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1086.4092380141149,3.4395712068371264e-187
2704: Corruption perceptions index - Transparency,964.82497389050684,2.7215323983570612e-170
1287: Life expectancy at birth; male  (years) - WDI,897.22260705440397,1.4247672814356305e-160
1286: Life expectancy at birth; total  (years) - WDI,814.1680483573158,2.7046663232445178e-148
2707: Failed States Index Total - Fund for Peace,802.44103805432405,1.5741223603041098e-146
2714: Public Services - Fund for Peace,778.72697852427814,6.1714452996778394e-143
2708: Demographic Pressures - Fund for Peace,739.83723484971267,5.6915749872021157e-137
2712: Poverty and Economic Decline - Fund for Peace,722.8501013035243,2.4509545876626223e-134
1315: Urban population  (% of total) - WDI,722.2353286734766,3.0548942924568612e-134
1312: Rural population  (% of total population) - WDI,722.18794269240277,3.1072098770589833e-134
1285: Life expectancy at birth; female  (years) - WDI,718.05559784569539,1.3677141857541019e-133
1290: Survival to age 65; male  (% of cohort) - WDI,698.07649765449673,1.8312133590966738e-130
2719: Human Flight - Fund for Peace,640.34213888172769,2.7573104040931103e-121
2711: Uneven Development - Fund for Peace,630.34154966575147,1.1277977646422611e-119
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,629.70745457700696,1.4277375478997943e-119
2706: Failed States Index Rank - Fund for Peace,620.05838191176224,5.2052352650858055e-118
1295: Population ages 0-14  (% of total) - WDI,607.36398419678574,6.0345909445156839e-116
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,602.18330777908773,4.2285567351246329e-115
1278: Birth rate; crude  (per 1;000 people) - WDI,594.30463913912467,8.2333713650388442e-114
2713: Legitimacy of the State - Fund for Peace,594.11561805243116,8.8422756471946051e-114
1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,557.35682837214586,1.0457054084648749e-107
2718: External Intervention - Fund for Peace,550.42660239198779,1.4960226082956781e-106
1058: Improved sanitation facilities  (% of population with access) - WDI,545.77773297792976,8.9534458786567415e-106
2716: Security Apparatus - Fund for Peace,536.87760142313118,2.7793386281914942e-104
1283: Mortality rate; infant  (per 1;000 live births) - WDI,533.45461508489871,1.0453438318849159e-103
1300: Age dependency ratio; young  (% of working-age population) - WDI,533.30999629533028,1.1055656042627196e-103
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,524.02334990255781,4.0625251525770911e-102
1289: Survival to age 65; female  (% of cohort) - WDI,519.04922025333724,2.8166522351647078e-101
0954: School enrollment; secondary; male  (% gross) - WDI,513.50737723683301,2.4478110961769295e-100
2715: Human Rights - Fund for Peace,508.25310276251457,1.9106310148149828e-99
0736: Agriculture; value added  (% of GDP) - WDI,483.17437701807961,3.7053261113212515e-95
0952: School enrollment; secondary  (% gross) - WDI,467.58733408326378,1.8094432830246273e-92
1297: Population ages 65 and above  (% of total) - WDI,465.19004247096495,4.7066664707924593e-92
1299: Age dependency ratio; old  (% of working-age population) - WDI,444.09666025845007,2.2121856928758552e-88
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,441.95855824244251,5.2356492146893784e-88
1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI,440.26623970809607,1.0360131144881904e-87
1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,438.78815654610582,1.8811455033438297e-87
2717: Factionalized Elites - Fund for Peace,438.50258655265907,2.1110220434916129e-87
1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI,423.66084379692637,8.6224894038096249e-85
1288: Fertility rate; total  (births per woman) - WDI,414.27838550492135,3.9386964210458975e-83
1033: Improved water source; rural  (% of rural population with access) - WDI,408.68346238971469,3.8764867767540168e-82
0953: School enrollment; secondary; female  (% gross) - WDI,407.31168954384788,6.796896697299815e-82
1035: Improved water source  (% of population with access) - WDI,396.97409941843654,4.7318575505583107e-80
