X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
2718N: External Intervention - Fund for Peace,2718: External Intervention - Fund for Peace,0.79818,-0.14360756,0.018339992,0.79818,3.807355,0.9704574
2718N: External Intervention - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,0.62504,0.10960299,0.16253,0.62504,6.0,-0.71793944
2718N: External Intervention - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0.61975,0.10434073,0.12967002,0.61685,6.0,-0.7179201
2718N: External Intervention - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0.58054,0.07569122,0.09604001,0.57772,6.044394,-0.7105271
2718N: External Intervention - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,0.57221,0.10665342,0.12918001,0.56962,6.2479277,-0.6823171
2718N: External Intervention - Fund for Peace,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0.56763,0.13676775,0.14861998,0.56503,6.087463,-0.656401
2718N: External Intervention - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0.54995,-0.14141506,0.059240013,0.54887,6.2479277,-0.83148366
2718N: External Intervention - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0.53526,-0.22134286,0.027749985,0.53379,6.2479277,0.86982924
2718N: External Intervention - Fund for Peace,0808: GDP per capita  (current US$) - WDI,0.52936,0.060271263,0.13165998,0.52693,6.2479277,-0.6849005
2718N: External Intervention - Fund for Peace,0781: Adjusted net national income per capita  (current US$) - WDI,0.52697,0.013841033,0.099840015,0.52697,6.169925,-0.71633023
2718N: External Intervention - Fund for Peace,0835: GNI per capita; PPP  (current international $) - WDI,0.52567,0.11824712,0.13896,0.52567,6.2094536,-0.63829684
2718N: External Intervention - Fund for Peace,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0.5223,0.118967056,0.13607001,0.52009,6.2479277,-0.635085
2718N: External Intervention - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0.5193,0.044968218,0.10957998,0.5193,6.2479277,-0.6887175
2718N: External Intervention - Fund for Peace,0813: GDP per capita; PPP  (current international $) - WDI,0.51072,0.10966402,0.12586,0.50836,6.2479277,-0.6332898
2718N: External Intervention - Fund for Peace,0830: GNI per capita; Atlas method  (current US$) - WDI,0.50899,0.020979106,0.10652998,0.50899,6.2094536,-0.69857776
2718N: External Intervention - Fund for Peace,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0.50567,0.14546925,0.102890015,0.50254,6.129283,-0.6001673
2718N: External Intervention - Fund for Peace,0028: Surface area  (sq. km) - WDI,0.49709,0.4630652,0.42553002,0.49709,6.2479277,-0.18445814
2718N: External Intervention - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0.48403,-0.063854456,0.105179995,0.48403,6.2479277,-0.7401922
2718N: External Intervention - Fund for Peace,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0.47815,0.11722872,0.14242002,0.47815,6.2094536,-0.60076725
2718N: External Intervention - Fund for Peace,0736: Agriculture; value added  (% of GDP) - WDI,0.47737,0.07594445,0.12954,0.47495,6.169925,0.6335815
2718N: External Intervention - Fund for Peace,0379: Electric power consumption  (kWh per capita) - WDI,0.47723,0.2568894,0.07805002,0.47382,6.044394,-0.46940452
2718N: External Intervention - Fund for Peace,0020: Land area  (sq. km) - WDI,0.46822,0.4351741,0.39427,0.46822,6.2479277,-0.18178526
2718N: External Intervention - Fund for Peace,1058: Improved sanitation facilities  (% of population with access) - WDI,0.46505,0.10603815,0.16347,0.46294,6.2479277,-0.599176
2718N: External Intervention - Fund for Peace,1312: Rural population  (% of total population) - WDI,0.45873,0.12054312,0.20424002,0.45873,6.2479277,0.5815384
2718N: External Intervention - Fund for Peace,1315: Urban population  (% of total) - WDI,0.45873,0.12053785,0.20239002,0.45873,6.2479277,-0.5815429
2718N: External Intervention - Fund for Peace,1095: External resources for health  (% of total expenditure on health) - WDI,0.45498,0.20776899,0.15432999,0.45498,6.087463,0.49720317
2718N: External Intervention - Fund for Peace,1299: Age dependency ratio; old  (% of working-age population) - WDI,0.45475,0.07460159,0.17234999,0.45475,6.2479277,-0.6165618
2718N: External Intervention - Fund for Peace,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0.45223,0.004835874,0.13716,0.4494,6.2479277,-0.6688753
2718N: External Intervention - Fund for Peace,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0.45151,0.0011965334,0.13710001,0.45151,6.2479277,-0.671054
2718N: External Intervention - Fund for Peace,1297: Population ages 65 and above  (% of total) - WDI,0.44985,0.052925378,0.17319998,0.44985,6.2479277,-0.63001955
2718N: External Intervention - Fund for Peace,0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,0.44923,0.26105696,0.082019985,0.44923,5.9541965,-0.43378916
2718N: External Intervention - Fund for Peace,1278: Birth rate; crude  (per 1;000 people) - WDI,0.44885,0.03484845,0.11189002,0.44885,6.2479277,0.6434295
2718N: External Intervention - Fund for Peace,1051: Lifetime risk of maternal death  (%) - WDI,0.44774,0.17896965,0.14183998,0.44774,6.2479277,0.51843065
2718N: External Intervention - Fund for Peace,0779: Adjusted net national income  (constant 2005 US$) - WDI,0.44757,0.33535093,0.18193999,0.44428,6.0,-0.33499113
2718N: External Intervention - Fund for Peace,1288: Fertility rate; total  (births per woman) - WDI,0.44621,0.077106565,0.10427001,0.44621,6.2479277,0.6075388
2718N: External Intervention - Fund for Peace,0062: Primary income receipts  (BoP; current US$) - WDI,0.44203,0.24621032,0.100410014,0.43949,6.169925,-0.4425152
2718N: External Intervention - Fund for Peace,1899: Percentage of Individuals using the Internet (%) - ITU,0.43917,-0.09602398,0.08609,0.43669,6.2479277,-0.7315695
2718N: External Intervention - Fund for Peace,2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,0.43782,0.25774562,0.06559998,0.43782,5.9541965,-0.42435172
2718N: External Intervention - Fund for Peace,0952: School enrollment; secondary  (% gross) - WDI,0.43763,-0.008807749,0.13722,0.43459,6.0,-0.66815996
2718N: External Intervention - Fund for Peace,1295: Population ages 0-14  (% of total) - WDI,0.43742,-0.009173363,0.105040014,0.43742,6.2479277,0.6682764
2718N: External Intervention - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0.43731,-0.19616261,0.042889982,0.43731,4.4594316,0.79590994
2718N: External Intervention - Fund for Peace,0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,0.43729,0.12928241,0.14089,0.43458,6.2094536,0.55498433
2718N: External Intervention - Fund for Peace,0643: Internet users  (per 100 people) - WDI,0.43669,-0.10081598,0.087200016,0.43669,6.2479277,-0.733148
