2718,score,p-value
2718: External Intervention - Fund for Peace,17081.944027974234,0.0
2707: Failed States Index Total - Fund for Peace,4056.116673545027,0.0
2706: Failed States Index Rank - Fund for Peace,2976.5234569099825,0.0
2713: Legitimacy of the State - Fund for Peace,2296.4732782576179,2.7395400865332034e-298
2714: Public Services - Fund for Peace,2149.7208152890789,6.5732371198516231e-286
2712: Poverty and Economic Decline - Fund for Peace,2091.6442758581902,7.2235956709232548e-281
2716: Security Apparatus - Fund for Peace,2085.9235266732503,2.2899490927786716e-280
2708: Demographic Pressures - Fund for Peace,1931.1523133744392,1.7249529831759858e-266
2717: Factionalized Elites - Fund for Peace,1866.6389990871583,1.6295103327448705e-260
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1671.3731913542886,1.1028914258389624e-241
2704: Corruption perceptions index - Transparency,1586.2924393570836,4.2064419155097995e-233
1899: Percentage of Individuals using the Internet (%) - ITU,1523.1594081996057,1.4149434289566666e-226
2719: Human Flight - Fund for Peace,1516.1393735214667,7.6763469611502684e-226
2715: Human Rights - Fund for Peace,1395.5967607044461,6.0090221314003125e-213
2709: Refugees and IDPs - Fund for Peace,1357.5201663902621,9.2702915372999831e-209
0781: Adjusted net national income per capita  (current US$) - WDI,1354.3859362167123,2.0625920308165448e-208
0830: GNI per capita; Atlas method  (current US$) - WDI,1309.6876658384772,2.0465321261610806e-203
1098: Health expenditure per capita  (current US$) - WDI,1254.6227752784771,3.8082857054951728e-197
0808: GDP per capita  (current US$) - WDI,1223.4250284404404,1.551477649997332e-193
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1218.7532590315518,5.4327333712528727e-193
0810: GDP per capita  (constant 2005 US$) - WDI,1205.3295982925504,2.0151877180144279e-191
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1177.6145150153905,3.7156466031872822e-188
0832: GNI per capita  (constant 2005 US$) - WDI,1139.9014867913054,1.1763735279283366e-183
1295: Population ages 0-14  (% of total) - WDI,1138.6621582557009,1.6579458820264207e-183
2710: Group Grievance - Fund for Peace,1113.1850765387962,1.9920172214112395e-180
2711: Uneven Development - Fund for Peace,1093.4242247721315,5.1233152294944626e-178
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1076.4317579903584,6.2724086560703125e-176
1300: Age dependency ratio; young  (% of working-age population) - WDI,1033.6231315684724,1.3225337559961559e-170
1278: Birth rate; crude  (per 1;000 people) - WDI,996.85622654111103,5.8764997875658916e-166
1946: Per capita government expenditure on health (PPP int. $) - WHO,983.84343928633689,2.6985504235892082e-164
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,983.4228655745593,3.0549050634491458e-164
1971: Per capita total expenditure on health (PPP int. $) - WHO,970.14684523407652,1.5498400736292345e-162
1286: Life expectancy at birth; total  (years) - WDI,958.12882182551516,5.5236693054271265e-161
1287: Life expectancy at birth; male  (years) - WDI,947.46413124169703,1.3366895612687423e-159
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,939.33856472154832,1.5296268727280739e-158
1297: Population ages 65 and above  (% of total) - WDI,928.67449641469386,3.7968580221889956e-157
1285: Life expectancy at birth; female  (years) - WDI,926.0025569047184,8.5095660091236094e-157
0835: GNI per capita; PPP  (current international $) - WDI,920.66299624391536,4.2806770128967312e-156
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,911.43964698990362,7.0346315028934683e-155
0813: GDP per capita; PPP  (current international $) - WDI,902.3377844037185,1.1264521123031843e-153
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,881.0484101757022,7.7205436489432454e-151
1299: Age dependency ratio; old  (% of working-age population) - WDI,865.35154563414892,9.8987938188944926e-149
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,859.89722481819172,5.3883841817970598e-148
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,855.47498558309064,2.1349753014089214e-147
1283: Mortality rate; infant  (per 1;000 live births) - WDI,836.71695448044807,7.5641235715842815e-145
1288: Fertility rate; total  (births per woman) - WDI,825.49958450395025,2.5912315099377376e-143
1167: GDP per person employed  (constant 2011 PPP $) - WDI,785.26299440405876,9.6136244606375576e-138
1058: Improved sanitation facilities  (% of population with access) - WDI,766.12434856789753,4.6560038784584635e-135
1290: Survival to age 65; male  (% of cohort) - WDI,743.32108319269025,7.9137761387921333e-132
1315: Urban population  (% of total) - WDI,721.03878872618998,1.2254128430006084e-128
1312: Rural population  (% of total population) - WDI,721.0218078390194,1.2323274623924461e-128
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,711.60659743900692,2.8098046614183252e-127
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,710.17378856790447,4.5275095306173718e-127
1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,705.4185058951075,2.2104402200338363e-126
1289: Survival to age 65; female  (% of cohort) - WDI,701.78658408077149,7.4382367111987786e-126
1895: Mobile-cellular telephone subscriptions - ITU,681.72077783068789,6.3025148077931375e-123
1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,681.72077783068789,6.3025148077931375e-123
1298: Age dependency ratio  (% of working-age population) - WDI,642.09753057994146,4.6257286516467914e-117
1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,635.19550875914763,4.9951600969447055e-116
1035: Improved water source  (% of population with access) - WDI,622.18140726092486,4.5350667506983133e-114
0736: Agriculture; value added  (% of GDP) - WDI,612.16420550221619,1.4870298973819434e-112
0954: School enrollment; secondary; male  (% gross) - WDI,601.77578216013944,5.6521922081744914e-111
1296: Population ages 15-64  (% of total) - WDI,597.75672677021475,2.3208414259529609e-110
1033: Improved water source; rural  (% of rural population with access) - WDI,584.15633330820492,2.822718473086374e-108
0952: School enrollment; secondary  (% gross) - WDI,582.27924028603297,5.4898342878446257e-108
1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,575.83971176493185,5.4039419044034699e-107
0953: School enrollment; secondary; female  (% gross) - WDI,554.0888402800847,1.2923955386527065e-103
0979: School enrollment; tertiary; female  (% gross) - WDI,536.86466147729232,6.5122699458825963e-101
0978: School enrollment; tertiary  (% gross) - WDI,521.59002598386212,1.6998214190876406e-98
1350: Share of tariff lines with specific rates; primary products  (%) - WDI,520.7705933236947,2.2939954206299187e-98
1051: Lifetime risk of maternal death  (%) - WDI,513.42542613230808,3.3889304767467901e-97
0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,508.0570224306735,2.4414459114525843e-96
1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI,504.64820802795992,8.5792455727590343e-96
1375: Commercial service imports  (current US$) - WDI,496.76136577372262,1.5849306095665173e-94
0036: Service imports  (BoP; current US$) - WDI,482.72819842981426,2.9290191158038926e-92
2805: Balance of Payments-Imports-Services (US dollar at current prices) - WTO,475.95342307947357,3.6905152108879003e-91
1103: Health expenditure; public  (% of GDP) - WDI,465.82697080271487,1.6568499819830929e-89
2800: Balance of Payments-Imports-Commercial services (US dollar at current prices) - WTO,465.62290593669303,1.7892458511206774e-89
1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI,457.05700376691095,4.544028574856502e-88
2720: Merchandise trade-Exports-Agricultural products (US dollar at current prices) - WTO,455.68981618233977,7.6252676273100903e-88
1402: Commercial service exports  (current US$) - WDI,450.23467456293952,6.0385179293252285e-87
2721: Merchandise trade-Exports-Food (US dollar at current prices) - WTO,447.635388035262,1.6220710304291424e-86
0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI,442.23185251760657,1.2709532815933434e-85
0066: Service exports  (BoP; current US$) - WDI,441.44756485585322,1.7144115809147037e-85
1034: Improved water source; urban  (% of urban population with access) - WDI,438.28733494683831,5.7338416931001899e-85
2797: Balance of Payments-Exports-Services (US dollar at current prices) - WTO,436.3390366560393,1.2082287713684604e-84
0032: Primary income payments  (BoP; current US$) - WDI,425.5552387123189,7.587521925278686e-83
0980: School enrollment; tertiary; male  (% gross) - WDI,422.66796956804961,2.3083167578225143e-82
1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI,420.65271437129411,5.0235605288844052e-82
1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,418.26396096373014,1.2641690839554946e-81
2785: Balance of Payments-Exports-Commercial services (US dollar at current prices) - WTO,416.64964077254297,2.3602666456453429e-81
0068: Exports of goods; services and primary income  (BoP; current US$) - WDI,404.26297480999858,2.8948570174239706e-79
2742: Merchandise trade-Exports-Chemicals (US dollar at current prices) - WTO,395.84406752707463,7.7532129699211764e-78
0038: Imports of goods; services and primary income  (BoP; current US$) - WDI,395.27792053853898,9.6770295296122833e-78
2732: Merchandise trade-Imports-Pharmaceuticals (US dollar at current prices) - WTO,394.579289329245,1.2722439749558117e-77
2822: Balance of Payments-Imports-Other business services (US dollar at current prices) - WTO,392.51583827864562,2.8563344188344169e-77
2731: Merchandise trade-Imports-Chemicals (US dollar at current prices) - WTO,389.92908131948963,7.8831354907897873e-77
2726: Merchandise trade-Imports-Food (US dollar at current prices) - WTO,385.81990976249841,3.9663409353602871e-76
1095: External resources for health  (% of total expenditure on health) - WDI,383.71391308365094,9.0916814306454542e-76
1325: International tourism; expenditures  (current US$) - WDI,382.40711297162187,1.5219558984100104e-75
0063: Exports of goods and services  (BoP; current US$) - WDI,381.61753732980884,2.0781541228231317e-75
1324: International tourism; expenditures for travel items  (current US$) - WDI,381.24038719967882,2.41165436716346e-75
0059: ICT service exports  (BoP; current US$) - WDI,379.36666788926289,5.0541007929778524e-75
2804: Balance of Payments-Imports-Other commercial services (US dollar at current prices) - WTO,375.70807957356271,2.1480623265209784e-74
2787: Balance of Payments-Exports-Transport (US dollar at current prices) - WTO,374.6639509813744,3.2480781289177368e-74
1342: Share of tariff lines with specific rates; all products  (%) - WDI,372.92886143211797,6.4607010833669218e-74
0720: Imports of goods and services  (current US$) - WDI,370.80096358263194,1.5029585233835488e-73
2743: Merchandise trade-Exports-Pharmaceuticals (US dollar at current prices) - WTO,363.70418147818714,2.5295232016148652e-72
1092: Tuberculosis case detection rate  (%; all forms) - WDI,362.92882096566706,3.4458507552894711e-72
2818: Balance of Payments-Imports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,362.06182658658582,4.8695809122417926e-72
