2704,score,p-value
2704: Corruption perceptions index - Transparency,38862.742950723979,0.0
2707: Failed States Index Total - Fund for Peace,3187.2777270052034,0.0
2713: Legitimacy of the State - Fund for Peace,2914.982124202214,0.0
1899: Percentage of Individuals using the Internet (%) - ITU,2815.987738020684,0.0
0810: GDP per capita  (constant 2005 US$) - WDI,2665.3508008461604,0.0
0830: GNI per capita; Atlas method  (current US$) - WDI,2580.5371388578114,6.43273470885303e-321
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,2565.6073960727363,9.0611639447284616e-320
2714: Public Services - Fund for Peace,2439.6140177279808,6.6977430385308628e-310
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,2388.2092322039102,8.8201468047829234e-306
0808: GDP per capita  (current US$) - WDI,2291.4430903874772,7.1424632255830869e-298
2715: Human Rights - Fund for Peace,2273.0721880774945,2.39099099354258e-296
0781: Adjusted net national income per capita  (current US$) - WDI,2218.7466226996248,8.5577635754218659e-292
2716: Security Apparatus - Fund for Peace,2202.992516611559,1.8437165578711291e-290
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2169.3247107804086,1.3637746093643041e-287
2706: Failed States Index Rank - Fund for Peace,2156.0841246771656,1.864065251566956e-286
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2085.1971903872027,2.6515711724054192e-280
0832: GNI per capita  (constant 2005 US$) - WDI,2050.5720843496388,2.9821278027476101e-277
1098: Health expenditure per capita  (current US$) - WDI,1894.4316314513435,4.2031383290324795e-263
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1893.2079338142498,5.4586377037241352e-263
2708: Demographic Pressures - Fund for Peace,1831.355074855356,3.3890724903319003e-257
2717: Factionalized Elites - Fund for Peace,1692.7852082465258,8.3220710313658734e-244
2711: Uneven Development - Fund for Peace,1628.2133879827411,2.3208372010635417e-237
2712: Poverty and Economic Decline - Fund for Peace,1468.4856057420302,8.2730426850303843e-221
2719: Human Flight - Fund for Peace,1377.5430735486188,5.7214235020417855e-211
1946: Per capita government expenditure on health (PPP int. $) - WHO,1355.4488079004568,1.572486679985615e-208
0835: GNI per capita; PPP  (current international $) - WDI,1314.6358495727386,5.673534721852092e-204
2718: External Intervention - Fund for Peace,1288.7537003430948,4.7804049777889313e-201
1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1277.8602257344289,8.3028535419973095e-200
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1275.6350459010202,1.4896662119512423e-199
1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1265.443359321938,2.1802898912271793e-198
0813: GDP per capita; PPP  (current international $) - WDI,1255.7918849815778,2.7942885885017594e-197
1971: Per capita total expenditure on health (PPP int. $) - WHO,1229.577170697376,2.988674598900697e-194
1287: Life expectancy at birth; male  (years) - WDI,1218.4908638674228,5.8293054058973939e-193
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1159.424816522667,5.4007599709191782e-186
1290: Survival to age 65; male  (% of cohort) - WDI,1088.2651517033246,2.1975947339197426e-177
1286: Life expectancy at birth; total  (years) - WDI,1080.8936459535748,1.7693617306153035e-176
2710: Group Grievance - Fund for Peace,1042.5125731289609,1.0190821556810539e-171
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,984.69109586993227,2.1017995401679539e-164
1295: Population ages 0-14  (% of total) - WDI,946.1407601591917,1.9869305721557752e-159
1297: Population ages 65 and above  (% of total) - WDI,934.11381049250201,7.3650935861418186e-158
1285: Life expectancy at birth; female  (years) - WDI,926.65859876341199,6.9793669670377186e-157
1103: Health expenditure; public  (% of GDP) - WDI,923.27910708205877,1.9389245084135878e-156
1167: GDP per person employed  (constant 2011 PPP $) - WDI,919.98246510822685,5.2607576580214222e-156
1299: Age dependency ratio; old  (% of working-age population) - WDI,889.45281123266602,5.8205379450513317e-152
2709: Refugees and IDPs - Fund for Peace,820.90077999761024,1.1090281659435329e-142
1283: Mortality rate; infant  (per 1;000 live births) - WDI,818.95216291028692,2.0553709534315023e-142
1278: Birth rate; crude  (per 1;000 people) - WDI,810.44159139476926,3.0613277897457792e-141
