2716-All-N-MIC,2716-All-N-FST,2716-Ext-N-MIC,2716-Ext-N-FST
2716: Security Apparatus - Fund for Peace,2716: Security Apparatus - Fund for Peace,2715: Human Rights - Fund for Peace,2713: Legitimacy of the State - Fund for Peace
2707: Failed States Index Total - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2717: Factionalized Elites - Fund for Peace
2706: Failed States Index Rank - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,2715: Human Rights - Fund for Peace
2715: Human Rights - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2704: Corruption perceptions index - Transparency
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2717: Factionalized Elites - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,2710: Group Grievance - Fund for Peace
2713: Legitimacy of the State - Fund for Peace,2715: Human Rights - Fund for Peace,2717: Factionalized Elites - Fund for Peace,2714: Public Services - Fund for Peace
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2704: Corruption perceptions index - Transparency,2708: Demographic Pressures - Fund for Peace,2708: Demographic Pressures - Fund for Peace
0832: GNI per capita  (constant 2005 US$) - WDI,2710: Group Grievance - Fund for Peace,2714: Public Services - Fund for Peace,2711: Uneven Development - Fund for Peace
2717: Factionalized Elites - Fund for Peace,2714: Public Services - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,2718: External Intervention - Fund for Peace
2708: Demographic Pressures - Fund for Peace,2708: Demographic Pressures - Fund for Peace,2704: Corruption perceptions index - Transparency,1899: Percentage of Individuals using the Internet (%) - ITU
2714: Public Services - Fund for Peace,2711: Uneven Development - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,2709: Refugees and IDPs - Fund for Peace
0810: GDP per capita  (constant 2005 US$) - WDI,2718: External Intervention - Fund for Peace,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
2704: Corruption perceptions index - Transparency,1899: Percentage of Individuals using the Internet (%) - ITU,0028: Surface area  (sq. km) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
