2704-All-N-MIC,2704-All-N-FST,2704-Ext-N-MIC,2704-Ext-N-FST
2704: Corruption perceptions index - Transparency,2704: Corruption perceptions index - Transparency,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2707: Failed States Index Total - Fund for Peace
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2707: Failed States Index Total - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU
0642: Secure Internet servers  (per 1 million people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0832: GNI per capita  (constant 2005 US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI
0832: GNI per capita  (constant 2005 US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
0810: GDP per capita  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1098: Health expenditure per capita  (current US$) - WDI,2714: Public Services - Fund for Peace
0379: Electric power consumption  (kWh per capita) - WDI,2714: Public Services - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
1098: Health expenditure per capita  (current US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,2714: Public Services - Fund for Peace,2715: Human Rights - Fund for Peace
2713: Legitimacy of the State - Fund for Peace,0808: GDP per capita  (current US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
2714: Public Services - Fund for Peace,2715: Human Rights - Fund for Peace,0736: Agriculture; value added  (% of GDP) - WDI,2716: Security Apparatus - Fund for Peace
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,2706: Failed States Index Rank - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
0736: Agriculture; value added  (% of GDP) - WDI,2716: Security Apparatus - Fund for Peace,2707: Failed States Index Total - Fund for Peace,2706: Failed States Index Rank - Fund for Peace
