0811-All-N-MIC,0811-All-N-FST,0811-Ext-N-MIC,0811-Ext-N-FST
0811: GDP per capita growth  (annual %) - WDI,0757: Services; etc.; value added  (annual % growth) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0757: Services; etc.; value added  (annual % growth) - WDI
0833: GNI per capita growth  (annual %) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0757: Services; etc.; value added  (annual % growth) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0826: GNI growth  (annual %) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,0746: Industry; value added  (annual % growth) - WDI
0832: GNI per capita  (constant 2005 US$) - WDI,0746: Industry; value added  (annual % growth) - WDI,0435: Population in urban agglomerations of more than 1 million  (% of total population) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0149: Currency composition of PPG debt; Japanese yen  (%) - WDI
0803: GDP growth  (annual %) - WDI,0808: GDP per capita  (current US$) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0763: Adjusted savings: carbon dioxide damage  (% of GNI) - WDI
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,1340: Tariff rate; applied; simple mean; all products  (%) - WDI,1098: Health expenditure per capita  (current US$) - WDI
0757: Services; etc.; value added  (annual % growth) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0016: Forest area  (sq. km) - WDI,1185: Employment in services  (% of total employment) - WDI
0379: Electric power consumption  (kWh per capita) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0017: Forest area  (% of land area) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU
0435: Population in urban agglomerations of more than 1 million  (% of total population) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,2706: Failed States Index Rank - Fund for Peace
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0004: Agricultural land  (sq. km) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0896: Primary education; pupils - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD
1167: GDP per person employed  (constant 2011 PPP $) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0980: School enrollment; tertiary; male  (% gross) - WDI,0224: Average interest on new external debt commitments; private  (%) - WDI
1340: Tariff rate; applied; simple mean; all products  (%) - WDI,0149: Currency composition of PPG debt; Japanese yen  (%) - WDI,1310: Rural population - WDI,2708: Demographic Pressures - Fund for Peace
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0763: Adjusted savings: carbon dioxide damage  (% of GNI) - WDI,0020: Land area  (sq. km) - WDI,0256: Average maturity on new external debt commitments; private  (years) - WDI
0016: Forest area  (sq. km) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0678: Household final consumption expenditure per capita growth  (annual %) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO
0017: Forest area  (% of land area) - WDI,1185: Employment in services  (% of total employment) - WDI,0746: Industry; value added  (annual % growth) - WDI,1135: Employment in agriculture  (% of total employment) - WDI
0736: Agriculture; value added  (% of GDP) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0055: Net secondary income  (BoP; current US$) - WDI,2714: Public Services - Fund for Peace
0004: Agricultural land  (sq. km) - WDI,2706: Failed States Index Rank - Fund for Peace,0670: Household final consumption expenditure; etc.  (constant LCU) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
0783: Adjusted net national income per capita  (annual % growth) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI,0777: Adjusted savings: net national savings  (% of GNI) - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,0676: Household final consumption expenditure  (constant LCU) - WDI,2707: Failed States Index Total - Fund for Peace
0896: Primary education; pupils - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2711: Uneven Development - Fund for Peace
0779: Adjusted net national income  (constant 2005 US$) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0380: Energy use  (kg of oil equivalent per capita) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
