2713-All-N-MIC,2713-All-N-FST,2713-Ext-N-MIC,2713-Ext-N-FST
2713: Legitimacy of the State - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,2715: Human Rights - Fund for Peace,2715: Human Rights - Fund for Peace
2715: Human Rights - Fund for Peace,2707: Failed States Index Total - Fund for Peace,2717: Factionalized Elites - Fund for Peace,2717: Factionalized Elites - Fund for Peace
2706: Failed States Index Rank - Fund for Peace,2715: Human Rights - Fund for Peace,2716: Security Apparatus - Fund for Peace,2706: Failed States Index Rank - Fund for Peace
2707: Failed States Index Total - Fund for Peace,2717: Factionalized Elites - Fund for Peace,2704: Corruption perceptions index - Transparency,2716: Security Apparatus - Fund for Peace
2717: Factionalized Elites - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2704: Corruption perceptions index - Transparency
2716: Security Apparatus - Fund for Peace,2716: Security Apparatus - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2714: Public Services - Fund for Peace
2704: Corruption perceptions index - Transparency,2704: Corruption perceptions index - Transparency,0642: Secure Internet servers  (per 1 million people) - WDI,2708: Demographic Pressures - Fund for Peace
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2714: Public Services - Fund for Peace,2708: Demographic Pressures - Fund for Peace,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2708: Demographic Pressures - Fund for Peace,0020: Land area  (sq. km) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
0642: Secure Internet servers  (per 1 million people) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1285: Life expectancy at birth; female  (years) - WDI,2718: External Intervention - Fund for Peace
2708: Demographic Pressures - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0020: Land area  (sq. km) - WDI,2718: External Intervention - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,2711: Uneven Development - Fund for Peace
1285: Life expectancy at birth; female  (years) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI
0832: GNI per capita  (constant 2005 US$) - WDI,2711: Uneven Development - Fund for Peace,2714: Public Services - Fund for Peace,1899: Percentage of Individuals using the Internet (%) - ITU
1098: Health expenditure per capita  (current US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0028: Surface area  (sq. km) - WDI,2710: Group Grievance - Fund for Peace
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
2714: Public Services - Fund for Peace,2710: Group Grievance - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU
0028: Surface area  (sq. km) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0830: GNI per capita; Atlas method  (current US$) - WDI
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI
0810: GDP per capita  (constant 2005 US$) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0830: GNI per capita; Atlas method  (current US$) - WDI,2711: Uneven Development - Fund for Peace,2712: Poverty and Economic Decline - Fund for Peace
0640: Fixed broadband subscriptions  (per 100 people) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0456: Commercial bank branches  (per 100;000 adults) - WDI,1297: Population ages 65 and above  (% of total) - WDI
1289: Survival to age 65; female  (% of cohort) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,2718: External Intervention - Fund for Peace,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO
