@relation MINE-Indicator-2006TO2013-2718_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11}

@data
0,'2718N: External Intervention - Fund for Peace','2718: External Intervention - Fund for Peace',0.85226,-0.121322,0.02404,0.85226,5.584962,0.986702,cluster8
1,'2718N: External Intervention - Fund for Peace','0832: GNI per capita  (constant 2005 US$) - WDI',0.66356,0.135019,0.15485,0.66356,6,-0.727009,cluster4
2,'2718N: External Intervention - Fund for Peace','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.65349,0.124041,0.11295,0.65081,6,-0.727632,cluster4
3,'2718N: External Intervention - Fund for Peace','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.59783,0.07783,0.08942,0.59514,6.044394,-0.72111,cluster4
4,'2718N: External Intervention - Fund for Peace','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.57066,0.128948,0.11471,0.56807,6.087463,-0.664614,cluster4
5,'2718N: External Intervention - Fund for Peace','2707: Failed States Index Total - Fund for Peace',0.56326,-0.20901,0.02865,0.56148,6.247928,0.878789,cluster8
6,'2718N: External Intervention - Fund for Peace','0810: GDP per capita  (constant 2005 US$) - WDI',0.56209,0.082514,0.08796,0.55964,6.247928,-0.692514,cluster4
7,'2718N: External Intervention - Fund for Peace','2706: Failed States Index Rank - Fund for Peace',0.52953,-0.171263,0.03112,0.52953,6.087463,-0.837134,cluster4
8,'2718N: External Intervention - Fund for Peace','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.52062,0.106657,0.10093,0.51814,6.247928,-0.643399,cluster4
9,'2718N: External Intervention - Fund for Peace','0808: GDP per capita  (current US$) - WDI',0.51932,0.038065,0.08632,0.5168,6.247928,-0.693725,cluster4
10,'2718N: External Intervention - Fund for Peace','0781: Adjusted net national income per capita  (current US$) - WDI',0.50909,-0.018015,0.04935,0.50909,6.169925,-0.72602,cluster4
11,'2718N: External Intervention - Fund for Peace','0835: GNI per capita; PPP  (current international $) - WDI',0.50724,0.089801,0.08091,0.50724,6.209454,-0.646095,cluster4
12,'2718N: External Intervention - Fund for Peace','1098: Health expenditure per capita  (current US$) - WDI',0.50579,0.019314,0.06327,0.50579,6.247928,-0.697479,cluster4
13,'2718N: External Intervention - Fund for Peace','0813: GDP per capita; PPP  (current international $) - WDI',0.49886,0.088502,0.08532,0.49665,6.247928,-0.640592,cluster4
14,'2718N: External Intervention - Fund for Peace','0379: Electric power consumption  (kWh per capita) - WDI',0.49612,0.269231,0.05427,0.49287,6.044394,-0.476329,cluster2
15,'2718N: External Intervention - Fund for Peace','0830: GNI per capita; Atlas method  (current US$) - WDI',0.49378,-0.006792,0.06185,0.49378,6.209454,-0.707511,cluster4
16,'2718N: External Intervention - Fund for Peace','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.49304,0.120545,0.10784,0.49304,6.209454,-0.610324,cluster4
17,'2718N: External Intervention - Fund for Peace','0353: Agriculture value added per worker  (constant 2005 US$) - WDI',0.48473,0.11107,0.06217,0.482,6.129283,-0.611277,cluster4
18,'2718N: External Intervention - Fund for Peace','2712: Poverty and Economic Decline - Fund for Peace',0.48174,-0.15064,0.0128,0.48144,6.247928,0.795223,cluster8
19,'2718N: External Intervention - Fund for Peace','0028: Surface area  (sq. km) - WDI',0.47633,0.43382,0.37886,0.47633,6.247928,-0.20618,cluster7
20,'2718N: External Intervention - Fund for Peace','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.47125,-0.082747,0.05891,0.47125,6.247928,-0.74431,cluster4
21,'2718N: External Intervention - Fund for Peace','0736: Agriculture; value added  (\% of GDP) - WDI',0.47002,0.068238,0.0814,0.4674,6.169925,0.633863,cluster8
22,'2718N: External Intervention - Fund for Peace','2713: Legitimacy of the State - Fund for Peace',0.46949,-0.184802,0.02851,0.46888,6.247928,0.808883,cluster8
23,'2718N: External Intervention - Fund for Peace','2716: Security Apparatus - Fund for Peace',0.46227,-0.168994,0.02968,0.46166,6.247928,0.794521,cluster8
24,'2718N: External Intervention - Fund for Peace','0779: Adjusted net national income  (constant 2005 US$) - WDI',0.46152,0.347898,0.16586,0.45862,6,-0.337078,cluster2
25,'2718N: External Intervention - Fund for Peace','0952: School enrollment; secondary  (\% gross) - WDI',0.4567,0.008525,0.08841,0.45339,6,-0.669459,cluster4
26,'2718N: External Intervention - Fund for Peace','2708: Demographic Pressures - Fund for Peace',0.45541,-0.156444,0.04598,0.45541,6.129283,0.782211,cluster8
27,'2718N: External Intervention - Fund for Peace','2714: Public Services - Fund for Peace',0.45489,-0.180377,0.05336,0.45489,6.169925,0.797036,cluster8
28,'2718N: External Intervention - Fund for Peace','0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI',0.45488,0.250361,0.07516,0.45488,5.954197,-0.452238,cluster2
29,'2718N: External Intervention - Fund for Peace','0020: Land area  (sq. km) - WDI',0.45068,0.409328,0.35898,0.45068,6.247928,-0.203351,cluster7
30,'2718N: External Intervention - Fund for Peace','2711: Uneven Development - Fund for Peace',0.44968,-0.014926,0.07646,0.44968,5.643856,0.68162,cluster8
31,'2718N: External Intervention - Fund for Peace','1898: Fixed-telephone subscriptions per 100 inhabitants - ITU',0.44473,-0.014006,0.09991,0.442,6.247928,-0.677301,cluster4
32,'2718N: External Intervention - Fund for Peace','0638: Fixed telephone subscriptions  (per 100 people) - WDI',0.44431,-0.017432,0.09925,0.44431,6.247928,-0.679516,cluster4
33,'2718N: External Intervention - Fund for Peace','0380: Energy use  (kg of oil equivalent per capita) - WDI',0.44383,0.23349,0.06068,0.44095,6.087463,-0.458629,cluster2
34,'2718N: External Intervention - Fund for Peace','0773: Adjusted savings: particulate emission damage  (\% of GNI) - WDI',0.43996,0.130236,0.10669,0.43724,6.209454,0.556529,cluster10
