2713-All-N-MIC,2713-All-N-FST,2713-All-P-MIC,2713-All-P-FST,2713-Ext-N-MIC,2713-Ext-N-FST,2713-Ext-P-MIC,2713-Ext-P-FST
2713: Legitimacy of the State - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0764: Adjusted savings: net forest depletion  (current US$) - WDI,2715: Human Rights - Fund for Peace,2715: Human Rights - Fund for Peace,2715: Human Rights - Fund for Peace,0764: Adjusted savings: net forest depletion  (current US$) - WDI
2706: Failed States Index Rank - Fund for Peace,2707: Failed States Index Total - Fund for Peace,2707: Failed States Index Total - Fund for Peace,2707: Failed States Index Total - Fund for Peace,2717: Factionalized Elites - Fund for Peace,2717: Factionalized Elites - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2715: Human Rights - Fund for Peace
2707: Failed States Index Total - Fund for Peace,2715: Human Rights - Fund for Peace,2715: Human Rights - Fund for Peace,2715: Human Rights - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2716: Security Apparatus - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1951: Leprosy - number of reported cases - WHO
2715: Human Rights - Fund for Peace,2717: Factionalized Elites - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1951: Leprosy - number of reported cases - WHO,2704: Corruption perceptions index - Transparency,2704: Corruption perceptions index - Transparency,2717: Factionalized Elites - Fund for Peace,1647: Infrastructure maintenance - ROAD (EUR) - OECD
2717: Factionalized Elites - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1647: Infrastructure maintenance - ROAD (EUR) - OECD,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2714: Public Services - Fund for Peace,2704: Corruption perceptions index - Transparency,2717: Factionalized Elites - Fund for Peace
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2716: Security Apparatus - Fund for Peace,2717: Factionalized Elites - Fund for Peace,2717: Factionalized Elites - Fund for Peace,2716: Security Apparatus - Fund for Peace,0640: Fixed broadband subscriptions  (per 100 people) - WDI,2716: Security Apparatus - Fund for Peace,1741: Passenger car registrations - ROAD (MLN_PKM) - OECD
2704: Corruption perceptions index - Transparency,2704: Corruption perceptions index - Transparency,2704: Corruption perceptions index - Transparency,1741: Passenger car registrations - ROAD (MLN_PKM) - OECD,0642: Secure Internet servers  (per 1 million people) - WDI,2708: Demographic Pressures - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,1455: Container transport - RAIL (TFEU) - OECD
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2714: Public Services - Fund for Peace,2716: Security Apparatus - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,1338: Bound rate; simple mean; all products  (%) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,2716: Security Apparatus - Fund for Peace
2716: Security Apparatus - Fund for Peace,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,1455: Container transport - RAIL (TFEU) - OECD,0832: GNI per capita  (constant 2005 US$) - WDI,2711: Uneven Development - Fund for Peace,2708: Demographic Pressures - Fund for Peace,2704: Corruption perceptions index - Transparency
0642: Secure Internet servers  (per 1 million people) - WDI,2708: Demographic Pressures - Fund for Peace,0781: Adjusted net national income per capita  (current US$) - WDI,2716: Security Apparatus - Fund for Peace,2708: Demographic Pressures - Fund for Peace,0643: Internet users  (per 100 people) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0082: Listed domestic companies; total - WDI
