1954-All-N-MIC,1954-All-N-FST,1954-All-P-MIC,1954-All-P-FST,1954-Ext-N-MIC,1954-Ext-N-FST,1954-Ext-P-MIC,1954-Ext-P-FST
0813: GDP per capita; PPP  (current international $) - WDI,1954: Gross national income per capita (PPP int. $) - WHO,0835: GNI per capita; PPP  (current international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI
1954: Gross national income per capita (PPP int. $) - WHO,0813: GDP per capita; PPP  (current international $) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
0835: GNI per capita; PPP  (current international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0379: Electric power consumption  (kWh per capita) - WDI,1268: International migrant stock  (% of population) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
1167: GDP per person employed  (constant 2011 PPP $) - WDI,0808: GDP per capita  (current US$) - WDI,0808: GDP per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,2714: Public Services - Fund for Peace,0736: Agriculture; value added  (% of GDP) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI
0832: GNI per capita  (constant 2005 US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,1268: International migrant stock  (% of population) - WDI
0808: GDP per capita  (current US$) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0810: GDP per capita  (constant 2005 US$) - WDI,0808: GDP per capita  (current US$) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1895: Mobile-cellular telephone subscriptions - ITU,0374: Access to non-solid fuel  (% of population) - WDI,0379: Electric power consumption  (kWh per capita) - WDI
0810: GDP per capita  (constant 2005 US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0374: Access to non-solid fuel  (% of population) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1413: Account at a financial institution; male  (% age 15+) - WDI,2714: Public Services - Fund for Peace
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0636: Mobile cellular subscriptions  (per 100 people) - WDI
