2718-All-N-MIC,2718-All-N-FST,2718-All-P-MIC,2718-All-P-FST,2718-Ext-N-MIC,2718-Ext-N-FST,2718-Ext-P-MIC,2718-Ext-P-FST
2718: External Intervention - Fund for Peace,2718: External Intervention - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,2707: Failed States Index Total - Fund for Peace,2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,2712: Poverty and Economic Decline - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,0320: Net ODA received  (% of GNI) - WDI
2706: Failed States Index Rank - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,2706: Failed States Index Rank - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0433: Population in the largest city  (% of urban population) - WDI
2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,2706: Failed States Index Rank - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0320: Net ODA received  (% of GNI) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,2714: Public Services - Fund for Peace,2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,2712: Poverty and Economic Decline - Fund for Peace
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2712: Poverty and Economic Decline - Fund for Peace,2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,0433: Population in the largest city  (% of urban population) - WDI,0808: GDP per capita  (current US$) - WDI,2716: Security Apparatus - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace
0832: GNI per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace,2707: Failed States Index Total - Fund for Peace,2712: Poverty and Economic Decline - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0643: Internet users  (per 100 people) - WDI,1098: Health expenditure per capita  (current US$) - WDI,2716: Security Apparatus - Fund for Peace
2707: Failed States Index Total - Fund for Peace,2714: Public Services - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,2708: Demographic Pressures - Fund for Peace,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,2714: Public Services - Fund for Peace
0808: GDP per capita  (current US$) - WDI,2716: Security Apparatus - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,2716: Security Apparatus - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2717: Factionalized Elites - Fund for Peace,0808: GDP per capita  (current US$) - WDI,2726: Merchandise trade-Imports-Food (US dollar at current prices) - WTO
1098: Health expenditure per capita  (current US$) - WDI,0643: Internet users  (per 100 people) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,2714: Public Services - Fund for Peace,1413: Account at a financial institution; male  (% age 15+) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,2717: Factionalized Elites - Fund for Peace
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,2708: Demographic Pressures - Fund for Peace,0781: Adjusted net national income per capita  (current US$) - WDI,2726: Merchandise trade-Imports-Food (US dollar at current prices) - WTO,1414: Account at a financial institution; female  (% age 15+) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1413: Account at a financial institution; male  (% age 15+) - WDI,1317: International tourism; number of arrivals - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,2717: Factionalized Elites - Fund for Peace,0808: GDP per capita  (current US$) - WDI,2717: Factionalized Elites - Fund for Peace,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1414: Account at a financial institution; female  (% age 15+) - WDI,2708: Demographic Pressures - Fund for Peace
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1317: International tourism; number of arrivals - WDI,0835: GNI per capita; PPP  (current international $) - WDI,2704: Corruption perceptions index - Transparency,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1051: Lifetime risk of maternal death  (%) - WDI
1413: Account at a financial institution; male  (% age 15+) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,2708: Demographic Pressures - Fund for Peace,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,2719: Human Flight - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0643: Internet users  (per 100 people) - WDI
1412: Account at a financial institution  (% age 15+) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,1051: Lifetime risk of maternal death  (%) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,2710: Group Grievance - Fund for Peace,0643: Internet users  (per 100 people) - WDI,0182: External debt stocks  (% of exports of goods; services and primary income) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1412: Account at a financial institution  (% age 15+) - WDI,0643: Internet users  (per 100 people) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1904: Total density per million population: Radiotherapy units - WHO,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI
1414: Account at a financial institution; female  (% age 15+) - WDI,2704: Corruption perceptions index - Transparency,1413: Account at a financial institution; male  (% age 15+) - WDI,0182: External debt stocks  (% of exports of goods; services and primary income) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI
