2704-All-N-MIC,2704-All-N-FST,2704-All-P-MIC,2704-All-P-FST,2704-Ext-N-MIC,2704-Ext-N-FST,2704-Ext-P-MIC,2704-Ext-P-FST
2704: Corruption perceptions index - Transparency,2704: Corruption perceptions index - Transparency,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1954: Gross national income per capita (PPP int. $) - WHO,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2707: Failed States Index Total - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1954: Gross national income per capita (PPP int. $) - WHO
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2707: Failed States Index Total - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,0643: Internet users  (per 100 people) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0643: Internet users  (per 100 people) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,0643: Internet users  (per 100 people) - WDI
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0643: Internet users  (per 100 people) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2707: Failed States Index Total - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2707: Failed States Index Total - Fund for Peace
0642: Secure Internet servers  (per 1 million people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0832: GNI per capita  (constant 2005 US$) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1899: Percentage of Individuals using the Internet (%) - ITU,2713: Legitimacy of the State - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,2713: Legitimacy of the State - Fund for Peace
0781: Adjusted net national income per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0643: Internet users  (per 100 people) - WDI,2713: Legitimacy of the State - Fund for Peace,0830: GNI per capita; Atlas method  (current US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0643: Internet users  (per 100 people) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI
1899: Percentage of Individuals using the Internet (%) - ITU,2713: Legitimacy of the State - Fund for Peace,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
0643: Internet users  (per 100 people) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0810: GDP per capita  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0810: GDP per capita  (constant 2005 US$) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI
1414: Account at a financial institution; female  (% age 15+) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,2714: Public Services - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0813: GDP per capita; PPP  (current international $) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1098: Health expenditure per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI,2714: Public Services - Fund for Peace
0832: GNI per capita  (constant 2005 US$) - WDI,2714: Public Services - Fund for Peace,0830: GNI per capita; Atlas method  (current US$) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI,2715: Human Rights - Fund for Peace,1412: Account at a financial institution  (% age 15+) - WDI,2715: Human Rights - Fund for Peace
0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0808: GDP per capita  (current US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,1412: Account at a financial institution  (% age 15+) - WDI,2706: Failed States Index Rank - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0810: GDP per capita  (constant 2005 US$) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,2716: Security Apparatus - Fund for Peace,0835: GNI per capita; PPP  (current international $) - WDI,2706: Failed States Index Rank - Fund for Peace
1098: Health expenditure per capita  (current US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1412: Account at a financial institution  (% age 15+) - WDI,2714: Public Services - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,2716: Security Apparatus - Fund for Peace
0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,2715: Human Rights - Fund for Peace,1414: Account at a financial institution; female  (% age 15+) - WDI,0808: GDP per capita  (current US$) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI
