0808-All-N-MIC,0808-All-N-FST,0808-All-P-MIC,0808-All-P-FST,0808-Ext-N-MIC,0808-Ext-N-FST,0808-Ext-P-MIC,0808-Ext-P-FST
0808: GDP per capita  (current US$) - WDI,0808: GDP per capita  (current US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1098: Health expenditure per capita  (current US$) - WDI
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
0832: GNI per capita  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI
1954: Gross national income per capita (PPP int. $) - WHO,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1954: Gross national income per capita (PPP int. $) - WHO,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0643: Internet users  (per 100 people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0642: Secure Internet servers  (per 1 million people) - WDI
0810: GDP per capita  (constant 2005 US$) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1134: Employment in agriculture; male  (% of male employment) - WDI,0643: Internet users  (per 100 people) - WDI
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0442: Water productivity; total  (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,1312: Rural population  (% of total population) - WDI
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0642: Secure Internet servers  (per 1 million people) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,1315: Urban population  (% of total) - WDI
1098: Health expenditure per capita  (current US$) - WDI,0643: Internet users  (per 100 people) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0643: Internet users  (per 100 people) - WDI,1134: Employment in agriculture; male  (% of male employment) - WDI,1312: Rural population  (% of total population) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI
