@relation MINE-Indicator-2011-2704_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,'2704N: Corruption perceptions index - Transparency - 0','2704: Corruption perceptions index - Transparency - 1699',0.96542,-0.004403,0.10562,0.95826,4.459432,0.984796,cluster3
1,'2704N: Corruption perceptions index - Transparency - 0','0642: Secure Internet servers  (per 1 million people) - WDI - 583',0.72858,0.225329,0.09825,0.72858,4.321928,0.709402,cluster3
2,'2704N: Corruption perceptions index - Transparency - 0','0379: Electric power consumption  (kWh per capita) - WDI - 365',0.6653,0.28395,0.12432,0.6653,4.169925,0.617535,cluster3
3,'2704N: Corruption perceptions index - Transparency - 0','0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI - 488',0.65719,0.02292,0.10543,0.63754,4.321928,0.796411,cluster3
4,'2704N: Corruption perceptions index - Transparency - 0','0643: Internet users  (per 100 people) - WDI - 584',0.65401,0.006279,0.13024,0.63869,4.459432,0.804817,cluster3
5,'2704N: Corruption perceptions index - Transparency - 0','1414: Account at a financial institution; female  (\% age 15+) - WDI - 1319',0.65232,0.027894,0.15423,0.65232,4.169925,0.790206,cluster3
6,'2704N: Corruption perceptions index - Transparency - 0','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609',0.64332,-0.052995,0.06941,0.64332,4.169925,0.834455,cluster3
7,'2704N: Corruption perceptions index - Transparency - 0','1899: Percentage of Individuals using the Internet (\%) - ITU - 1657',0.63842,-0.01012,0.12663,0.63842,4.321928,0.80532,cluster3
8,'2704N: Corruption perceptions index - Transparency - 0','1416: Account at a financial institution; income; richest 60\%  (\% ages 15+) - WDI - 1321',0.62662,0.031509,0.12592,0.62662,4.169925,0.771434,cluster3
9,'2704N: Corruption perceptions index - Transparency - 0','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714',0.62494,-0.07747,0.05569,0.61214,4.169925,0.838099,cluster3
10,'2704N: Corruption perceptions index - Transparency - 0','1412: Account at a financial institution  (\% age 15+) - WDI - 1317',0.6237,0.002152,0.12608,0.6237,4.169925,0.788383,cluster3
11,'2704N: Corruption perceptions index - Transparency - 0','0736: Agriculture; value added  (\% of GDP) - WDI - 668',0.61573,0.275611,0.19912,0.60369,4.321928,-0.583197,cluster5
12,'2704N: Corruption perceptions index - Transparency - 0','0781: Adjusted net national income per capita  (current US$) - WDI - 713',0.60797,-0.046482,0.05158,0.58994,4.321928,0.808982,cluster3
13,'2704N: Corruption perceptions index - Transparency - 0','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU - 1659',0.60588,-0.034902,0.14485,0.60588,4.321928,0.800489,cluster3
14,'2704N: Corruption perceptions index - Transparency - 0','0832: GNI per capita  (constant 2005 US$) - WDI - 764',0.59925,-0.093059,0.04179,0.59237,4.169925,0.832051,cluster3
15,'2704N: Corruption perceptions index - Transparency - 0','2713: Legitimacy of the State - Fund for Peace - 1708',0.59753,-0.175841,0.09682,0.59753,4.321928,-0.879415,cluster0
16,'2704N: Corruption perceptions index - Transparency - 0','1415: Account at a financial institution; income; poorest 40\%  (\% ages 15+) - WDI - 1320',0.59129,-0.043443,0.07619,0.59129,4.169925,0.796702,cluster3
17,'2704N: Corruption perceptions index - Transparency - 0','1413: Account at a financial institution; male  (\% age 15+) - WDI - 1318',0.58865,-0.002344,0.08455,0.58865,4.169925,0.768761,cluster3
18,'2704N: Corruption perceptions index - Transparency - 0','0898: Pupil-teacher ratio; primary - WDI - 828',0.58736,0.274442,0.13642,0.56161,4.169925,-0.559391,cluster0
19,'2704N: Corruption perceptions index - Transparency - 0','0640: Fixed broadband subscriptions  (per 100 people) - WDI - 581',0.58696,-0.052132,0.13095,0.58696,4.321928,0.799432,cluster3
20,'2704N: Corruption perceptions index - Transparency - 0','1035: Improved water source  (\% of population with access) - WDI - 957',0.58682,0.233389,0.05035,0.58682,4.321928,0.594501,cluster3
21,'2704N: Corruption perceptions index - Transparency - 0','2706: Failed States Index Rank - Fund for Peace - 1701',0.58343,-0.073626,0.05898,0.58343,4.321928,0.81059,cluster3
22,'2704N: Corruption perceptions index - Transparency - 0','0380: Energy use  (kg of oil equivalent per capita) - WDI - 366',0.58298,0.319412,0.12895,0.58298,4.169925,0.513389,cluster3
23,'2704N: Corruption perceptions index - Transparency - 0','2707: Failed States Index Total - Fund for Peace - 1702',0.57207,-0.175184,0.04762,0.57207,4.321928,-0.864438,cluster0
