@relation MINE-Indicator-2011-2704

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'2704N: Corruption perceptions index - Transparency - 0','2704: Corruption perceptions index - Transparency - 1699',0.96542,-0.0044026375,0.10561997,0.95826,4.4594316,0.98479575
'2704N: Corruption perceptions index - Transparency - 0','0642: Secure Internet servers  (per 1 million people) - WDI - 583',0.72858,0.22532868,0.09824997,0.72858,4.321928,0.7094021
'2704N: Corruption perceptions index - Transparency - 0','0379: Electric power consumption  (kWh per capita) - WDI - 365',0.6653,0.28395033,0.12432003,0.6653,4.169925,0.6175352
'2704N: Corruption perceptions index - Transparency - 0','0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI - 488',0.65719,0.022919893,0.10543001,0.63754,4.321928,0.7964108
'2704N: Corruption perceptions index - Transparency - 0','0643: Internet users  (per 100 people) - WDI - 584',0.65401,0.0062791705,0.13024002,0.63869,4.4594316,0.80481726
'2704N: Corruption perceptions index - Transparency - 0','1414: Account at a financial institution; female  (% age 15+) - WDI - 1319',0.65232,0.027894497,0.15423003,0.65232,4.169925,0.790206
'2704N: Corruption perceptions index - Transparency - 0','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609',0.64332,-0.052995026,0.06940997,0.64332,4.169925,0.83445495
'2704N: Corruption perceptions index - Transparency - 0','1899: Percentage of Individuals using the Internet (%) - ITU - 1657',0.63842,-0.010120451,0.12662998,0.63842,4.321928,0.8053201
'2704N: Corruption perceptions index - Transparency - 0','1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI - 1321',0.62662,0.03150904,0.12592,0.62662,4.169925,0.77143437
'2704N: Corruption perceptions index - Transparency - 0','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714',0.62494,-0.07747048,0.05568999,0.61214,4.169925,0.8380993
'2704N: Corruption perceptions index - Transparency - 0','1412: Account at a financial institution  (% age 15+) - WDI - 1317',0.6237,0.0021517873,0.12608004,0.6237,4.169925,0.7883833
'2704N: Corruption perceptions index - Transparency - 0','0736: Agriculture; value added  (% of GDP) - WDI - 668',0.61573,0.27561083,0.19911999,0.60369,4.321928,-0.58319736
'2704N: Corruption perceptions index - Transparency - 0','0781: Adjusted net national income per capita  (current US$) - WDI - 713',0.60797,-0.046482086,0.05158001,0.58994,4.321928,0.80898213
'2704N: Corruption perceptions index - Transparency - 0','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU - 1659',0.60588,-0.034902036,0.14485002,0.60588,4.321928,0.80048865
'2704N: Corruption perceptions index - Transparency - 0','0832: GNI per capita  (constant 2005 US$) - WDI - 764',0.59925,-0.093058884,0.04178995,0.59237,4.169925,0.83205104
'2704N: Corruption perceptions index - Transparency - 0','2713: Legitimacy of the State - Fund for Peace - 1708',0.59753,-0.1758411,0.09682,0.59753,4.321928,-0.8794152
'2704N: Corruption perceptions index - Transparency - 0','1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI - 1320',0.59129,-0.043443263,0.076190025,0.59129,4.169925,0.7967015
'2704N: Corruption perceptions index - Transparency - 0','1413: Account at a financial institution; male  (% age 15+) - WDI - 1318',0.58865,-0.0023437142,0.08455002,0.58865,4.169925,0.76876116
'2704N: Corruption perceptions index - Transparency - 0','0898: Pupil-teacher ratio; primary - WDI - 828',0.58736,0.27444217,0.13642001,0.56161,4.169925,-0.5593906
'2704N: Corruption perceptions index - Transparency - 0','0640: Fixed broadband subscriptions  (per 100 people) - WDI - 581',0.58696,-0.052131593,0.13095,0.58696,4.321928,0.79943204
'2704N: Corruption perceptions index - Transparency - 0','1035: Improved water source  (% of population with access) - WDI - 957',0.58682,0.2333889,0.05035001,0.58682,4.321928,0.5945007
'2704N: Corruption perceptions index - Transparency - 0','2706: Failed States Index Rank - Fund for Peace - 1701',0.58343,-0.07362628,0.058979988,0.58343,4.321928,0.8105901
'2704N: Corruption perceptions index - Transparency - 0','0380: Energy use  (kg of oil equivalent per capita) - WDI - 366',0.58298,0.31941167,0.12895003,0.58298,4.169925,0.51338905
'2704N: Corruption perceptions index - Transparency - 0','2707: Failed States Index Total - Fund for Peace - 1702',0.57207,-0.17518353,0.04762,0.57207,4.321928,-0.8644383
'2704N: Corruption perceptions index - Transparency - 0','0830: GNI per capita; Atlas method  (current US$) - WDI - 762',0.57175,-0.055757344,0.06252,0.57175,4.321928,0.7921536
'2704N: Corruption perceptions index - Transparency - 0','1098: Health expenditure per capita  (current US$) - WDI - 1013',0.57144,-0.00643909,0.071529984,0.57144,4.321928,0.7601836
'2704N: Corruption perceptions index - Transparency - 0','0810: GDP per capita  (constant 2005 US$) - WDI - 742',0.56334,-0.060645163,0.04141,0.56334,4.321928,0.7899273
'2704N: Corruption perceptions index - Transparency - 0','1023: Number of under-five deaths - WDI - 948',0.55866,0.52666694,0.06645998,0.55866,4.321928,-0.17886597
'2704N: Corruption perceptions index - Transparency - 0','0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI - 566',0.55482,-0.0815323,0.03239,0.55482,4.169925,0.7977169
'2704N: Corruption perceptions index - Transparency - 0','1028: Mortality rate; under-5  (per 1;000 live births) - WDI - 952',0.55388,0.22948757,0.09185997,0.55388,4.321928,-0.56955457
'2704N: Corruption perceptions index - Transparency - 0','1289: Survival to age 65; female  (% of cohort) - WDI - 1194',0.55168,0.2213791,0.07697004,0.55168,4.321928,0.5747181
'2704N: Corruption perceptions index - Transparency - 0','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI - 1014',0.551,-0.06364268,0.044400007,0.551,4.321928,0.7839915
'2704N: Corruption perceptions index - Transparency - 0','1049: Number of maternal deaths - WDI - 971',0.55093,0.5092656,0.06664002,0.55093,4.321928,-0.20411865
'2704N: Corruption perceptions index - Transparency - 0','1283: Mortality rate; infant  (per 1;000 live births) - WDI - 1189',0.55091,0.18232575,0.08598998,0.55091,4.321928,-0.6071114
'2704N: Corruption perceptions index - Transparency - 0','1021: Number of infant deaths - WDI - 947',0.54598,0.51651525,0.06496,0.54598,4.321928,-0.17165291
'2704N: Corruption perceptions index - Transparency - 0','2716: Security Apparatus - Fund for Peace - 1711',0.54131,-0.17373472,0.043200016,0.54131,4.321928,-0.84560317
'2704N: Corruption perceptions index - Transparency - 0','1287: Life expectancy at birth; male  (years) - WDI - 1192',0.54045,0.07332736,0.03424999,0.52845,4.4594316,0.6834637
'2704N: Corruption perceptions index - Transparency - 0','1954: Gross national income per capita (PPP int. $) - WHO - 1679',0.54037,0.064210445,0.07650998,0.52206,4.321928,0.69004315
'2704N: Corruption perceptions index - Transparency - 0','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI - 404',0.53858,0.1767123,0.041830003,0.53858,4.321928,0.6015544
'2704N: Corruption perceptions index - Transparency - 0','1033: Improved water source; rural  (% of rural population with access) - WDI - 955',0.53687,0.15222326,0.040030003,0.53687,4.321928,0.62019897
'2704N: Corruption perceptions index - Transparency - 0','1034: Improved water source; urban  (% of urban population with access) - WDI - 956',0.53554,0.26632708,0.04925999,0.53554,4.321928,0.5188573
'2704N: Corruption perceptions index - Transparency - 0','0953: School enrollment; secondary; female  (% gross) - WDI - 883',0.53541,0.14137518,0.07553002,0.5161,4.169925,0.6277219
'2704N: Corruption perceptions index - Transparency - 0','1286: Life expectancy at birth; total  (years) - WDI - 1191',0.53527,0.10003689,0.041830003,0.52532,4.4594316,0.659722
'2704N: Corruption perceptions index - Transparency - 0','1297: Population ages 65 and above  (% of total) - WDI - 1202',0.52872,0.13872433,0.11655003,0.52872,4.321928,0.62449634
'2704N: Corruption perceptions index - Transparency - 0','1285: Life expectancy at birth; female  (years) - WDI - 1190',0.52847,0.13258809,0.053959996,0.51303,4.4594316,0.62919146
'2704N: Corruption perceptions index - Transparency - 0','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD - 1327',0.52791,0.2980954,0.064009994,0.50609,4.169925,0.4793898
'2704N: Corruption perceptions index - Transparency - 0','0808: GDP per capita  (current US$) - WDI - 740',0.52688,-0.059889734,0.042029977,0.52688,4.321928,0.766009
'2704N: Corruption perceptions index - Transparency - 0','0836: GNI per capita; PPP  (constant 2011 international $) - WDI - 768',0.52523,0.033818156,0.058540016,0.52523,4.321928,0.7010077
'2704N: Corruption perceptions index - Transparency - 0','2708: Demographic Pressures - Fund for Peace - 1703',0.52444,-0.08410418,0.08375999,0.52444,4.169925,-0.7800924
'2704N: Corruption perceptions index - Transparency - 0','2714: Public Services - Fund for Peace - 1709',0.52308,-0.12774098,0.05964002,0.52308,4.169925,-0.80673474
'2704N: Corruption perceptions index - Transparency - 0','0835: GNI per capita; PPP  (current international $) - WDI - 767',0.52166,0.030231267,0.058540016,0.52166,4.321928,0.70101976
'2704N: Corruption perceptions index - Transparency - 0','0638: Fixed telephone subscriptions  (per 100 people) - WDI - 579',0.51982,-0.011863232,0.03528002,0.50513,4.4594316,0.7291661
'2704N: Corruption perceptions index - Transparency - 0','1288: Fertility rate; total  (births per woman) - WDI - 1193',0.51974,0.24241069,0.037849993,0.49971,4.4594316,-0.5266206
'2704N: Corruption perceptions index - Transparency - 0','1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI - 1183',0.51868,0.28887957,0.08892998,0.51868,4.321928,-0.479375
'2704N: Corruption perceptions index - Transparency - 0','1025: Number of neonatal deaths - WDI - 949',0.51812,0.49727255,0.04418999,0.51812,4.321928,-0.14438638
'2704N: Corruption perceptions index - Transparency - 0','1031: Mortality rate; neonatal  (per 1;000 live births) - WDI - 953',0.51674,0.10767493,0.06650004,0.51674,4.321928,-0.639582
'2704N: Corruption perceptions index - Transparency - 0','0571: Time to import  (days) - WDI - 517',0.51599,0.12051681,0.045349985,0.51599,4.321928,-0.6288666
'2704N: Corruption perceptions index - Transparency - 0','2715: Human Rights - Fund for Peace - 1710',0.51089,-0.19246137,0.06661999,0.51089,4.321928,-0.8386605
'2704N: Corruption perceptions index - Transparency - 0','0626: Quality of port infrastructure; WEF  (1=extremely underdeveloped to 7=well developed and efficient by international standards) - WDI - 567',0.50686,-0.043109357,0.13215,0.50686,4.169925,0.7415992
'2704N: Corruption perceptions index - Transparency - 0','0813: GDP per capita; PPP  (current international $) - WDI - 745',0.50628,0.048638135,0.078940004,0.50628,4.321928,0.67649233
'2704N: Corruption perceptions index - Transparency - 0','0814: GDP per capita; PPP  (constant 2011 international $) - WDI - 746',0.50628,0.048638135,0.078940004,0.50628,4.321928,0.67649233
'2704N: Corruption perceptions index - Transparency - 0','0952: School enrollment; secondary  (% gross) - WDI - 882',0.50555,0.105888635,0.04226002,0.47833,4.169925,0.6321878
'2704N: Corruption perceptions index - Transparency - 0','1299: Age dependency ratio; old  (% of working-age population) - WDI - 1204',0.50243,0.12245628,0.08245003,0.50243,4.321928,0.6164201
'2704N: Corruption perceptions index - Transparency - 0','1295: Population ages 0-14  (% of total) - WDI - 1200',0.50238,0.11931631,0.07266,0.50238,4.321928,-0.6189214
'2704N: Corruption perceptions index - Transparency - 0','1898: Fixed-telephone subscriptions per 100 inhabitants - ITU - 1656',0.50189,-0.031422615,0.023419976,0.50189,4.321928,0.73028255
'2704N: Corruption perceptions index - Transparency - 0','1051: Lifetime risk of maternal death  (%) - WDI - 973',0.49913,0.30772954,0.040260017,0.49913,4.321928,-0.43749338
'2704N: Corruption perceptions index - Transparency - 0','0759: Services; etc.; value added  (% of GDP) - WDI - 691',0.49775,0.20682186,0.025490016,0.48479,4.321928,0.53937757
'2704N: Corruption perceptions index - Transparency - 0','1290: Survival to age 65; male  (% of cohort) - WDI - 1195',0.49716,0.06308961,0.08118999,0.49716,4.321928,0.6588402
'2704N: Corruption perceptions index - Transparency - 0','0460: Domestic credit to private sector by banks  (% of GDP) - WDI - 409',0.49325,-0.028697968,0.025959998,0.47461,4.321928,0.7224597
'2704N: Corruption perceptions index - Transparency - 0','1300: Age dependency ratio; young  (% of working-age population) - WDI - 1205',0.49311,0.15499312,0.052969992,0.49311,4.321928,-0.5814782
'2704N: Corruption perceptions index - Transparency - 0','1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI - 1267',0.49253,0.19269383,0.18664,0.49253,4.321928,0.547573
'2704N: Corruption perceptions index - Transparency - 0','0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI - 786',0.49191,-0.13843337,0.03997001,0.49191,4.321928,0.7939417
'2704N: Corruption perceptions index - Transparency - 0','0492: Domestic credit to private sector  (% of GDP) - WDI - 441',0.49088,0.01680082,0.025249988,0.47485,4.321928,0.6885341
'2704N: Corruption perceptions index - Transparency - 0','0954: School enrollment; secondary; male  (% gross) - WDI - 884',0.49084,0.100346774,0.039240003,0.47097,4.169925,0.62489456
'2704N: Corruption perceptions index - Transparency - 0','0456: Commercial bank branches  (per 100;000 adults) - WDI - 406',0.48767,0.28438404,0.054039985,0.48767,4.321928,0.45087245
'2704N: Corruption perceptions index - Transparency - 0','1167: GDP per person employed  (constant 2011 PPP $) - WDI - 1080',0.48753,0.094537795,0.03037998,0.48753,4.321928,0.6268909
'2704N: Corruption perceptions index - Transparency - 0','0577: Cost of business start-up procedures  (% of GNI per capita) - WDI - 521',0.48644,0.30620843,0.09774998,0.47013,4.321928,-0.4245369
'2704N: Corruption perceptions index - Transparency - 0','1093: Incidence of tuberculosis  (per 100;000 people) - WDI - 1008',0.48604,0.37044638,0.11254999,0.47082,4.4594316,-0.3399906
'2704N: Corruption perceptions index - Transparency - 0','1278: Birth rate; crude  (per 1;000 people) - WDI - 1185',0.48324,0.13380903,0.04514,0.46463,4.4594316,-0.59112686
'2704N: Corruption perceptions index - Transparency - 0','1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI - 987',0.48137,0.26011765,0.03305,0.48137,4.321928,-0.4703747
'2704N: Corruption perceptions index - Transparency - 0','1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI - 972',0.4749,0.14765221,0.016030014,0.4749,4.321928,0.57205576
'2704N: Corruption perceptions index - Transparency - 0','0774: Adjusted savings: natural resources depletion  (% of GNI) - WDI - 706',0.47192,0.32634094,0.10723001,0.45033,4.321928,-0.38154826
'2704N: Corruption perceptions index - Transparency - 0','1967: Total fertility rate (per woman) - WHO - 1684',0.47079,0.2112087,0.04095,0.47079,4.321928,-0.5094912
'2704N: Corruption perceptions index - Transparency - 0','2717: Factionalized Elites - Fund for Peace - 1712',0.46886,-0.15404657,0.06264001,0.46886,4.0,-0.7892443
'2704N: Corruption perceptions index - Transparency - 0','1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI - 1184',0.46597,0.14215595,0.070820004,0.46597,4.321928,-0.5690466
'2704N: Corruption perceptions index - Transparency - 0','1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI - 977',0.46506,0.22469577,0.061230004,0.46506,4.321928,0.49026954
'2704N: Corruption perceptions index - Transparency - 0','2712: Poverty and Economic Decline - Fund for Peace - 1707',0.46428,-0.07920933,0.04637,0.46428,4.321928,-0.7372173
'2704N: Corruption perceptions index - Transparency - 0','0691: Gross national expenditure deflator  (base year varies by country) - WDI - 623',0.46009,0.4056525,0.100220025,0.44292,4.321928,-0.23331846
'2704N: Corruption perceptions index - Transparency - 0','1058: Improved sanitation facilities  (% of population with access) - WDI - 975',0.45702,0.17044023,0.038619995,0.45702,4.321928,0.5353315
'2704N: Corruption perceptions index - Transparency - 0','0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI - 705',0.45329,0.18197912,0.06861001,0.45329,4.321928,-0.5208751
'2704N: Corruption perceptions index - Transparency - 0','1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI - 976',0.45197,0.15168133,0.03920999,0.45197,4.321928,0.54798603
'2704N: Corruption perceptions index - Transparency - 0','0553: Time to export  (days) - WDI - 500',0.45154,0.08362374,0.050669998,0.45154,3.807355,-0.606561
'2704N: Corruption perceptions index - Transparency - 0','1924: Psychiatrists working in mental health sector (per 100;000) - WHO - 1666',0.4506,0.038969994,0.07872999,0.43479,4.321928,0.641584
'2704N: Corruption perceptions index - Transparency - 0','0922: Repeaters; primary; male  (% of male enrollment) - WDI - 852',0.45044,0.25814873,0.08473,0.41398,4.169925,-0.4385103
'2704N: Corruption perceptions index - Transparency - 0','1383: ICT goods exports  (% of total goods exports) - WDI - 1288',0.44679,0.35879165,0.048640013,0.41422,4.169925,0.29664516
'2704N: Corruption perceptions index - Transparency - 0','0062: Primary income receipts  (BoP; current US$) - WDI - 59',0.44663,0.27141833,0.13918,0.42772,4.321928,0.41858292
'2704N: Corruption perceptions index - Transparency - 0','2711: Uneven Development - Fund for Peace - 1706',0.44524,-0.15530941,0.06708002,0.44524,4.169925,-0.7749512
'2704N: Corruption perceptions index - Transparency - 0','0727: External balance on goods and services  (current LCU) - WDI - 659',0.44336,0.438806,0.1992,0.44336,4.321928,-0.06748344
'2704N: Corruption perceptions index - Transparency - 0','0978: School enrollment; tertiary  (% gross) - WDI - 908',0.44306,0.084215194,0.029199988,0.4303,4.169925,0.5990366
'2704N: Corruption perceptions index - Transparency - 0','0353: Agriculture value added per worker  (constant 2005 US$) - WDI - 345',0.44263,0.05511245,0.046989977,0.44263,4.169925,0.62250906
'2704N: Corruption perceptions index - Transparency - 0','0923: Repeaters; primary; total  (% of total enrollment) - WDI - 853',0.44191,0.24740824,0.06556001,0.41788,4.169925,-0.44102353
'2704N: Corruption perceptions index - Transparency - 0','1103: Health expenditure; public  (% of GDP) - WDI - 1018',0.43816,-0.0017808378,0.05211,0.43816,4.321928,0.66328037
'2704N: Corruption perceptions index - Transparency - 0','0921: Repeaters; primary; female  (% of female enrollment) - WDI - 851',0.4377,0.22873811,0.07862002,0.40996,4.169925,-0.4571235
'2704N: Corruption perceptions index - Transparency - 0','0852: Official exchange rate  (LCU per US$; period average) - WDI - 784',0.43371,0.4057349,0.09354001,0.43371,4.169925,-0.1672576
'2704N: Corruption perceptions index - Transparency - 0','0879: School enrollment; primary (gross); gender parity index  (GPI) - WDI - 809',0.43121,0.26384997,0.05825001,0.43121,4.169925,0.40909663
'2704N: Corruption perceptions index - Transparency - 0','0851: DEC alternative conversion factor  (LCU per US$) - WDI - 783',0.43062,0.39796323,0.050580025,0.43062,4.321928,-0.18071188
'2704N: Corruption perceptions index - Transparency - 0','2710: Group Grievance - Fund for Peace - 1705',0.42824,-0.051777482,0.074829996,0.42824,4.321928,-0.69283295
'2704N: Corruption perceptions index - Transparency - 0','0885: School enrollment; preprimary  (% gross) - WDI - 815',0.42818,0.13546222,0.16149002,0.40095,4.169925,0.541034
'2704N: Corruption perceptions index - Transparency - 0','1952: Number of neonatal deaths (thousands) - WHO - 1678',0.42509,0.40479952,0.029409975,0.42509,4.321928,-0.14244466
'2704N: Corruption perceptions index - Transparency - 0','0491: Domestic credit provided by financial sector  (% of GDP) - WDI - 440',0.42496,-0.038891613,0.025579989,0.40863,4.321928,0.6810665
'2704N: Corruption perceptions index - Transparency - 0','2719: Human Flight - Fund for Peace - 1714',0.4228,-0.10074842,0.043119997,0.4228,4.321928,-0.7235665
'2704N: Corruption perceptions index - Transparency - 0','1016: Prevalence of anemia among children  (% of children under 5) - WDI - 943',0.41983,0.087694615,0.07058999,0.41983,4.321928,-0.5763119
'2704N: Corruption perceptions index - Transparency - 0','2718: External Intervention - Fund for Peace - 1713',0.41979,-0.103188545,0.029520005,0.41979,4.321928,-0.72317255
'2704N: Corruption perceptions index - Transparency - 0','0886: School enrollment; preprimary; female  (% gross) - WDI - 816',0.41809,0.13336271,0.12842998,0.39893,4.169925,0.5335984
'2704N: Corruption perceptions index - Transparency - 0','0848: Net current transfers from abroad  (current LCU) - WDI - 780',0.41479,0.4103039,0.09720999,0.41479,4.169925,-0.06697846
'2704N: Corruption perceptions index - Transparency - 0','0791: GDP deflator  (base year varies by country) - WDI - 723',0.41404,0.3633641,0.06755999,0.41404,4.321928,-0.22511308
'2704N: Corruption perceptions index - Transparency - 0','0816: Total natural resources rents  (% of GDP) - WDI - 748',0.412,0.25521624,0.099949986,0.412,4.321928,-0.3959593
'2704N: Corruption perceptions index - Transparency - 0','2729: Merchandise trade-Imports-Manufactures (US dollar at current prices) - WTO - 1724',0.40991,0.29617214,0.19536999,0.38362,4.321928,0.33725044
'2704N: Corruption perceptions index - Transparency - 0','0388: CO2 emissions  (metric tons per capita) - WDI - 374',0.40953,0.2510829,0.069870025,0.40953,4.321928,0.39805418
'2704N: Corruption perceptions index - Transparency - 0','0641: Secure Internet servers - WDI - 582',0.40948,0.3407363,0.05511999,0.40948,4.321928,0.26219022
'2704N: Corruption perceptions index - Transparency - 0','0887: School enrollment; preprimary; male  (% gross) - WDI - 817',0.40728,0.11398876,0.06443,0.38836,4.169925,0.5415637
'2704N: Corruption perceptions index - Transparency - 0','1096: Out-of-pocket health expenditure  (% of total expenditure on health) - WDI - 1011',0.40608,0.11083099,0.043899983,0.40608,4.321928,-0.5433682
'2704N: Corruption perceptions index - Transparency - 0','1015: Prevalence of anemia among women of reproductive age  (% of women ages 15-49) - WDI - 942',0.40404,0.15746328,0.08176002,0.38286,4.4594316,-0.49656492
'2704N: Corruption perceptions index - Transparency - 0','0366: Electricity production from renewable sources; excluding hydroelectric  (kWh) - WDI - 355',0.40384,0.32875058,0.07906002,0.40384,4.169925,0.2740245
'2704N: Corruption perceptions index - Transparency - 0','0904: Gross intake ratio in first grade of primary education; total  (% of relevant age group) - WDI - 834',0.40268,0.34356037,0.17388001,0.3797,4.169925,-0.24314532
'2704N: Corruption perceptions index - Transparency - 0','0903: Gross intake ratio in first grade of primary education; male  (% of relevant age group) - WDI - 833',0.4015,0.31059194,0.12096998,0.3789,4.169925,-0.3015096
'2704N: Corruption perceptions index - Transparency - 0','1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI - 1182',0.40124,0.14603871,0.08232999,0.40124,4.321928,-0.5051745
'2704N: Corruption perceptions index - Transparency - 0','0003: Fertilizer consumption  (kilograms per hectare of arable land) - WDI - 9',0.39986,0.34923065,0.12557998,0.37716,4.321928,0.2250097
'2704N: Corruption perceptions index - Transparency - 0','0902: Gross intake ratio in first grade of primary education; female  (% of relevant age group) - WDI - 832',0.3996,0.371462,0.1506,0.37319,4.169925,-0.1677439
'2704N: Corruption perceptions index - Transparency - 0','0580: Time to prepare and pay taxes  (hours) - WDI - 524',0.39864,0.18266113,0.08377999,0.3865,4.321928,-0.46473527
'2704N: Corruption perceptions index - Transparency - 0','1895: Mobile-cellular telephone subscriptions - ITU - 1653',0.39797,0.16010037,0.07687998,0.39797,4.321928,0.4877188
'2704N: Corruption perceptions index - Transparency - 0','1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU - 1654',0.39797,0.16010037,0.07687998,0.39797,4.321928,0.4877188
'2704N: Corruption perceptions index - Transparency - 0','0028: Surface area  (sq. km) - WDI - 25',0.39706,0.39682153,0.14671999,0.3773,4.4594316,0.015442399
'2704N: Corruption perceptions index - Transparency - 0','2837: Total health expenditure as a percent of GDP by institutional sector/ Institutional Sector = Private (Units Percentage) - ILO - 1832',0.39503,0.086559415,0.03429,0.39503,4.321928,0.55540127
'2704N: Corruption perceptions index - Transparency - 0','2839: Percentage of health care expenditure not financed by private households; out of pocket payments/ Total = Value (Units Percentage) - ILO - 1834',0.39503,0.086559415,0.03429,0.39503,4.321928,0.55540127
'2704N: Corruption perceptions index - Transparency - 0','0732: Agriculture; value added  (current LCU) - WDI - 664',0.39488,0.38471052,0.030410007,0.37475,4.321928,-0.10084385
'2704N: Corruption perceptions index - Transparency - 0','0856: PPP conversion factor; private consumption  (LCU per international $) - WDI - 787',0.39473,0.34963316,0.06716001,0.3774,4.4594316,-0.21236019
'2704N: Corruption perceptions index - Transparency - 0','0897: Primary education; pupils  (% female) - WDI - 827',0.39149,0.2752515,0.16467,0.3655,4.321928,0.3409377
'2704N: Corruption perceptions index - Transparency - 0','0636: Mobile cellular subscriptions  (per 100 people) - WDI - 577',0.3905,0.15353736,0.07021001,0.37468,4.4594316,0.4867881
'2704N: Corruption perceptions index - Transparency - 0','0585: Tax payments  (number) - WDI - 527',0.39037,0.16581585,0.116759986,0.38022,4.321928,-0.47387147
'2704N: Corruption perceptions index - Transparency - 0','1296: Population ages 15-64  (% of total) - WDI - 1201',0.38978,0.17468567,0.04980001,0.38978,4.321928,0.46378264
'2704N: Corruption perceptions index - Transparency - 0','1298: Age dependency ratio  (% of working-age population) - WDI - 1203',0.38978,0.17210414,0.032650024,0.38978,4.321928,-0.46655747
'2704N: Corruption perceptions index - Transparency - 0','1385: Manufactures exports  (% of merchandise exports) - WDI - 1290',0.38954,0.25074494,0.10110998,0.38954,4.169925,0.37255207
'2704N: Corruption perceptions index - Transparency - 0','0063: Exports of goods and services  (BoP; current US$) - WDI - 60',0.38775,0.24709453,0.15628,0.36044,4.321928,0.37504062
'2704N: Corruption perceptions index - Transparency - 0','0020: Land area  (sq. km) - WDI - 20',0.38753,0.38745987,0.13718998,0.36848,4.4594316,0.008374509
'2704N: Corruption perceptions index - Transparency - 0','1052: Prevalence of anemia among pregnant women  (%) - WDI - 974',0.38698,0.21256503,0.06775001,0.38698,4.321928,-0.41763017
'2704N: Corruption perceptions index - Transparency - 0','0378: Combustible renewables and waste  (% of total energy) - WDI - 364',0.3862,0.25083262,0.18310001,0.3862,4.169925,-0.36792305
'2704N: Corruption perceptions index - Transparency - 0','2836: Total health expenditure as a percent of GDP by institutional sector/ Institutional Sector = Public (Units Percentage) - ILO - 1831',0.38584,-0.034683824,0.025629997,0.38584,4.321928,0.6484781
'2704N: Corruption perceptions index - Transparency - 0','1402: Commercial service exports  (current US$) - WDI - 1307',0.38542,0.20793667,0.046719998,0.36289,4.321928,0.4212877
