X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
0811N: GDP per capita growth  (annual %) - WDI - 6,0803: GDP growth  (annual %) - WDI - 735,0.45204,0.2384973,0.080880016,0.45204,4.5849624,-0.4621068
0811N: GDP per capita growth  (annual %) - WDI - 6,0379: Electric power consumption  (kWh per capita) - WDI - 365,0.42805,0.41440392,0.04866001,0.4077,4.321928,-0.116816536
0811N: GDP per capita growth  (annual %) - WDI - 6,0956: School enrollment; secondary; female  (% net) - WDI - 886,0.42385,0.36037737,0.11432001,0.39247,4.169925,-0.25193778
0811N: GDP per capita growth  (annual %) - WDI - 6,0353: Agriculture value added per worker  (constant 2005 US$) - WDI - 345,0.4194,0.30423534,0.18888001,0.4194,4.4594316,-0.3393592
0811N: GDP per capita growth  (annual %) - WDI - 6,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD - 1327,0.41141,0.40241033,0.06547001,0.38158,4.169925,-0.09486657
0811N: GDP per capita growth  (annual %) - WDI - 6,0757: Services; etc.; value added  (annual % growth) - WDI - 689,0.41043,0.18371703,0.026140004,0.39746,4.5849624,0.47614387
0811N: GDP per capita growth  (annual %) - WDI - 6,0976: Adolescents out of school  (% of lower secondary school age) - WDI - 906,0.40195,0.31573093,0.08535001,0.36945,4.169925,0.29363087
0811N: GDP per capita growth  (annual %) - WDI - 6,0939: Lower secondary completion rate; female  (% of relevant age group) - WDI - 869,0.4001,0.40004423,0.14868,0.4001,4.169925,-0.0074663535
0811N: GDP per capita growth  (annual %) - WDI - 6,0955: School enrollment; secondary  (% net) - WDI - 885,0.39739,0.32905203,0.10381,0.37658,4.169925,-0.26141533
0811N: GDP per capita growth  (annual %) - WDI - 6,1285: Life expectancy at birth; female  (years) - WDI - 1190,0.39634,0.39280808,0.15810001,0.39634,4.5849624,-0.059430033
0811N: GDP per capita growth  (annual %) - WDI - 6,0833: GNI per capita growth  (annual %) - WDI - 765,0.3931,0.23109607,0.02719,0.37305,4.4594316,-0.4024971
0811N: GDP per capita growth  (annual %) - WDI - 6,0811: GDP per capita growth  (annual %) - WDI - 743,0.38972,0.18107133,0.038450003,0.38972,4.5849624,-0.45678076
0811N: GDP per capita growth  (annual %) - WDI - 6,0826: GNI growth  (annual %) - WDI - 758,0.38797,0.21742028,0.05644001,0.37395,4.4594316,-0.41297665
0811N: GDP per capita growth  (annual %) - WDI - 6,0957: School enrollment; secondary; male  (% net) - WDI - 887,0.38148,0.3102794,0.114659995,0.3604,4.169925,-0.2668344
0811N: GDP per capita growth  (annual %) - WDI - 6,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI - 439,0.37923,0.17200232,0.060760006,0.35284,4.321928,-0.45522267
0811N: GDP per capita growth  (annual %) - WDI - 6,0518: Taxes on international trade  (% of revenue) - WDI - 467,0.37407,0.34344038,0.10396999,0.34673,4.169925,0.17501318
0811N: GDP per capita growth  (annual %) - WDI - 6,0663: General government final consumption expenditure  (annual % growth) - WDI - 595,0.37331,0.25978032,0.065469995,0.36037,4.4594316,0.33694166
0811N: GDP per capita growth  (annual %) - WDI - 6,0940: Lower secondary completion rate; male  (% of relevant age group) - WDI - 870,0.37286,0.37266892,0.14892001,0.37286,4.169925,-0.013823292
0811N: GDP per capita growth  (annual %) - WDI - 6,1073: People practicing open defecation; rural  (% of rural population) - WDI - 989,0.37154,0.36885074,0.10705,0.35081,4.5849624,0.05185822
0811N: GDP per capita growth  (annual %) - WDI - 6,0884: Pupil-teacher ratio; preprimary - WDI - 814,0.37064,0.3704682,0.15557002,0.37064,4.169925,-0.013108042
0811N: GDP per capita growth  (annual %) - WDI - 6,0678: Household final consumption expenditure per capita growth  (annual %) - WDI - 610,0.36569,0.23043661,0.028109998,0.36569,4.321928,0.3677681
0811N: GDP per capita growth  (annual %) - WDI - 6,0260: Net flows on external debt; total  (NFL; current US$) - WDI - 252,0.3621,0.349603,0.11919001,0.34123,4.169925,0.111790076
0811N: GDP per capita growth  (annual %) - WDI - 6,1093: Incidence of tuberculosis  (per 100;000 people) - WDI - 1008,0.36081,0.3583726,0.078750014,0.34333,4.5849624,0.049370077
0811N: GDP per capita growth  (annual %) - WDI - 6,0941: Lower secondary completion rate; total  (% of relevant age group) - WDI - 871,0.3585,0.3584454,0.08045,0.33285,4.321928,-0.007388444
0811N: GDP per capita growth  (annual %) - WDI - 6,0595: Patent applications; nonresidents - WDI - 536,0.3537,0.3519527,0.06932001,0.32857,4.169925,0.041800883
0811N: GDP per capita growth  (annual %) - WDI - 6,0919: Persistence to last grade of primary; male  (% of cohort) - WDI - 849,0.34961,0.3072996,0.071859986,0.32445,4.169925,-0.2056949
0811N: GDP per capita growth  (annual %) - WDI - 6,0378: Combustible renewables and waste  (% of total energy) - WDI - 364,0.34945,0.34693754,0.033639997,0.34945,4.321928,0.05012433
0811N: GDP per capita growth  (annual %) - WDI - 6,0299: Net transfers on external debt; total  (NTR; current US$) - WDI - 291,0.34418,0.3290984,0.06546001,0.31145,4.169925,0.12280716
0811N: GDP per capita growth  (annual %) - WDI - 6,0164: IDA grants  (current US$) - WDI - 159,0.34288,0.33976,0.102630004,0.31856,4.169925,0.055857
0811N: GDP per capita growth  (annual %) - WDI - 6,0536: Expense  (% of GDP) - WDI - 485,0.34163,0.22390689,0.03283,0.34163,4.169925,-0.34310803
0811N: GDP per capita growth  (annual %) - WDI - 6,0300: Net transfers on external debt; long-term  (NTR; current US$) - WDI - 292,0.34044,0.33503065,0.10673,0.31782,4.169925,0.07354828
0811N: GDP per capita growth  (annual %) - WDI - 6,1098: Health expenditure per capita  (current US$) - WDI - 1013,0.33868,0.31479287,0.060289994,0.33868,4.5849624,-0.15455464
0811N: GDP per capita growth  (annual %) - WDI - 6,0380: Energy use  (kg of oil equivalent per capita) - WDI - 366,0.33843,0.32562882,0.033519983,0.33843,4.321928,-0.1131422
0811N: GDP per capita growth  (annual %) - WDI - 6,1153: Employment to population ratio; 15+; total (%)  (national estimate) - WDI - 1066,0.33804,0.2850425,0.09651999,0.3006,4.169925,0.23021188
0811N: GDP per capita growth  (annual %) - WDI - 6,0364: Electricity production from oil sources  (% of total) - WDI - 353,0.33782,0.32965446,0.10497999,0.33782,4.321928,0.09036343
0811N: GDP per capita growth  (annual %) - WDI - 6,1270: Depth of the food deficit  (kilocalories per person per day) - WDI - 1179,0.33746,0.25897947,0.11607002,0.33746,4.169925,0.2801438
0811N: GDP per capita growth  (annual %) - WDI - 6,0973: Secondary education; teachers  (% female) - WDI - 903,0.33667,0.24276263,0.034669995,0.30956,4.169925,-0.30644313
0811N: GDP per capita growth  (annual %) - WDI - 6,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI - 488,0.33654,0.25382915,0.062680006,0.31646,4.5849624,-0.28759497
0811N: GDP per capita growth  (annual %) - WDI - 6,1286: Life expectancy at birth; total  (years) - WDI - 1191,0.33644,0.33169866,0.07602,0.33644,4.5849624,-0.06885745
0811N: GDP per capita growth  (annual %) - WDI - 6,0979: School enrollment; tertiary; female  (% gross) - WDI - 909,0.33632,0.21543324,0.06622,0.31679,4.321928,-0.34768775
0811N: GDP per capita growth  (annual %) - WDI - 6,0461: Bank liquid reserves to bank assets ratio  (%) - WDI - 410,0.3341,0.2556366,0.11204001,0.29458,4.169925,0.2801132
0811N: GDP per capita growth  (annual %) - WDI - 6,0774: Adjusted savings: natural resources depletion  (% of GNI) - WDI - 706,0.33257,0.3108236,0.031810015,0.31663,4.5849624,0.14746656
0811N: GDP per capita growth  (annual %) - WDI - 6,0952: School enrollment; secondary  (% gross) - WDI - 882,0.33164,0.21003884,0.053349987,0.3117,4.4594316,-0.34871358
0811N: GDP per capita growth  (annual %) - WDI - 6,0918: Persistence to last grade of primary; female  (% of cohort) - WDI - 848,0.33039,0.291218,0.043200016,0.29756,4.169925,-0.19791915
0811N: GDP per capita growth  (annual %) - WDI - 6,0764: Adjusted savings: net forest depletion  (current US$) - WDI - 696,0.32993,0.3292266,0.109390005,0.32993,4.321928,0.026521413
