@relation MINE-Indicator-2006TO2013-2713_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
0,'2713N: Legitimacy of the State - Fund for Peace','2713: Legitimacy of the State - Fund for Peace',0.88855,-0.095212,0.02433,0.88855,6,0.991848,cluster1
1,'2713N: Legitimacy of the State - Fund for Peace','2707: Failed States Index Total - Fund for Peace',0.66422,-0.209353,0.0304,0.66266,6.247928,0.934651,cluster1
2,'2713N: Legitimacy of the State - Fund for Peace','2715: Human Rights - Fund for Peace',0.662,-0.179558,0.0364,0.662,5.643856,0.917365,cluster1
3,'2713N: Legitimacy of the State - Fund for Peace','2717: Factionalized Elites - Fund for Peace',0.62381,-0.192481,0.02642,0.62381,6.169925,0.903488,cluster1
4,'2713N: Legitimacy of the State - Fund for Peace','2706: Failed States Index Rank - Fund for Peace',0.62216,-0.153121,0.03064,0.6214,6.247928,-0.8805,cluster3
5,'2713N: Legitimacy of the State - Fund for Peace','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.58695,-0.035604,0.05359,0.58376,6,-0.789021,cluster3
6,'2713N: Legitimacy of the State - Fund for Peace','2716: Security Apparatus - Fund for Peace',0.57673,-0.209255,0.02608,0.57384,6.247928,0.886558,cluster1
7,'2713N: Legitimacy of the State - Fund for Peace','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.564,-0.092483,0.05448,0.56036,6.044394,-0.810236,cluster3
8,'2713N: Legitimacy of the State - Fund for Peace','2704: Corruption perceptions index - Transparency',0.55093,-0.224382,0.06558,0.55093,6.209454,-0.880518,cluster3
9,'2713N: Legitimacy of the State - Fund for Peace','2714: Public Services - Fund for Peace',0.5273,-0.152321,0.03444,0.5273,5.584962,0.824391,cluster1
10,'2713N: Legitimacy of the State - Fund for Peace','2708: Demographic Pressures - Fund for Peace',0.52607,-0.133191,0.02862,0.52607,6.209454,0.811949,cluster1
11,'2713N: Legitimacy of the State - Fund for Peace','0832: GNI per capita  (constant 2005 US$) - WDI',0.51918,-0.088797,0.06817,0.51918,6,-0.779729,cluster3
12,'2713N: Legitimacy of the State - Fund for Peace','1285: Life expectancy at birth; female  (years) - WDI',0.51171,0.114109,0.02497,0.51171,6.129283,-0.630556,cluster3
13,'2713N: Legitimacy of the State - Fund for Peace','0642: Secure Internet servers  (per 1 million people) - WDI',0.50712,0.066977,0.04661,0.50712,6.209454,-0.663433,cluster3
14,'2713N: Legitimacy of the State - Fund for Peace','1098: Health expenditure per capita  (current US$) - WDI',0.50308,-0.094905,0.04131,0.50308,6.169925,-0.773295,cluster3
15,'2713N: Legitimacy of the State - Fund for Peace','0020: Land area  (sq. km) - WDI',0.49939,0.496946,0.39056,0.49939,6.247928,-0.049437,cluster11
16,'2713N: Legitimacy of the State - Fund for Peace','2711: Uneven Development - Fund for Peace',0.49361,-0.136434,0.03293,0.49361,5.523562,0.793753,cluster1
17,'2713N: Legitimacy of the State - Fund for Peace','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.48128,-0.136877,0.0611,0.48128,6.087463,-0.78623,cluster3
18,'2713N: Legitimacy of the State - Fund for Peace','0353: Agriculture value added per worker  (constant 2005 US$) - WDI',0.47396,0.052956,0.04861,0.47084,6.129283,-0.648848,cluster3
19,'2713N: Legitimacy of the State - Fund for Peace','0028: Surface area  (sq. km) - WDI',0.46991,0.466953,0.35644,0.46991,6.247928,-0.054379,cluster11
20,'2713N: Legitimacy of the State - Fund for Peace','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU',0.4672,-0.179838,0.03584,0.4672,6.129283,-0.804386,cluster3
21,'2713N: Legitimacy of the State - Fund for Peace','2718: External Intervention - Fund for Peace',0.46679,-0.174037,0.04199,0.46541,6.247928,0.800517,cluster1
22,'2713N: Legitimacy of the State - Fund for Peace','0640: Fixed broadband subscriptions  (per 100 people) - WDI',0.4662,-0.181309,0.03714,0.4662,6.129283,-0.804679,cluster3
