@relation MINE-Indicator-2011-0811_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0803: GDP growth  (annual \%) - WDI - 735',0.45204,0.238497,0.08088,0.45204,4.584962,-0.462107,cluster3
1,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0379: Electric power consumption  (kWh per capita) - WDI - 365',0.42805,0.414404,0.04866,0.4077,4.321928,-0.116817,cluster1
2,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0956: School enrollment; secondary; female  (\% net) - WDI - 886',0.42385,0.360377,0.11432,0.39247,4.169925,-0.251938,cluster1
3,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0353: Agriculture value added per worker  (constant 2005 US$) - WDI - 345',0.4194,0.304235,0.18888,0.4194,4.459432,-0.339359,cluster1
4,'0811N: GDP per capita growth  (annual \%) - WDI - 6','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD - 1327',0.41141,0.40241,0.06547,0.38158,4.169925,-0.094867,cluster1
5,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0757: Services; etc.; value added  (annual \% growth) - WDI - 689',0.41043,0.183717,0.02614,0.39746,4.584962,0.476144,cluster3
6,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0976: Adolescents out of school  (\% of lower secondary school age) - WDI - 906',0.40195,0.315731,0.08535,0.36945,4.169925,0.293631,cluster1
7,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0939: Lower secondary completion rate; female  (\% of relevant age group) - WDI - 869',0.4001,0.400044,0.14868,0.4001,4.169925,-0.007466,cluster1
8,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0955: School enrollment; secondary  (\% net) - WDI - 885',0.39739,0.329052,0.10381,0.37658,4.169925,-0.261415,cluster1
9,'0811N: GDP per capita growth  (annual \%) - WDI - 6','1285: Life expectancy at birth; female  (years) - WDI - 1190',0.39634,0.392808,0.1581,0.39634,4.584962,-0.05943,cluster3
10,'0811N: GDP per capita growth  (annual \%) - WDI - 6','0833: GNI per capita growth  (annual \%) - WDI - 765',0.3931,0.231096,0.02719,0.37305,4.459432,-0.402497,cluster3
