X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
0835N: GNI per capita; PPP  (current international $) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0.99714,0.009086907,0.013559997,0.99714,5.857981,0.9940086
0835N: GNI per capita; PPP  (current international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0.99305,-5.130768E-4,0.019829988,0.99305,5.643856,0.99677634
0835N: GNI per capita; PPP  (current international $) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0.99219,0.01604426,0.015859962,0.99219,6.129283,0.98800087
0835N: GNI per capita; PPP  (current international $) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0.98856,0.016374111,0.007849991,0.98856,6.426265,0.9859949
0835N: GNI per capita; PPP  (current international $) - WDI,0808: GDP per capita  (current US$) - WDI,0.91176,0.10945803,0.042540014,0.91176,6.426265,0.8957131
0835N: GNI per capita; PPP  (current international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0.90319,0.01749301,0.034229994,0.90186,6.357552,0.9411148
0835N: GNI per capita; PPP  (current international $) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0.89384,0.12088889,0.041970015,0.89217,6.2094536,0.8791764
0835N: GNI per capita; PPP  (current international $) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0.88215,0.09422648,0.025319993,0.88215,6.426265,0.88765055
0835N: GNI per capita; PPP  (current international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0.86284,0.094622314,0.04119003,0.86115,6.357552,0.8764803
0835N: GNI per capita; PPP  (current international $) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0.86194,0.07648116,0.040360034,0.85977,6.169925,0.88626117
0835N: GNI per capita; PPP  (current international $) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0.85304,0.2141906,0.027620018,0.85131,6.426265,0.7992805
0835N: GNI per capita; PPP  (current international $) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0.84414,0.08281964,0.047550023,0.84414,6.426265,0.8725367
0835N: GNI per capita; PPP  (current international $) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0.81582,0.22889537,0.0711,0.81582,6.2094536,0.76611006
0835N: GNI per capita; PPP  (current international $) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0.78896,0.26330286,0.02315998,0.78701,6.426265,0.72502214
0835N: GNI per capita; PPP  (current international $) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,0.77949,0.4106605,0.09911001,0.77771,6.3923173,-0.60731333
0835N: GNI per capita; PPP  (current international $) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,0.76655,0.25620955,0.05931002,0.76445,6.169925,0.71438116
0835N: GNI per capita; PPP  (current international $) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,0.72856,0.07399386,0.029569983,0.72856,6.2094536,0.8090526
0835N: GNI per capita; PPP  (current international $) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0.69906,0.0015788078,0.063960016,0.69906,5.9541965,0.8351534
0835N: GNI per capita; PPP  (current international $) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0.68263,0.2923128,0.06857997,0.68043,6.357552,0.6247537
0835N: GNI per capita; PPP  (current international $) - WDI,2714: Public Services - Fund for Peace,0.66688,0.061387897,0.086870015,0.66474,6.2094536,-0.77813375
0835N: GNI per capita; PPP  (current international $) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI,0.64844,0.26449093,0.06717998,0.64844,6.3923173,0.61963624
0835N: GNI per capita; PPP  (current international $) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0.64627,0.18884847,0.036960006,0.64459,6.426265,0.67632943
0835N: GNI per capita; PPP  (current international $) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0.64604,0.10663295,0.076270044,0.64604,6.2479277,0.73444337
0835N: GNI per capita; PPP  (current international $) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,0.64426,0.33010852,0.057169974,0.64286,6.426265,-0.56049216
0835N: GNI per capita; PPP  (current international $) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,0.64415,0.28843904,0.056010008,0.64262,6.426265,-0.5964151
