@relation MINE-Indicator-2011-2718_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,'2718N: External Intervention - Fund for Peace - 4','2718: External Intervention - Fund for Peace - 1713',0.9116,-0.039595,0.06403,0.9116,4.321928,0.975292,cluster0
1,'2718N: External Intervention - Fund for Peace - 4','0832: GNI per capita  (constant 2005 US$) - WDI - 764',0.71295,0.167911,0.16673,0.68617,4.169925,-0.738268,cluster3
2,'2718N: External Intervention - Fund for Peace - 4','2707: Failed States Index Total - Fund for Peace - 1702',0.712,-0.056985,0.14763,0.6902,4.459432,0.876918,cluster0
3,'2718N: External Intervention - Fund for Peace - 4','2706: Failed States Index Rank - Fund for Peace - 1701',0.71166,-0.003517,0.14729,0.69048,4.459432,-0.845681,cluster3
4,'2718N: External Intervention - Fund for Peace - 4','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714',0.69574,0.148279,0.11394,0.67001,4.169925,-0.739906,cluster3
5,'2718N: External Intervention - Fund for Peace - 4','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609',0.65033,0.11145,0.05286,0.6288,4.169925,-0.734085,cluster3
6,'2718N: External Intervention - Fund for Peace - 4','0808: GDP per capita  (current US$) - WDI - 740',0.64078,0.141144,0.09124,0.62049,4.459432,-0.706849,cluster3
7,'2718N: External Intervention - Fund for Peace - 4','1954: Gross national income per capita (PPP int. $) - WHO - 1679',0.63667,0.19626,0.16174,0.63667,4.321928,-0.663634,cluster3
8,'2718N: External Intervention - Fund for Peace - 4','0781: Adjusted net national income per capita  (current US$) - WDI - 713',0.63646,0.089491,0.09515,0.63646,4.321928,-0.739574,cluster3
9,'2718N: External Intervention - Fund for Peace - 4','0830: GNI per capita; Atlas method  (current US$) - WDI - 762',0.61785,0.090084,0.0366,0.61785,4.321928,-0.726475,cluster3
10,'2718N: External Intervention - Fund for Peace - 4','1098: Health expenditure per capita  (current US$) - WDI - 1013',0.61247,0.101116,0.07071,0.60246,4.459432,-0.715091,cluster3
11,'2718N: External Intervention - Fund for Peace - 4','0954: School enrollment; secondary; male  (\% gross) - WDI - 884',0.60869,0.113716,0.10871,0.58022,4.169925,-0.703544,cluster3
12,'2718N: External Intervention - Fund for Peace - 4','0388: CO2 emissions  (metric tons per capita) - WDI - 374',0.59842,0.360481,0.17292,0.5818,4.459432,-0.48779,cluster3
13,'2718N: External Intervention - Fund for Peace - 4','0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI - 34',0.5898,0.372472,0.12122,0.56092,4.169925,-0.466185,cluster3
14,'2718N: External Intervention - Fund for Peace - 4','0810: GDP per capita  (constant 2005 US$) - WDI - 742',0.58823,0.096484,0.05785,0.58823,4.321928,-0.701246,cluster3
15,'2718N: External Intervention - Fund for Peace - 4','0952: School enrollment; secondary  (\% gross) - WDI - 882',0.57935,0.08435,0.07824,0.55849,4.169925,-0.703562,cluster3
16,'2718N: External Intervention - Fund for Peace - 4','0059: ICT service exports  (BoP; current US$) - WDI - 56',0.57923,0.307953,0.09672,0.57923,4.169925,-0.520843,cluster3
17,'2718N: External Intervention - Fund for Peace - 4','1402: Commercial service exports  (current US$) - WDI - 1307',0.57875,0.308029,0.1268,0.57875,4.321928,-0.520308,cluster3
18,'2718N: External Intervention - Fund for Peace - 4','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI - 1014',0.57648,-0.012611,0.095,0.55756,4.459432,-0.767522,cluster3
19,'2718N: External Intervention - Fund for Peace - 4','0066: Service exports  (BoP; current US$) - WDI - 63',0.57535,0.308923,0.13236,0.57535,4.321928,-0.516165,cluster3
20,'2718N: External Intervention - Fund for Peace - 4','0643: Internet users  (per 100 people) - WDI - 584',0.57032,-0.040947,0.03582,0.55518,4.459432,-0.781835,cluster3
21,'2718N: External Intervention - Fund for Peace - 4','1899: Percentage of Individuals using the Internet (\%) - ITU - 1657',0.566,-0.042219,0.03886,0.55239,4.459432,-0.779884,cluster3
22,'2718N: External Intervention - Fund for Peace - 4','0885: School enrollment; preprimary  (\% gross) - WDI - 815',0.56075,0.196565,0.17022,0.54384,4.169925,-0.603477,cluster3
23,'2718N: External Intervention - Fund for Peace - 4','2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO - 1812',0.5605,0.347086,0.10277,0.53274,4.169925,-0.461968,cluster1
24,'2718N: External Intervention - Fund for Peace - 4','0032: Primary income payments  (BoP; current US$) - WDI - 29',0.55903,0.279214,0.1056,0.55903,4.321928,-0.528976,cluster3
25,'2718N: External Intervention - Fund for Peace - 4','0379: Electric power consumption  (kWh per capita) - WDI - 365',0.5573,0.35272,0.04286,0.52963,4.169925,-0.452305,cluster1
26,'2718N: External Intervention - Fund for Peace - 4','0353: Agriculture value added per worker  (constant 2005 US$) - WDI - 345',0.55672,0.187744,0.109,0.54081,4.321928,-0.607434,cluster3
27,'2718N: External Intervention - Fund for Peace - 4','0887: School enrollment; preprimary; male  (\% gross) - WDI - 817',0.55486,0.190422,0.18946,0.52056,4.169925,-0.603687,cluster3
28,'2718N: External Intervention - Fund for Peace - 4','2789: Balance of Payments-Exports-Other commercial services (US dollar at current prices) - WTO - 1784',0.55479,0.33677,0.1256,0.52685,4.321928,-0.466926,cluster1
29,'2718N: External Intervention - Fund for Peace - 4','2713: Legitimacy of the State - Fund for Peace - 1708',0.55393,-0.123774,0.07338,0.54295,4.459432,0.823228,cluster0
30,'2718N: External Intervention - Fund for Peace - 4','2712: Poverty and Economic Decline - Fund for Peace - 1707',0.55377,-0.092998,0.06709,0.54849,4.459432,0.804219,cluster0
31,'2718N: External Intervention - Fund for Peace - 4','2714: Public Services - Fund for Peace - 1709',0.5523,-0.082252,0.10465,0.54333,4.459432,0.796588,cluster0
