X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
2716N: Security Apparatus - Fund for Peace,1899: Percentage of Individuals using the Internet (%) - ITU,0.42317,-0.13232377,0.040689975,0.42258,6.2479277,-0.74531454
2716N: Security Apparatus - Fund for Peace,1021: Number of infant deaths - WDI,0.42279,0.37623975,0.07036999,0.42279,6.2479277,0.21575506
2716N: Security Apparatus - Fund for Peace,0643: Internet users  (per 100 people) - WDI,0.42267,-0.13471818,0.039330006,0.42267,5.643856,-0.74658436
2716N: Security Apparatus - Fund for Peace,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,0.42135,0.021762311,0.026010007,0.42135,6.2479277,-0.6321295
2716N: Security Apparatus - Fund for Peace,0954: School enrollment; secondary; male  (% gross) - WDI,0.42083,0.021256477,0.04029998,0.42083,5.9541965,-0.6321183
2716N: Security Apparatus - Fund for Peace,1310: Rural population - WDI,0.42064,0.41009784,0.21846999,0.42064,6.2479277,0.10267505
2716N: Security Apparatus - Fund for Peace,0004: Agricultural land  (sq. km) - WDI,0.41898,0.41879088,0.27704,0.41898,6.2479277,-0.013752111
2716N: Security Apparatus - Fund for Peace,1023: Number of under-five deaths - WDI,0.41884,0.36850128,0.07455999,0.41884,6.2479277,0.2243629
2716N: Security Apparatus - Fund for Peace,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0.41598,-0.085776955,0.037059993,0.41598,6.2479277,-0.70834804
2716N: Security Apparatus - Fund for Peace,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0.4155,0.03281793,0.047989994,0.4155,6.169925,-0.618613
2716N: Security Apparatus - Fund for Peace,0835: GNI per capita; PPP  (current international $) - WDI,0.41495,0.023635298,0.028670013,0.41495,6.129283,-0.6255515
2716N: Security Apparatus - Fund for Peace,1034: Improved water source; urban  (% of urban population with access) - WDI,0.41316,0.16823028,0.03724,0.41316,6.087463,-0.49490374
2716N: Security Apparatus - Fund for Peace,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0.41176,-0.08890888,0.03474,0.41176,5.9541965,-0.7075796
2716N: Security Apparatus - Fund for Peace,1035: Improved water source  (% of population with access) - WDI,0.41128,0.09185776,0.025509983,0.41128,6.087463,-0.5651745
2716N: Security Apparatus - Fund for Peace,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0.41118,0.191031,0.06646,0.41118,6.0,-0.46920037
2716N: Security Apparatus - Fund for Peace,0736: Agriculture; value added  (% of GDP) - WDI,0.41111,0.08368489,0.031400025,0.40822,6.169925,0.5722107
2716N: Security Apparatus - Fund for Peace,1295: Population ages 0-14  (% of total) - WDI,0.4109,-0.009688169,0.025759995,0.4109,6.2479277,0.6485277
2716N: Security Apparatus - Fund for Peace,1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,0.40815,0.17423788,0.036689997,0.40815,6.2479277,0.4836446
2716N: Security Apparatus - Fund for Peace,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0.40741,-0.098814875,0.029769987,0.40741,6.169925,-0.7114948
2716N: Security Apparatus - Fund for Peace,0380: Energy use  (kg of oil equivalent per capita) - WDI,0.40463,0.16061807,0.049469978,0.40237,6.087463,-0.49397564
2716N: Security Apparatus - Fund for Peace,0813: GDP per capita; PPP  (current international $) - WDI,0.40308,0.028422177,0.03496,0.40308,6.169925,-0.612093
2716N: Security Apparatus - Fund for Peace,1049: Number of maternal deaths - WDI,0.40248,0.3341361,0.07187,0.40248,6.2479277,0.2614267
2716N: Security Apparatus - Fund for Peace,1300: Age dependency ratio; young  (% of working-age population) - WDI,0.39661,0.024679244,0.03553,0.39661,6.169925,0.60986125
2716N: Security Apparatus - Fund for Peace,1289: Survival to age 65; female  (% of cohort) - WDI,0.39387,0.08935839,0.02836001,0.39387,5.807355,-0.5518257
2716N: Security Apparatus - Fund for Peace,1058: Improved sanitation facilities  (% of population with access) - WDI,0.39223,0.09846568,0.06457999,0.39223,6.2094536,-0.5420003
2716N: Security Apparatus - Fund for Peace,1278: Birth rate; crude  (per 1;000 people) - WDI,0.39038,0.017578006,0.04226002,0.39038,6.044394,0.61057514
2716N: Security Apparatus - Fund for Peace,1286: Life expectancy at birth; total  (years) - WDI,0.38838,0.014119446,0.037719995,0.38838,6.2479277,-0.61176836
2716N: Security Apparatus - Fund for Peace,2709: Refugees and IDPs - Fund for Peace,0.38684,-0.16935241,0.024300009,0.38635,6.2479277,0.7457831
2716N: Security Apparatus - Fund for Peace,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,0.3866,-0.011792481,0.03708002,0.3866,5.9541965,-0.6311834
2716N: Security Apparatus - Fund for Peace,2719: Human Flight - Fund for Peace,0.3796,-0.11035478,0.03972,0.3796,6.2094536,0.6999677
2716N: Security Apparatus - Fund for Peace,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0.37687,0.07952884,0.03896001,0.37687,6.2094536,-0.54529
2716N: Security Apparatus - Fund for Peace,1266: Refugee population by country or territory of origin - WDI,0.37667,0.2956037,0.09122002,0.37667,6.2479277,0.28472143
2716N: Security Apparatus - Fund for Peace,2712: Poverty and Economic Decline - Fund for Peace,0.37523,-0.1374793,0.026749998,0.37523,5.4594316,0.7160372
2716N: Security Apparatus - Fund for Peace,1287: Life expectancy at birth; male  (years) - WDI,0.3748,-3.386736E-4,0.05028999,0.3748,6.2479277,-0.61248565
2716N: Security Apparatus - Fund for Peace,0641: Secure Internet servers - WDI,0.37413,0.31598473,0.028060019,0.37413,6.2094536,-0.24113332
2716N: Security Apparatus - Fund for Peace,1033: Improved water source; rural  (% of rural population with access) - WDI,0.37219,0.04120621,0.05068001,0.36995,6.2479277,-0.5753119
2716N: Security Apparatus - Fund for Peace,1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,0.36749,0.11218265,0.07865998,0.36699,6.2479277,-0.5052795
2716N: Security Apparatus - Fund for Peace,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,0.36541,0.065592766,0.05809,0.36294,6.2479277,-0.5475557
2716N: Security Apparatus - Fund for Peace,0574: Time required to enforce a contract  (days) - WDI,0.36095,0.28747344,0.22186999,0.36095,6.169925,0.27106556
2716N: Security Apparatus - Fund for Peace,0796: Gross value added at factor cost  (constant 2005 US$) - WDI,0.35954,0.2922862,0.06804001,0.35808,6.044394,-0.25933337
2716N: Security Apparatus - Fund for Peace,0006: Arable land  (hectares) - WDI,0.35865,0.35854214,0.2159,0.35865,6.2479277,-0.010385629
2716N: Security Apparatus - Fund for Peace,0059: ICT service exports  (BoP; current US$) - WDI,0.35739,0.21302879,0.026720002,0.35739,5.807355,-0.37994894
2716N: Security Apparatus - Fund for Peace,1093: Incidence of tuberculosis  (per 100;000 people) - WDI,0.3564,0.2682534,0.06975001,0.3564,6.2479277,0.296895
2716N: Security Apparatus - Fund for Peace,1288: Fertility rate; total  (births per woman) - WDI,0.35445,0.046500534,0.04255998,0.35445,6.2479277,0.55493194
2716N: Security Apparatus - Fund for Peace,2787: Balance of Payments-Exports-Transport (US dollar at current prices) - WTO,0.35408,0.13922192,0.07575999,0.35408,6.087463,-0.46352786
2716N: Security Apparatus - Fund for Peace,2795: Balance of Payments-Exports-Other business services (US dollar at current prices) - WTO,0.35237,0.21777971,0.06944001,0.35237,6.044394,-0.3668655
2716N: Security Apparatus - Fund for Peace,0016: Forest area  (sq. km) - WDI,0.35227,0.35225776,0.26808,0.35227,6.2479277,-0.003500118
2716N: Security Apparatus - Fund for Peace,0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,0.35218,0.18802038,0.049060002,0.35218,5.807355,-0.40516618
2716N: Security Apparatus - Fund for Peace,0017: Forest area  (% of land area) - WDI,0.35,0.34098953,0.24483,0.35,6.2479277,-0.09492351
2716N: Security Apparatus - Fund for Peace,2739: Merchandise trade-Imports-Clothing (US dollar at current prices) - WTO,0.3498,0.24662189,0.05850999,0.3498,6.087463,-0.32121348
2716N: Security Apparatus - Fund for Peace,0456: Commercial bank branches  (per 100;000 adults) - WDI,0.34795,0.15662451,0.036929995,0.34795,6.2094536,-0.4374077
2716N: Security Apparatus - Fund for Peace,0460: Domestic credit to private sector by banks  (% of GDP) - WDI,0.34682,0.33564764,0.024870008,0.34682,6.169925,-0.10569936
2716N: Security Apparatus - Fund for Peace,0834: GNI per capita  (constant LCU) - WDI,0.3463,0.34399042,0.23977,0.34187,6.087463,0.048058335
2716N: Security Apparatus - Fund for Peace,0851: DEC alternative conversion factor  (LCU per US$) - WDI,0.34602,0.32622534,0.13720001,0.34602,6.2479277,0.14069349
2716N: Security Apparatus - Fund for Peace,0571: Time to import  (days) - WDI,0.34559,0.028101146,0.03566003,0.34559,6.129283,0.5634615
2716N: Security Apparatus - Fund for Peace,0553: Time to export  (days) - WDI,0.34547,0.05090359,0.042909995,0.34547,6.129283,0.54273975
2716N: Security Apparatus - Fund for Peace,0844: Net taxes on products  (current US$) - WDI,0.34426,0.271464,0.04598999,0.34426,6.044394,-0.26980734
2716N: Security Apparatus - Fund for Peace,1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,0.34371,0.14119491,0.042529985,0.34371,6.044394,0.45001677
2716N: Security Apparatus - Fund for Peace,0062: Primary income receipts  (BoP; current US$) - WDI,0.34048,0.20434205,0.06291002,0.34048,5.9068904,-0.36896876
2716N: Security Apparatus - Fund for Peace,1304: Population; total - WDI,0.34027,0.33662322,0.15172002,0.34027,6.2479277,0.06038873
2716N: Security Apparatus - Fund for Peace,0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI,0.34015,-0.010761708,0.045070007,0.33746,6.2479277,-0.592378
2716N: Security Apparatus - Fund for Peace,0812: GDP per capita  (constant LCU) - WDI,0.33808,0.33683655,0.23234001,0.33484,6.2479277,0.03526234
2716N: Security Apparatus - Fund for Peace,0552: Documents to export  (number) - WDI,0.33471,-0.029600263,0.025469989,0.33471,6.2094536,0.6035812
2716N: Security Apparatus - Fund for Peace,1290: Survival to age 65; male  (% of cohort) - WDI,0.33341,0.012231052,0.06383999,0.33341,6.2479277,-0.5667265
2716N: Security Apparatus - Fund for Peace,2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,0.33338,0.18960477,0.04057999,0.33338,5.9541965,-0.37917706
2716N: Security Apparatus - Fund for Peace,0739: Manufacturing; value added  (constant 2005 US$) - WDI,0.33288,0.25492564,0.055360004,0.33108,6.087463,-0.27920306
2716N: Security Apparatus - Fund for Peace,2744: Merchandise trade-Exports-Machinery and transport equipment (US dollar at current prices) - WTO,0.33229,0.24992749,0.02595,0.32636,6.129283,-0.28698868
2716N: Security Apparatus - Fund for Peace,2785: Balance of Payments-Exports-Commercial services (US dollar at current prices) - WTO,0.32988,0.178131,0.036709994,0.32988,6.129283,-0.38954973
2716N: Security Apparatus - Fund for Peace,0580: Time to prepare and pay taxes  (hours) - WDI,0.32987,0.27768874,0.15857999,0.32987,6.169925,0.22843215
2716N: Security Apparatus - Fund for Peace,2743: Merchandise trade-Exports-Pharmaceuticals (US dollar at current prices) - WTO,0.32961,0.18246053,0.029899985,0.32961,5.70044,-0.38360065
2716N: Security Apparatus - Fund for Peace,2745: Merchandise trade-Exports-Office and telecom equipment (US dollar at current prices) - WTO,0.32957,0.30359414,0.04553999,0.32957,5.70044,-0.16117029
2716N: Security Apparatus - Fund for Peace,2818: Balance of Payments-Imports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,0.32845,0.17736337,0.04193002,0.32845,6.087463,-0.38869864
2716N: Security Apparatus - Fund for Peace,0577: Cost of business start-up procedures  (% of GNI per capita) - WDI,0.32624,0.19275633,0.04057002,0.32624,6.129283,0.36535418
2716N: Security Apparatus - Fund for Peace,1075: People practicing open defecation  (% of population) - WDI,0.32541,0.17252707,0.027809992,0.32541,5.643856,0.39100248
2716N: Security Apparatus - Fund for Peace,1403: High-technology exports  (current US$) - WDI,0.32525,0.27013603,0.049090013,0.32525,6.044394,-0.23476362
2716N: Security Apparatus - Fund for Peace,0654: Armed forces personnel; total - WDI,0.32523,0.31159592,0.23093,0.31939,6.2094536,0.11676502
2716N: Security Apparatus - Fund for Peace,0010: Permanent cropland  (% of land area) - WDI,0.32496,0.30006102,0.18671,0.32496,6.2479277,0.15779409
2716N: Security Apparatus - Fund for Peace,0898: Pupil-teacher ratio; primary - WDI,0.32311,0.08034928,0.06613,0.32311,5.9541965,0.49270755
2716N: Security Apparatus - Fund for Peace,1073: People practicing open defecation; rural  (% of rural population) - WDI,0.32309,0.15957117,0.030810013,0.32309,6.0,0.4043746
2716N: Security Apparatus - Fund for Peace,0896: Primary education; pupils - WDI,0.3224,0.3073546,0.17429,0.3224,6.129283,0.12265968
2716N: Security Apparatus - Fund for Peace,0361: Electric power transmission and distribution losses  (% of output) - WDI,0.32223,0.18023787,0.0299,0.32163,6.044394,0.37681845
2716N: Security Apparatus - Fund for Peace,0674: Household final consumption expenditure  (constant 2005 US$) - WDI,0.32154,0.26902592,0.10726,0.32135,6.044394,-0.2291595
2716N: Security Apparatus - Fund for Peace,1312: Rural population  (% of total population) - WDI,0.32103,0.014460117,0.060289994,0.32103,6.2479277,0.5536875
2716N: Security Apparatus - Fund for Peace,1315: Urban population  (% of total) - WDI,0.32103,0.014457285,0.06304,0.32103,6.2479277,-0.5536901
2716N: Security Apparatus - Fund for Peace,0735: Agriculture; value added  (constant LCU) - WDI,0.32091,0.31626058,0.1533,0.31719,6.169925,0.068186685
2716N: Security Apparatus - Fund for Peace,0378: Combustible renewables and waste  (% of total energy) - WDI,0.31927,0.17274088,0.14519002,0.3154,6.044394,0.38279125
2716N: Security Apparatus - Fund for Peace,2797: Balance of Payments-Exports-Services (US dollar at current prices) - WTO,0.31897,0.16999452,0.033669993,0.31897,6.129283,-0.38597342
2716N: Security Apparatus - Fund for Peace,0689: Final consumption expenditure  (constant 2005 US$) - WDI,0.3187,0.26110804,0.09481999,0.3187,6.0,-0.23998323
2716N: Security Apparatus - Fund for Peace,1402: Commercial service exports  (current US$) - WDI,0.31858,0.16286267,0.038680017,0.31582,6.169925,-0.39461035
2716N: Security Apparatus - Fund for Peace,1952: Number of neonatal deaths (thousands) - WHO,0.31798,0.28419733,0.021990001,0.31796,6.2479277,0.18380058
2716N: Security Apparatus - Fund for Peace,0492: Domestic credit to private sector  (% of GDP) - WDI,0.31797,-0.036193907,0.033389986,0.31797,6.169925,-0.59511673
2716N: Security Apparatus - Fund for Peace,0366: Electricity production from renewable sources; excluding hydroelectric  (kWh) - WDI,0.3179,0.27313972,0.04485002,0.3179,5.9068904,-0.21156628
2716N: Security Apparatus - Fund for Peace,2746: Merchandise trade-Exports-Electronic data processing and office equipment (US dollar at current prices) - WTO,0.31789,0.30407253,0.033709988,0.31789,5.9541965,-0.11754774
2716N: Security Apparatus - Fund for Peace,0885: School enrollment; preprimary  (% gross) - WDI,0.31591,-0.010496944,0.046079993,0.31591,5.9541965,-0.57132035
2716N: Security Apparatus - Fund for Peace,2749: Merchandise trade-Exports-Transport equipment (US dollar at current prices) - WTO,0.31486,0.20874819,0.025729984,0.31486,5.857981,-0.32574806
2716N: Security Apparatus - Fund for Peace,1232: Labor force; total - WDI,0.31465,0.31343776,0.16938,0.31099,6.2479277,0.0348173
2716N: Security Apparatus - Fund for Peace,0756: Services; etc.; value added  (constant 2005 US$) - WDI,0.31424,0.2539358,0.053360015,0.31424,5.7548876,-0.2455691
2716N: Security Apparatus - Fund for Peace,0699: Exports of goods and services  (constant 2005 US$) - WDI,0.3142,0.19678298,0.07718,0.3142,5.643856,-0.3426617
2716N: Security Apparatus - Fund for Peace,0856: PPP conversion factor; private consumption  (LCU per international $) - WDI,0.3135,0.29485968,0.12128998,0.3135,6.169925,0.1365295
2716N: Security Apparatus - Fund for Peace,0683: Final consumption expenditure; etc.  (constant 2005 US$) - WDI,0.31334,0.25423944,0.08880001,0.30688,6.044394,-0.2431061
2716N: Security Apparatus - Fund for Peace,0066: Service exports  (BoP; current US$) - WDI,0.31181,0.15876499,0.04839,0.31181,6.129283,-0.39120966
2716N: Security Apparatus - Fund for Peace,0759: Services; etc.; value added  (% of GDP) - WDI,0.31092,0.05907345,0.04278998,0.30814,6.169925,-0.50184315
2716N: Security Apparatus - Fund for Peace,1895: Mobile-cellular telephone subscriptions - ITU,0.30919,0.027812809,0.05462998,0.30919,6.2479277,-0.53045
2716N: Security Apparatus - Fund for Peace,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0.30919,0.027812809,0.05462998,0.30919,6.2479277,-0.53045
2716N: Security Apparatus - Fund for Peace,2747: Merchandise trade-Exports-Telecommunications equipment (US dollar at current prices) - WTO,0.30882,0.29052776,0.025890023,0.30882,6.044394,-0.1352488
2716N: Security Apparatus - Fund for Peace,1103: Health expenditure; public  (% of GDP) - WDI,0.30854,-0.08478731,0.039319992,0.30854,6.2479277,-0.6271581
2716N: Security Apparatus - Fund for Peace,0853: PPP conversion factor; GDP  (LCU per international $) - WDI,0.30727,0.28963676,0.13566999,0.30432,6.2479277,0.1327902
2716N: Security Apparatus - Fund for Peace,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0.30697,0.02792713,0.059039995,0.30697,6.2479277,-0.5282451
2716N: Security Apparatus - Fund for Peace,0852: Official exchange rate  (LCU per US$; period average) - WDI,0.30496,0.30253312,0.13115,0.30496,6.129283,0.04926351
2716N: Security Apparatus - Fund for Peace,0691: Gross national expenditure deflator  (base year varies by country) - WDI,0.30489,0.26742902,0.052440017,0.30213,6.129283,0.19354843
2716N: Security Apparatus - Fund for Peace,0827: GNI  (constant LCU) - WDI,0.3043,0.3008971,0.20054,0.2992,6.087463,0.058334548
2716N: Security Apparatus - Fund for Peace,0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,0.3039,0.050516486,0.03670001,0.30133,6.2094536,0.50337213
2716N: Security Apparatus - Fund for Peace,2750: Merchandise trade-Exports-Automotive products (US dollar at current prices) - WTO,0.30337,0.20130712,0.028950006,0.30337,5.5849624,-0.31947282
2716N: Security Apparatus - Fund for Peace,0005: Agricultural land  (% of land area) - WDI,0.30305,0.2910259,0.23421001,0.30305,6.2479277,0.109654516
2716N: Security Apparatus - Fund for Peace,0032: Primary income payments  (BoP; current US$) - WDI,0.30255,0.16287293,0.04648,0.30255,5.9541965,-0.37373394
2716N: Security Apparatus - Fund for Peace,2742: Merchandise trade-Exports-Chemicals (US dollar at current prices) - WTO,0.30236,0.1526107,0.039269984,0.30236,6.087463,-0.38697454
2716N: Security Apparatus - Fund for Peace,2723: Merchandise trade-Exports-Manufactures (US dollar at current prices) - WTO,0.30218,0.21620668,0.040020004,0.30168,6.169925,-0.29321206
2716N: Security Apparatus - Fund for Peace,2798: Balance of Payments-Exports-Other services (US dollar at current prices) - WTO,0.30149,0.1831401,0.016290009,0.3009,6.169925,-0.34402022
2716N: Security Apparatus - Fund for Peace,2748: Merchandise trade-Exports-Integrated circuits and electronic components (US dollar at current prices) - WTO,0.30106,0.25264448,0.024419993,0.30106,6.044394,-0.22003525
2716N: Security Apparatus - Fund for Peace,0825: GNI  (constant 2005 US$) - WDI,0.30095,0.23362452,0.056669995,0.30095,5.857981,-0.25947154
2716N: Security Apparatus - Fund for Peace,0662: General government final consumption expenditure  (constant 2005 US$) - WDI,0.30067,0.2214336,0.052570015,0.30037,6.044394,-0.2814896
2716N: Security Apparatus - Fund for Peace,0668: Household final consumption expenditure; etc.  (constant 2005 US$) - WDI,0.30019,0.24852444,0.08432001,0.30019,6.0,-0.2273006
2716N: Security Apparatus - Fund for Peace,2794: Balance of Payments-Exports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,0.29974,0.21753508,0.046470016,0.29974,6.0,-0.286714
2716N: Security Apparatus - Fund for Peace,0570: Documents to import  (number) - WDI,0.29828,-0.06877804,0.0335,0.29828,6.2094536,0.60585314
2716N: Security Apparatus - Fund for Peace,0848: Net current transfers from abroad  (current LCU) - WDI,0.29812,0.28983676,0.057349995,0.29812,6.087463,0.09101221
2716N: Security Apparatus - Fund for Peace,1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI,0.29724,0.0033956766,0.05840999,0.29724,6.2094536,-0.5420741
2716N: Security Apparatus - Fund for Peace,2734: Merchandise trade-Imports-Office and telecom equipment (US dollar at current prices) - WTO,0.29662,0.23851058,0.044499993,0.29662,6.0,-0.24105898
2716N: Security Apparatus - Fund for Peace,0761: Adjusted savings: education expenditure  (% of GNI) - WDI,0.29646,0.21314006,0.09968001,0.29646,6.2094536,-0.28865194
2716N: Security Apparatus - Fund for Peace,2752: Merchandise trade-Imports-Electronic data processing and office equipment (US dollar at current prices) - WTO,0.2963,0.20883912,0.04992999,0.2963,6.044394,-0.29573783
2716N: Security Apparatus - Fund for Peace,0779: Adjusted net national income  (constant 2005 US$) - WDI,0.29569,0.23481447,0.049429998,0.29569,5.807355,-0.24672967
2716N: Security Apparatus - Fund for Peace,0041: Foreign direct investment; net outflows  (BoP; current US$) - WDI,0.29556,0.18807319,0.07877,0.29556,5.9541965,-0.3278518
2716N: Security Apparatus - Fund for Peace,0029: Cereal yield  (kg per hectare) - WDI,0.29545,0.1877397,0.046839982,0.29449,6.2479277,-0.32819247
2716N: Security Apparatus - Fund for Peace,1305: Population; female  (% of total) - WDI,0.29442,0.2943515,0.16133,0.29442,6.2479277,0.008277449
