@relation MINE-Indicator-2006TO2013-2704_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
0,'2704N: Corruption perceptions index - Transparency','2704: Corruption perceptions index - Transparency',0.86457,-0.115923,0.01875,0.86457,5.90689,0.990199,cluster3
1,'2704N: Corruption perceptions index - Transparency','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.62275,-0.101392,0.04202,0.61975,6.044394,0.850965,cluster3
2,'2704N: Corruption perceptions index - Transparency','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.61292,-0.121628,0.04893,0.61292,5.90689,0.857058,cluster3
3,'2704N: Corruption perceptions index - Transparency','0642: Secure Internet servers  (per 1 million people) - WDI',0.61278,0.150724,0.04863,0.61278,6.209454,0.679747,cluster3
4,'2704N: Corruption perceptions index - Transparency','0832: GNI per capita  (constant 2005 US$) - WDI',0.57796,-0.141962,0.03594,0.57796,5.954197,0.848482,cluster3
5,'2704N: Corruption perceptions index - Transparency','0781: Adjusted net national income per capita  (current US$) - WDI',0.56773,-0.112901,0.06789,0.56773,6.169925,0.825004,cluster3
6,'2704N: Corruption perceptions index - Transparency','2714: Public Services - Fund for Peace',0.56144,-0.141929,0.04597,0.55693,6.209454,-0.838671,cluster2
7,'2704N: Corruption perceptions index - Transparency','0810: GDP per capita  (constant 2005 US$) - WDI',0.56022,-0.102653,0.05898,0.56021,6.247928,0.81417,cluster3
8,'2704N: Corruption perceptions index - Transparency','0379: Electric power consumption  (kWh per capita) - WDI',0.55379,0.141881,0.08364,0.55076,6.044394,0.641802,cluster3
9,'2704N: Corruption perceptions index - Transparency','1098: Health expenditure per capita  (current US$) - WDI',0.55295,-0.052584,0.04358,0.5506,6.247928,0.778161,cluster3
10,'2704N: Corruption perceptions index - Transparency','2707: Failed States Index Total - Fund for Peace',0.55064,-0.214192,0.02832,0.54883,6.209454,-0.874546,cluster2
11,'2704N: Corruption perceptions index - Transparency','2713: Legitimacy of the State - Fund for Peace',0.53979,-0.225988,0.04587,0.53881,6.209454,-0.875088,cluster2
12,'2704N: Corruption perceptions index - Transparency','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.53589,-0.103984,0.07694,0.5334,6.247928,0.799921,cluster3
13,'2704N: Corruption perceptions index - Transparency','0736: Agriculture; value added  (\% of GDP) - WDI',0.53122,0.177675,0.08606,0.52853,6.169925,-0.594597,cluster2
14,'2704N: Corruption perceptions index - Transparency','0830: GNI per capita; Atlas method  (current US$) - WDI',0.52985,-0.128448,0.03969,0.52985,6.209454,0.811356,cluster3
15,'2704N: Corruption perceptions index - Transparency','2706: Failed States Index Rank - Fund for Peace',0.52902,-0.126045,0.04505,0.52902,5.321928,0.809361,cluster5
16,'2704N: Corruption perceptions index - Transparency','1899: Percentage of Individuals using the Internet (\%) - ITU',0.52024,-0.153257,0.05181,0.51808,6.247928,0.820669,cluster3
17,'2704N: Corruption perceptions index - Transparency','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.51719,-0.007913,0.04538,0.51719,6.087463,0.72464,cluster3
18,'2704N: Corruption perceptions index - Transparency','0808: GDP per capita  (current US$) - WDI',0.51518,-0.110677,0.04225,0.51268,6.247928,0.791112,cluster3
19,'2704N: Corruption perceptions index - Transparency','0643: Internet users  (per 100 people) - WDI',0.51393,-0.159713,0.05015,0.51393,6.247928,0.820758,cluster3
20,'2704N: Corruption perceptions index - Transparency','2708: Demographic Pressures - Fund for Peace',0.51083,-0.116033,0.07388,0.50849,6.209454,-0.791747,cluster2
21,'2704N: Corruption perceptions index - Transparency','0028: Surface area  (sq. km) - WDI',0.51033,0.509999,0.33489,0.51033,6.247928,0.018194,cluster0
22,'2704N: Corruption perceptions index - Transparency','0020: Land area  (sq. km) - WDI',0.50966,0.509489,0.34434,0.50966,6.247928,0.013072,cluster0
23,'2704N: Corruption perceptions index - Transparency','0640: Fixed broadband subscriptions  (per 100 people) - WDI',0.50314,-0.156512,0.0499,0.50041,6.209454,0.81219,cluster3
24,'2704N: Corruption perceptions index - Transparency','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU',0.50306,-0.15672,0.04837,0.50035,6.209454,0.812268,cluster3
