@relation MINE-Indicator-2006TO2013-0835_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13}

@data
0,'0835N: GNI per capita; PPP  (current international $) - WDI','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.99714,0.009087,0.01356,0.99714,5.857981,0.994009,cluster6
1,'0835N: GNI per capita; PPP  (current international $) - WDI','0835: GNI per capita; PPP  (current international $) - WDI',0.99305,-0.000513,0.01983,0.99305,5.643856,0.996776,cluster6
2,'0835N: GNI per capita; PPP  (current international $) - WDI','0813: GDP per capita; PPP  (current international $) - WDI',0.99219,0.016044,0.01586,0.99219,6.129283,0.988001,cluster6
3,'0835N: GNI per capita; PPP  (current international $) - WDI','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.98856,0.016374,0.00785,0.98856,6.426265,0.985995,cluster6
4,'0835N: GNI per capita; PPP  (current international $) - WDI','0808: GDP per capita  (current US$) - WDI',0.91176,0.109458,0.04254,0.91176,6.426265,0.895713,cluster6
5,'0835N: GNI per capita; PPP  (current international $) - WDI','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.90319,0.017493,0.03423,0.90186,6.357552,0.941115,cluster6
6,'0835N: GNI per capita; PPP  (current international $) - WDI','0832: GNI per capita  (constant 2005 US$) - WDI',0.89384,0.120889,0.04197,0.89217,6.209454,0.879176,cluster6
7,'0835N: GNI per capita; PPP  (current international $) - WDI','0830: GNI per capita; Atlas method  (current US$) - WDI',0.88215,0.094226,0.02532,0.88215,6.426265,0.887651,cluster6
8,'0835N: GNI per capita; PPP  (current international $) - WDI','0781: Adjusted net national income per capita  (current US$) - WDI',0.86284,0.094622,0.04119,0.86115,6.357552,0.87648,cluster6
9,'0835N: GNI per capita; PPP  (current international $) - WDI','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.86194,0.076481,0.04036,0.85977,6.169925,0.886261,cluster6
10,'0835N: GNI per capita; PPP  (current international $) - WDI','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.85304,0.214191,0.02762,0.85131,6.426265,0.799281,cluster6
